symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
SRCE,2011-09-30,False,Q3,2011,10-Q,66816000.0,,11540000.0,0.47,0.47,0.16,4305941000.0,,,83050000.0,516879000.0,87426000.0,93555000.0,-194803000.0,,,10587000.0
SRCE,2018-12-31,False,FY,2018,10-K,47880000.0,,82414000.0,3.16,3.16,0.96,6293745000.0,,,99079000.0,763590000.0,144374000.0,-442630000.0,319302000.0,46444000.0,83870000.0,3058000.0
SRCE,2011-06-30,False,Q2,2011,10-Q,69297000.0,,14865000.0,0.61,0.61,0.16,4354951000.0,,,59349000.0,505594000.0,77933000.0,10560000.0,-126016000.0,,,5589000.0
SRCE,2011-12-31,False,FY,2011,10-K,268395000.0,,48195000.0,1.96,1.96,0.64,4374071000.0,,,114327000.0,523918000.0,124408000.0,35011000.0,-141964000.0,,,11417000.0
SRCE,2012-06-30,False,Q2,2012,10-Q,65521000.0,,12396000.0,0.51,0.51,0.16,4486584000.0,,,90080000.0,542264000.0,37909000.0,-155078000.0,92922000.0,,88135000.0,3082000.0
SRCE,2012-03-31,False,Q1,2012,10-Q,65824000.0,,11715000.0,0.48,0.48,0.16,4384696000.0,,,57608000.0,531891000.0,16621000.0,-73967000.0,627000.0,,,1161000.0
SRCE,2012-09-30,False,Q3,2012,10-Q,65885000.0,,12833000.0,0.53,0.53,0.17,4488219000.0,,,71814000.0,553668000.0,58636000.0,-176453000.0,75304000.0,,87796000.0,6521000.0
SRCE,2013-06-30,False,Q2,2013,10-Q,64732000.0,,13942000.0,0.56,0.56,0.17,4638811000.0,,,68021000.0,567753000.0,41485000.0,-146561000.0,89163000.0,,86915000.0,3361000.0
SRCE,2013-03-31,False,Q1,2013,10-Q,62826000.0,,12404000.0,0.5,0.5,0.17,4558028000.0,,,64457000.0,568362000.0,19384000.0,-34908000.0,-3953000.0,,87207000.0,1761000.0
SRCE,2012-12-31,False,FY,2012,10-K,61384000.0,,49633000.0,2.02,2.02,0.66,4550693000.0,,,83934000.0,558655000.0,93193000.0,-255026000.0,131440000.0,56711000.0,83680000.0,9478000.0
SRCE,2014-03-31,False,Q1,2014,10-Q,62753000.0,,-13632000.0,0.55,0.55,0.17,4773193000.0,,,93827000.0,596586000.0,18449000.0,-38083000.0,33409000.0,,86057000.0,421000.0
SRCE,2013-09-30,False,Q3,2013,10-Q,67124000.0,,14896000.0,0.6,0.6,0.17,4649961000.0,,,91766000.0,578229000.0,68653000.0,-142344000.0,81523000.0,,86629000.0,4040000.0
SRCE,2014-09-30,False,Q3,2014,10-Q,64544000.0,,-14947000.0,0.62,0.62,0.18,4820793000.0,,,81711000.0,603033000.0,61257000.0,-112458000.0,52860000.0,,85583000.0,4254000.0
SRCE,2013-12-31,False,FY,2013,10-K,33638000.0,,-54958000.0,2.23,2.23,0.68,4722826000.0,,,80052000.0,585378000.0,86866000.0,-234705000.0,143957000.0,42512000.0,83680000.0,6508000.0
SRCE,2015-06-30,False,Q2,2015,10-Q,67745000.0,,-15630000.0,0.59,0.59,0.164,5014023000.0,,,77698000.0,631631000.0,43481000.0,-193926000.0,161953000.0,,84967000.0,2934000.0
SRCE,2016-03-31,False,Q1,2016,10-Q,68426000.0,,13818000.0,0.53,0.53,0.18,5245610000.0,,,85227000.0,649973000.0,25728000.0,-51609000.0,31387000.0,,84530000.0,2298000.0
SRCE,2016-06-30,False,Q2,2016,10-Q,70234000.0,,14479000.0,0.56,0.56,0.18,5379938000.0,,,73241000.0,661756000.0,47752000.0,-200417000.0,146185000.0,,84386000.0,3991000.0
SRCE,2014-06-30,False,Q2,2014,10-Q,64071000.0,,-14494000.0,0.59,0.59,0.18,4925727000.0,,,117378000.0,594218000.0,30979000.0,-168012000.0,174359000.0,,85796000.0,1587000.0
SRCE,2015-03-31,False,Q1,2015,10-Q,63383000.0,,-13511000.0,0.56,0.56,0.18,4862384000.0,,,69264000.0,624505000.0,15729000.0,-28692000.0,16037000.0,,85158000.0,520000.0
SRCE,2015-12-31,False,FY,2015,10-K,38858000.0,,57486000.0,2.17,2.17,0.671,5187916000.0,,,79721000.0,644053000.0,101031000.0,-382036000.0,294536000.0,38044000.0,83680000.0,9498000.0
SRCE,2017-06-30,False,Q2,2017,10-Q,76534000.0,,16669000.0,0.64,0.64,0.19,5687230000.0,,,76034000.0,699202000.0,57729000.0,-237287000.0,147288000.0,,83848000.0,1017000.0
SRCE,2016-12-31,False,FY,2016,10-K,42772000.0,,57786000.0,2.22,2.22,0.72,5486268000.0,,,108304000.0,672650000.0,98060000.0,-309847000.0,240370000.0,53075000.0,83680000.0,8935000.0
SRCE,2015-09-30,False,Q3,2015,10-Q,67953000.0,,13928000.0,0.53,0.53,0.164,5105584000.0,,,64189000.0,639221000.0,70589000.0,-304306000.0,231716000.0,,84822000.0,4612000.0
SRCE,2017-09-30,False,Q3,2017,10-Q,80022000.0,,17182000.0,0.66,0.66,0.19,5806735000.0,,,99424000.0,710497000.0,98680000.0,-351374000.0,243814000.0,,83795000.0,2801000.0
SRCE,2017-03-31,False,Q1,2017,10-Q,72679000.0,,16206000.0,0.62,0.62,0.18,5501526000.0,,,92116000.0,685934000.0,34277000.0,-46200000.0,-4265000.0,,83960000.0,24000.0
SRCE,2018-03-31,False,Q1,2018,10-Q,83045000.0,,19116000.0,0.73,0.73,0.22,6051463000.0,,,51152000.0,725609000.0,34287000.0,-223798000.0,162630000.0,,84124000.0,1566000.0
SRCE,2017-12-31,False,FY,2017,10-K,48482000.0,,68051000.0,2.6,2.6,0.76,5887284000.0,,,78033000.0,718537000.0,117261000.0,-462206000.0,314674000.0,47114000.0,83680000.0,5444000.0
SRCE,2018-06-30,False,Q2,2018,10-Q,88888000.0,,21964000.0,0.84,0.84,0.24,6320058000.0,,,144460000.0,740277000.0,69760000.0,-407461000.0,404128000.0,,84104000.0,1332000.0
SRCE,2016-09-30,False,Q3,2016,10-Q,70965000.0,,14264000.0,0.55,0.55,0.18,5447911000.0,,,95824000.0,670259000.0,68749000.0,-255741000.0,203095000.0,,84244000.0,5532000.0
SRCE,2014-12-31,False,FY,2014,10-K,36162000.0,,58069000.0,2.39,2.39,0.71,4829958000.0,,,66190000.0,614473000.0,81784000.0,-139815000.0,44169000.0,38582000.0,83680000.0,8489000.0
SRCE,2018-09-30,False,Q3,2018,10-Q,89756000.0,,19888000.0,0.76,0.76,0.25,6293169000.0,,,113876000.0,750437000.0,92356000.0,-420623000.0,364110000.0,,84097000.0,2938000.0
