symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
SSP,2018-12-31,False,FY,2018,10-K,1208425000.0,129959000.0,20381000.0,0.25,0.24,0.2,2130061000.0,475601000.0,198059000.0,107114000.0,926165000.0,140911000.0,-127484000.0,-54997000.0,696250000.0,834013000.0,53253000.0
SSP,2011-09-30,False,Q3,2011,10-Q,167871000.0,-17943000.0,-10722000.0,-0.19,-0.19,0.0,748716000.0,316496000.0,110599000.0,147474000.0,538699000.0,4501000.0,-18081000.0,-43870000.0,,,7823000.0
SSP,2012-03-31,False,Q1,2012,10-Q,207127000.0,-4173000.0,-4415000.0,-0.08,-0.08,0.0,963218000.0,330680000.0,125868000.0,139979000.0,512714000.0,20609000.0,-1385000.0,-7134000.0,,28591000.0,1137000.0
SSP,2011-12-31,False,FY,2011,10-K,728660000.0,-23373000.0,-15537000.0,-0.27,-0.27,0.0,970528000.0,325410000.0,125048000.0,127889000.0,517001000.0,14787000.0,-240493000.0,148671000.0,,28591000.0,12183000.0
SSP,2011-06-30,False,Q2,2011,10-Q,183034000.0,-2219000.0,-2212000.0,-0.04,-0.04,0.0,768673000.0,324379000.0,107098000.0,156974000.0,562969000.0,-11991000.0,-10515000.0,-25444000.0,,,4544000.0
SSP,2012-09-30,False,Q3,2012,10-Q,219644000.0,18338000.0,11506000.0,0.21,0.21,0.0,984209000.0,370357000.0,147056000.0,209668000.0,525857000.0,124278000.0,-18596000.0,-23903000.0,200075000.0,27966000.0,14166000.0
SSP,2012-06-30,False,Q2,2012,10-Q,216934000.0,14367000.0,5191000.0,0.09,0.09,0.0,957549000.0,335339000.0,128606000.0,167106000.0,510552000.0,67938000.0,-6872000.0,-21849000.0,204050000.0,28591000.0,6086000.0
SSP,2013-06-30,False,Q2,2013,10-Q,207853000.0,8186000.0,3096000.0,0.05,0.05,0.0,992931000.0,384136000.0,132334000.0,218101000.0,539943000.0,4892000.0,-11424000.0,-18009000.0,188150000.0,27966000.0,12169000.0
SSP,2012-12-31,False,FY,2012,10-K,903458000.0,73900000.0,38343000.0,0.7,0.69,0.0,1030768000.0,402700000.0,146033000.0,242642000.0,539910000.0,172582000.0,-32424000.0,-25405000.0,196100000.0,27966000.0,30210000.0
SSP,2013-03-31,False,Q1,2013,10-Q,198653000.0,-3704000.0,-2671000.0,-0.05,-0.05,0.0,1002779000.0,382634000.0,124667000.0,221200000.0,540633000.0,-10918000.0,-4234000.0,-6290000.0,192125000.0,27966000.0,4979000.0
SSP,2013-12-31,False,FY,2013,10-K,816871000.0,13636000.0,-474000.0,-0.01,-0.01,0.0,966130000.0,402054000.0,113121000.0,221255000.0,547737000.0,33505000.0,-19883000.0,-35009000.0,200000000.0,27966000.0,20522000.0
SSP,2014-09-30,False,Q3,2014,10-Q,207600000.0,2657000.0,-1341000.0,-0.02,-0.02,0.0,978443000.0,289880000.0,136660000.0,124369000.0,536851000.0,71034000.0,-156468000.0,-11452000.0,198500000.0,106423000.0,13437000.0
SSP,2014-03-31,False,Q1,2014,10-Q,203794000.0,1938000.0,-612000.0,-0.01,-0.01,0.0,951164000.0,352430000.0,112682000.0,187119000.0,536195000.0,29460000.0,-46976000.0,-16620000.0,199500000.0,56682000.0,2584000.0
SSP,2014-06-30,False,Q2,2014,10-Q,211946000.0,-3018000.0,-3235000.0,-0.06,-0.06,0.0,954857000.0,260264000.0,114377000.0,91502000.0,533403000.0,40315000.0,-152636000.0,-17432000.0,199000000.0,105571000.0,8209000.0
SSP,2013-09-30,False,Q3,2013,10-Q,189535000.0,-8156000.0,-8851000.0,-0.16,-0.16,0.0,963737000.0,360148000.0,152383000.0,202136000.0,505237000.0,25935000.0,-14817000.0,-51624000.0,184175000.0,27966000.0,15531000.0
SSP,2016-06-30,False,Q2,2016,10-Q,227817000.0,23310000.0,11329000.0,0.14,0.13,0.0,1687289000.0,277583000.0,104859000.0,66479000.0,924401000.0,37361000.0,-57488000.0,-21455000.0,397481000.0,617080000.0,13382000.0
SSP,2015-06-30,False,Q2,2015,10-Q,198134000.0,-15656000.0,-31403000.0,-0.37,-0.37,0.0,1698720000.0,332136000.0,97145000.0,101420000.0,924890000.0,-62970000.0,-13995000.0,19926000.0,407123000.0,555046000.0,8771000.0
SSP,2015-09-30,False,Q3,2015,10-Q,189691000.0,-25357000.0,-24443000.0,-0.29,-0.29,0.0,1681710000.0,294273000.0,111504000.0,81342000.0,892454000.0,-14781000.0,-70465000.0,8129000.0,403604000.0,586342000.0,15244000.0
SSP,2014-12-31,False,FY,2014,10-K,869068000.0,29137000.0,10289000.0,0.18,0.18,0.0,1032731000.0,328660000.0,134538000.0,158459000.0,519933000.0,102055000.0,-160537000.0,-4314000.0,198000000.0,106261000.0,19008000.0
SSP,2015-03-31,False,Q1,2015,10-Q,214500000.0,-4468000.0,-5100000.0,-0.09,-0.09,0.0,1032526000.0,336200000.0,138129000.0,159489000.0,516955000.0,-18000.0,-10311000.0,11359000.0,197500000.0,106261000.0,3339000.0
SSP,2016-09-30,False,Q3,2016,10-Q,233040000.0,27325000.0,12348000.0,0.15,0.15,0.0,1684874000.0,292214000.0,106904000.0,88378000.0,926473000.0,80988000.0,-65502000.0,-35169000.0,396651000.0,616780000.0,21590000.0
SSP,2016-03-31,False,Q1,2016,10-Q,209498000.0,8863000.0,4835000.0,0.06,0.06,0.0,1673425000.0,290644000.0,97205000.0,96252000.0,918236000.0,6341000.0,-6770000.0,-11380000.0,398312000.0,585787000.0,6321000.0
SSP,2017-03-31,False,Q1,2017,10-Q,211001000.0,1489000.0,-1939000.0,-0.02,-0.02,0.0,1714263000.0,341799000.0,90921000.0,132268000.0,947454000.0,9477000.0,-4584000.0,-6977000.0,392375000.0,616780000.0,4103000.0
SSP,2017-06-30,False,Q2,2017,10-Q,231820000.0,20893000.0,8429000.0,0.1,0.1,0.0,1741381000.0,380057000.0,99027000.0,149649000.0,957549000.0,28995000.0,-6495000.0,-7203000.0,405312000.0,616780000.0,9295000.0
SSP,2017-09-30,False,Q3,2017,10-Q,216450000.0,-36955000.0,-26684000.0,-0.32,-0.32,0.0,1686610000.0,354932000.0,108678000.0,126535000.0,928974000.0,32834000.0,-23486000.0,-17165000.0,402656000.0,587377000.0,14056000.0
SSP,2016-12-31,False,FY,2016,10-K,943047000.0,126650000.0,66318000.0,0.8,0.79,0.0,1728373000.0,345895000.0,104131000.0,134352000.0,945935000.0,146493000.0,-73428000.0,-53334000.0,393185000.0,616780000.0,27948000.0
SSP,2018-03-31,False,Q1,2018,10-Q,254191000.0,-628000.0,-26449000.0,-0.33,-0.33,0.05,2083982000.0,561043000.0,194177000.0,130385000.0,904688000.0,5015000.0,-11607000.0,-11722000.0,701156000.0,755949000.0,11362000.0
SSP,2017-12-31,False,FY,2017,10-K,864834000.0,-1903000.0,-13106000.0,-0.16,-0.16,0.0,2129548000.0,605534000.0,210788000.0,148699000.0,937485000.0,40852000.0,-299067000.0,272562000.0,701906000.0,755949000.0,17932000.0
SSP,2015-12-31,False,FY,2015,10-K,715656000.0,-82872000.0,-82477000.0,-1.06,-1.06,1.03,1680860000.0,302630000.0,119823000.0,108061000.0,900983000.0,8870000.0,-61112000.0,1844000.0,399143000.0,585787000.0,23105000.0
SSP,2018-06-30,False,Q2,2018,10-Q,283395000.0,22469000.0,5720000.0,0.06,0.06,0.0,2089925000.0,569556000.0,201372000.0,125719000.0,911864000.0,22556000.0,-29851000.0,-15685000.0,700406000.0,755949000.0,25992000.0
SSP,2018-09-30,False,Q3,2018,10-Q,302726000.0,40325000.0,19131000.0,0.23,0.23,0.0,2068030000.0,560932000.0,210193000.0,129743000.0,905652000.0,73788000.0,-44378000.0,-48366000.0,697000000.0,760098000.0,39279000.0
