symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
SSY,2011-12-31,True,Q2,2012,10-Q,37038000.0,-569000.0,-934000.0,-0.1,-0.1,0.0,80850000.0,33163000.0,32596000.0,519000.0,22694000.0,-1023000.0,-518000.0,-5190000.0,,1392000.0,
SSY,2018-12-31,False,Q2,2019,10-Q,14223000.0,-37000.0,305000.0,0.04,0.04,0.0,25726000.0,13194000.0,5678000.0,3326000.0,16233000.0,144000.0,243000.0,-517000.0,3141000.0,,694000.0
SSY,2011-09-30,False,Q1,2012,10-Q,43053000.0,811000.0,-318000.0,-0.04,-0.04,0.0,83098000.0,34471000.0,23293000.0,408000.0,33488000.0,-1349000.0,-272000.0,-5221000.0,,2976000.0,272000.0
SSY,2011-12-31,False,Q2,2012,10-Q,41231000.0,-1347000.0,-1600000.0,-0.17,-0.17,0.0,81837000.0,33917000.0,24131000.0,519000.0,31913000.0,-1035000.0,-506000.0,-5190000.0,,2976000.0,506000.0
SSY,2012-12-31,False,Q2,2013,10-Q,27850000.0,-974000.0,3935000.0,0.42,0.42,0.0,77704000.0,37857000.0,33372000.0,7733000.0,31847000.0,120000.0,16351000.0,-10795000.0,0.0,461000.0,
SSY,2013-03-31,False,Q3,2013,10-Q,29240000.0,-268000.0,-186000.0,-0.02,-0.02,0.0,71860000.0,31948000.0,19682000.0,2559000.0,31479000.0,-4347000.0,15440000.0,-10591000.0,0.0,461000.0,
SSY,2012-09-30,False,Q1,2013,10-Q,25690000.0,-2491000.0,-1424000.0,-0.15,-0.15,0.0,70092000.0,29504000.0,21893000.0,500000.0,27888000.0,-1742000.0,7615000.0,-6580000.0,648000.0,461000.0,
SSY,2012-03-31,False,Q3,2012,10-Q,39484000.0,-308000.0,-1544000.0,-0.16,-0.16,0.0,82761000.0,36502000.0,47439000.0,879000.0,24439000.0,-656000.0,-735000.0,-4980000.0,,461000.0,
SSY,2011-09-30,True,Q1,2012,10-Q,35517000.0,-716000.0,-1555000.0,-0.18,-0.18,0.0,81433000.0,34097000.0,31759000.0,408000.0,23604000.0,-1347000.0,-274000.0,-5221000.0,,1392000.0,
SSY,2012-06-30,False,FY,2012,10-K,146674000.0,5908000.0,1081000.0,0.12,0.12,0.0,79172000.0,30618000.0,31814000.0,2057000.0,29291000.0,3082000.0,-2014000.0,-6261000.0,16086000.0,461000.0,
SSY,2013-09-30,False,Q1,2014,10-Q,25578000.0,-864000.0,-1158000.0,-0.12,-0.12,0.0,66057000.0,26707000.0,22011000.0,4190000.0,32602000.0,2386000.0,-533000.0,-160000.0,8945000.0,461000.0,373000.0
SSY,2013-06-30,False,FY,2013,10-K,108225000.0,-1095000.0,4488000.0,0.48,0.48,0.0,68003000.0,28093000.0,22246000.0,2497000.0,33743000.0,-2016000.0,13419000.0,-10963000.0,0.0,461000.0,
SSY,2014-03-31,False,Q3,2014,10-Q,27718000.0,-998000.0,-964000.0,-0.1,-0.1,0.0,66625000.0,28049000.0,23935000.0,3823000.0,31888000.0,3319000.0,-1373000.0,-620000.0,8733000.0,461000.0,1213000.0
SSY,2014-12-31,False,Q2,2015,10-Q,23126000.0,2022000.0,977000.0,0.1,0.1,0.0,59838000.0,27660000.0,12607000.0,3971000.0,33902000.0,-52000.0,5342000.0,-4906000.0,12445000.0,461000.0,737000.0
SSY,2015-12-31,False,Q2,2016,10-Q,20282000.0,-1779000.0,-9346000.0,-0.99,-0.99,0.0,45708000.0,18993000.0,17991000.0,3742000.0,22586000.0,-921000.0,-845000.0,-466000.0,11579000.0,461000.0,845000.0
