symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
STAY,2016-06-30,False,Q2,2016,10-Q,332789000.0,104712000.0,60729000.0,0.3,0.3,0.0,4406586000.0,,,137104000.0,1436708000.0,190220000.0,-212723000.0,-213655000.0,2786004000.0,53531000.0,109949000.0
STAY,2015-06-30,False,Q2,2015,10-Q,340311000.0,117285000.0,57983000.0,0.28,0.28,0.02,4538700000.0,,,68205000.0,1418599000.0,223276000.0,-189702000.0,-86654000.0,2882242000.0,55633000.0,74083000.0
STAY,2015-03-31,False,Q1,2015,10-Q,287591000.0,69916000.0,21548000.0,0.11,0.11,0.15,4510772000.0,,,71888000.0,1384879000.0,102690000.0,-136743000.0,-15426000.0,2907926000.0,55633000.0,34205000.0
STAY,2016-03-31,False,Q1,2016,10-Q,287558000.0,63756000.0,17046000.0,0.08,0.08,0.15,4432784000.0,,,172430000.0,1443254000.0,82774000.0,-156282000.0,-127314000.0,2785675000.0,53531000.0,56907000.0
STAY,2015-09-30,False,Q3,2015,10-Q,360516000.0,115818000.0,37656000.0,0.18,0.18,0.02,4561780000.0,,,107506000.0,1440691000.0,365231000.0,-256653000.0,-122340000.0,2796221000.0,53531000.0,141158000.0
STAY,2016-09-30,False,Q3,2016,10-Q,354521000.0,121340000.0,46556000.0,0.23,0.23,0.0,4256936000.0,,,149835000.0,1447693000.0,335990000.0,-100793000.0,-458635000.0,2607212000.0,53531000.0,166454000.0
STAY,2018-12-31,False,FY,2018,10-K,53494000.0,377937000.0,112864000.0,0.6,0.59,0.24,3924210000.0,,,287458000.0,1310639000.0,449850000.0,106276000.0,-403607000.0,2423930000.0,45192000.0,158709000.0
STAY,2017-03-31,False,Q1,2017,10-Q,290991000.0,52931000.0,23101000.0,0.12,0.12,0.04,4126730000.0,,,64809000.0,1332032000.0,108964000.0,-47985000.0,-80397000.0,2611920000.0,49011000.0,48447000.0
STAY,2015-12-31,False,FY,2015,10-K,1284753000.0,500072000.0,113040000.0,0.55,0.55,0.0,4528900000.0,,,373239000.0,1488357000.0,428889000.0,66289000.0,-243180000.0,2796314000.0,53531000.0,204717000.0
STAY,2017-06-30,False,Q2,2017,10-Q,338363000.0,98442000.0,51775000.0,0.27,0.27,0.0,4071151000.0,,,56232000.0,1325029000.0,220804000.0,-44670000.0,-204169000.0,2574239000.0,48910000.0,93080000.0
STAY,2017-09-30,False,Q3,2017,10-Q,350866000.0,117918000.0,53876000.0,0.28,0.28,0.0,4111154000.0,,,116660000.0,1348415000.0,369419000.0,-84208000.0,-252984000.0,2571557000.0,48910000.0,132875000.0
STAY,2013-09-30,False,Q3,2013,10-Q,313653000.0,,46156000.0,0.27,0.27,0.0,4612173000.0,,,163512000.0,83776000.0,275985000.0,-195139000.0,-20725000.0,3605521000.0,55633000.0,117842000.0
STAY,2018-03-31,False,Q1,2018,10-Q,297767000.0,68729000.0,14852000.0,0.08,0.08,0.06,3991214000.0,,,190753000.0,1301672000.0,118735000.0,122576000.0,-143218000.0,2506402000.0,47468000.0,29397000.0
STAY,2014-03-31,False,Q1,2014,10-Q,270316000.0,60203000.0,10790000.0,0.05,0.05,0.08,4516915000.0,,,15477000.0,1343167000.0,72518000.0,-141108000.0,23584000.0,2944843000.0,55633000.0,49422000.0
STAY,2016-12-31,False,FY,2016,10-K,1270593000.0,360664000.0,69932000.0,0.35,0.35,0.31,4180304000.0,,,84158000.0,1377239000.0,418405000.0,-159464000.0,-547946000.0,2624601000.0,53531000.0,225323000.0
STAY,2014-06-30,False,Q2,2014,10-Q,321914000.0,106245000.0,43236000.0,0.21,0.21,0.15,4505415000.0,,,18739000.0,1363155000.0,187073000.0,-192617000.0,-36278000.0,2920975000.0,55633000.0,85737000.0
STAY,2013-12-31,False,FY,2013,10-K,1132818000.0,312125000.0,86231000.0,0.49,0.49,0.0,4449687000.0,,,60457000.0,1341208000.0,311313000.0,-165259000.0,-188977000.0,2926045000.0,55633000.0,172540000.0
STAY,2018-06-30,False,Q2,2018,10-Q,0.0,112504000.0,65056000.0,0.34,0.34,0.0,3984586000.0,,,183193000.0,1294601000.0,228648000.0,69865000.0,-221961000.0,2503912000.0,47468000.0,71003000.0
STAY,2017-12-31,False,FY,2017,10-K,1282725000.0,361075000.0,78847000.0,0.41,0.41,0.29,4076005000.0,,,113343000.0,1345847000.0,444169000.0,-115157000.0,-300120000.0,2568901000.0,48866000.0,166378000.0
STAY,2014-12-31,False,FY,2014,10-K,1213475000.0,348738000.0,39596000.0,0.19,0.19,0.53,4481120000.0,,,121324000.0,1389317000.0,370485000.0,-182243000.0,-127160000.0,2891369000.0,55633000.0,173239000.0
STAY,2014-09-30,False,Q3,2014,10-Q,338553000.0,113590000.0,43875000.0,0.22,0.21,0.15,4508391000.0,,,20431000.0,1392403000.0,303327000.0,-246635000.0,-96653000.0,2891275000.0,55633000.0,125892000.0
STAY,2018-09-30,False,Q3,2018,10-Q,8140000.0,121462000.0,71902000.0,0.38,0.38,0.0,4032572000.0,,,370355000.0,1318499000.0,383050000.0,131096000.0,-278412000.0,2501421000.0,45777000.0,106394000.0
