symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
STKS,2018-09-30,False,Q3,2018,10-Q,19960000.0,336000.0,-305000.0,-0.01,-0.01,0.0,53767000.0,9918000.0,17113000.0,968000.0,8845000.0,3407000.0,-2598000.0,-1211000.0,,,3238000.0
CCAC,2013-06-30,False,Q2,2013,10-Q,,-116000.0,-112000.0,-0.01,-0.01,0.0,28801000.0,11000.0,1445000.0,,27356000.0,10000.0,-10000.0,28856000.0,,,
CCAC,2012-09-30,False,Q3,2012,10-Q,,-127000.0,-117000.0,-0.01,-0.01,0.0,28794000.0,22000.0,1090000.0,,27704000.0,22000.0,-22000.0,28856000.0,,,
CCAC,2012-12-31,False,FY,2012,10-K,,-423000.0,-393000.0,-0.03,-0.03,0.0,28802000.0,22000.0,1228000.0,,27574000.0,30000.0,-30000.0,28856000.0,,,
CCAC,2011-12-31,False,FY,2011,10-K,,-291000.0,-293000.0,-0.04,-0.04,0.0,28772000.0,22000.0,805000.0,-1000.0,27967000.0,-1000.0,-28750000.0,28750000.0,,,
CCAC,2012-03-31,False,Q1,2012,10-Q,,-56000.0,-55000.0,0.0,0.0,0.0,28773000.0,22000.0,861000.0,,27912000.0,1000.0,-1000.0,28856000.0,,,
CCAC,2013-03-31,False,Q1,2013,10-Q,,-112000.0,-106000.0,-0.01,-0.01,0.0,28808000.0,22000.0,1340000.0,,27468000.0,6000.0,-6000.0,28856000.0,,,
CCAC,2013-09-30,False,Q3,2013,10-Q,,-155000.0,-153000.0,-0.01,-0.01,0.0,28792000.0,22528000.0,1589000.0,,27203000.0,12000.0,-12000.0,28856000.0,,,
CCAC,2011-09-30,False,Q3,2011,10-Q,,-24000.0,-24000.0,0.0,0.0,0.0,267000.0,,396000.0,,-129000.0,138000.0,,138000.0,,,
CCAC,2014-06-30,False,Q2,2014,10-Q,12267340.0,,3013198.0,0.13,0.13,0.0,33583193.0,12420891.0,9601621.0,7119352.0,10098253.0,-2922534.0,-2215527.0,532634.0,5000.0,,2752083.0
CCAC,2014-03-31,False,Q1,2014,10-Q,10272920.0,,-721803.0,0.0,0.0,0.0,34449295.0,14699357.0,10624142.0,9239687.0,7180935.0,-865665.0,-1683220.0,87065.0,10000.0,,1678761.0
CCAC,2012-06-30,False,Q2,2012,10-Q,,-102000.0,-91000.0,-0.01,-0.01,0.0,28784000.0,22000.0,963000.0,,27821000.0,12000.0,-12000.0,28856000.0,,,
STKS,2014-12-31,False,FY,2014,10-K,49322908.0,,4630159.0,0.29,0.29,0.0,41362141.0,16547231.0,7166058.0,7905004.0,12472697.0,1912534.0,-7385517.0,1994023.0,7475000.0,,7276180.0
STKS,2014-12-31,False,FY,2014,10-K,49322908.0,,4630159.0,0.26,0.26,0.0,41362141.0,16547231.0,7166058.0,7905004.0,12472697.0,1912534.0,-7385517.0,1994023.0,7475000.0,,7276180.0
CCAC,2014-09-30,False,Q3,2014,10-Q,12390184.0,,747426.0,0.04,0.04,0.0,35748679.0,13900060.0,9958429.0,8369894.0,10815128.0,-559245.0,-4195131.0,1477299.0,0.0,,4562397.0
CCAC,2013-12-31,False,FY,2013,10-K,45984679.0,,-21469214.0,-1.14,-1.14,0.0,35196931.0,16661463.0,10487448.0,11681086.0,8226636.0,-5989892.0,-7448852.0,24014606.0,2000000.0,,1446319.0
