symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
SWN,2010-12-31,False,FY,2010,10-K,2610663000.0,1021228000.0,604118000.0,1.75,1.73,0.0,6017463000.0,580893000.0,693983000.0,16055000.0,2964876000.0,1642585000.0,-1725631000.0,86240000.0,1094200000.0,,2073174000.0
SWN,2018-12-31,False,FY,2018,10-K,3862000000.0,797000000.0,535000000.0,0.93,0.93,0.0,5797000000.0,956000000.0,846000000.0,201000000.0,2362000000.0,1223000000.0,359000000.0,-2297000000.0,2318000000.0,,1248000000.0
SWN,2011-06-30,False,Q2,2011,10-Q,765166000.0,282542000.0,167454000.0,0.48,0.48,0.0,6742101000.0,686142000.0,767349000.0,13279000.0,3306431000.0,856930000.0,-984648000.0,124815000.0,1216600000.0,,1024658000.0
SWN,2012-03-31,False,Q1,2012,10-Q,656469000.0,185960000.0,107704000.0,0.31,0.31,0.0,8554161000.0,1228407000.0,960644000.0,206167000.0,4151759000.0,444663000.0,-555210000.0,301117000.0,1670580000.0,,557631000.0
SWN,2011-03-31,False,Q1,2011,10-Q,676335000.0,232651000.0,136609000.0,0.39,0.39,0.0,6340748000.0,557145000.0,695191000.0,17387000.0,3085293000.0,396479000.0,-515458000.0,120289000.0,1204100000.0,,526139000.0
SWN,2012-09-30,False,Q3,2012,10-Q,685848000.0,-220202000.0,-144815000.0,-0.42,-0.42,0.0,7072951000.0,846747000.0,761165000.0,18560000.0,3253279000.0,1192477000.0,-1544425000.0,354891000.0,1696542000.0,,1623751000.0
SWN,2011-09-30,False,Q3,2011,10-Q,767255000.0,295718000.0,175173000.0,0.5,0.5,0.0,7214107000.0,836120000.0,766250000.0,13293000.0,3608553000.0,1300211000.0,-1486324000.0,183254000.0,1272200000.0,,1543549000.0
SWN,2012-06-30,False,Q2,2012,10-Q,599728000.0,-787641000.0,-488100000.0,-1.4,-1.4,0.0,7503963000.0,1003513000.0,885949000.0,41499000.0,3515877000.0,837390000.0,-1101813000.0,290310000.0,1670011000.0,,1140661000.0
SWN,2011-12-31,False,FY,2011,10-K,2952906000.0,1074801000.0,637769000.0,1.84,1.82,0.0,7902897000.0,978278000.0,884913000.0,15627000.0,3969304000.0,1739817000.0,-2024790000.0,284303000.0,1343300000.0,,2184474000.0
SWN,2012-06-30,True,Q2,2012,10-Q,599728000.0,-652394000.0,-405132000.0,-1.16,-1.16,0.0,7639210000.0,1003513000.0,885949000.0,41499000.0,3598845000.0,837390000.0,-1101813000.0,290310000.0,1670011000.0,,1140661000.0
SWN,2013-03-31,False,Q1,2013,10-Q,733649000.0,251960000.0,127515000.0,0.36,0.36,0.0,6916791000.0,616807000.0,731474000.0,17508000.0,3081808000.0,372138000.0,-481162000.0,72945000.0,1703403000.0,,483634000.0
SWN,2013-06-30,False,Q2,2013,10-Q,862041000.0,325317000.0,245631000.0,0.7,0.7,0.0,7635191000.0,792833000.0,847055000.0,25685000.0,3373595000.0,877552000.0,-1161464000.0,255897000.0,1897734000.0,,1175634000.0
SWN,2012-12-31,False,FY,2012,10-K,2715043000.0,-1115576000.0,-707064000.0,-2.03,-2.03,0.0,6737527000.0,808912000.0,767771000.0,53583000.0,3035872000.0,1653942000.0,-1906677000.0,290889000.0,1668273000.0,,2107755000.0
SWN,2013-09-30,False,Q3,2013,10-Q,868366000.0,309229000.0,185867000.0,0.53,0.53,0.0,7894388000.0,739975000.0,809811000.0,18950000.0,3519989000.0,1377518000.0,-1711220000.0,298657000.0,1911165000.0,,1727543000.0
SWN,2012-09-30,True,Q3,2012,10-Q,685848000.0,-71838000.0,-54053000.0,-0.16,-0.16,0.0,7356562000.0,846747000.0,761165000.0,18560000.0,3427009000.0,1192477000.0,-1544425000.0,354891000.0,1696542000.0,,1623751000.0
SWN,2009-06-30,False,Q2,2009,10-Q,477520000.0,202227000.0,121100000.0,0.35,0.35,0.0,4338282000.0,664776000.0,644224000.0,2245000.0,2208344000.0,673731000.0,-968120000.0,100357000.0,,,-963976000.0
SWN,2009-12-31,False,FY,2009,10-K,2145779000.0,-34966000.0,-35650000.0,-0.1,-0.1,0.0,4770250000.0,564501000.0,536416000.0,13184000.0,2340981000.0,1359376000.0,-1780604000.0,238135000.0,,,1780165000.0
SWN,2009-09-30,False,Q3,2009,10-Q,502949000.0,197038000.0,118254000.0,0.34,0.34,0.0,4458143000.0,533836000.0,561516000.0,9659000.0,2229565000.0,989526000.0,-1378632000.0,202488000.0,,,1374047000.0
SWN,2010-03-31,False,Q1,2010,10-Q,668117000.0,288090000.0,171797000.0,0.5,0.49,0.0,5132234000.0,571760000.0,618057000.0,13900000.0,2552385000.0,417579000.0,-441473000.0,24610000.0,,,442122000.0
SWN,2010-06-30,False,Q2,2010,10-Q,589943000.0,206317000.0,122069000.0,0.35,0.35,0.0,5590351000.0,911296000.0,664283000.0,13948000.0,2665867000.0,809053000.0,-995154000.0,186865000.0,1179200000.0,,985310000.0
SWN,2014-06-30,False,Q2,2014,10-Q,1035000000.0,367000000.0,207000000.0,0.59,0.59,0.0,8887000000.0,662000000.0,886000000.0,20000000.0,4042000000.0,1194000000.0,-1124000000.0,-73000000.0,1838000000.0,,1263000000.0
SWN,2010-09-30,False,Q3,2010,10-Q,682172000.0,270136000.0,160741000.0,0.47,0.46,0.0,5992724000.0,961196000.0,646142000.0,14197000.0,2880501000.0,1215062000.0,-1514508000.0,300459000.0,1290600000.0,,1506079000.0
SWN,2014-03-31,False,Q1,2014,10-Q,1112777000.0,434619000.0,-26350000.0,0.55,0.55,0.0,8423164000.0,683101000.0,835155000.0,18719000.0,3800440000.0,608866000.0,-515684000.0,-97329000.0,1827426000.0,,541936000.0
SWN,2013-12-31,False,FY,2013,10-K,3371145000.0,1203623000.0,-12753000.0,2.01,2.0,0.0,8047726000.0,644175000.0,688011000.0,22938000.0,3622030000.0,1908528000.0,-2215776000.0,277199000.0,1950096000.0,,2252647000.0
SWN,2015-06-30,False,Q2,2015,10-Q,764000000.0,-1284000000.0,-815000000.0,-2.13,-2.13,0.0,13504000000.0,699000000.0,840000000.0,37000000.0,6218000000.0,940000000.0,-830000000.0,-126000000.0,,,1586000000.0
SWN,2014-09-30,False,Q3,2014,10-Q,928000000.0,286000000.0,211000000.0,0.6,0.6,0.0,9177000000.0,660000000.0,888000000.0,20000000.0,4293000000.0,1774000000.0,-1687000000.0,-90000000.0,,,1837000000.0
SWN,2015-09-30,False,Q3,2015,10-Q,749000000.0,-2842000000.0,-1766000000.0,-4.62,-4.62,0.0,10725000000.0,570000000.0,782000000.0,15000000.0,4437000000.0,1227000000.0,-1263000000.0,-2000000.0,,,2054000000.0
SWN,2015-03-31,False,Q1,2015,10-Q,933000000.0,165000000.0,46000000.0,0.12,0.12,0.0,15587000000.0,888000000.0,945000000.0,17000000.0,7057000000.0,541000000.0,-1095000000.0,518000000.0,500000000.0,,1171000000.0
SWN,2014-12-31,False,FY,2014,10-K,4038000000.0,1373000000.0,924000000.0,2.63,2.62,0.0,14925000000.0,1115000000.0,5428000000.0,53000000.0,4662000000.0,2335000000.0,-7288000000.0,4983000000.0,500000000.0,,7447000000.0
SWN,2016-06-30,False,Q2,2016,10-Q,522000000.0,-492000000.0,-620000000.0,-1.61,-1.61,0.0,7377000000.0,1278000000.0,591000000.0,998000000.0,573000000.0,165000000.0,-186000000.0,1004000000.0,5768000000.0,,196000000.0
