symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
TA,2018-12-31,False,FY,2018,10-K,6231437000.0,26716000.0,-120553000.0,-0.07,-0.07,0.0,1442108000.0,643676000.0,288691000.0,314387000.0,450392000.0,81606000.0,199299000.0,-2402000.0,320528000.0,25259000.0,5202000.0
TA,2013-09-30,False,Q3,2013,10-Q,2062096000.0,20938000.0,14824000.0,0.53,0.53,0.0,1209154000.0,527028000.0,348362000.0,126862000.0,375045000.0,77862000.0,-92065000.0,105889000.0,,5077000.0,125671000.0
TA,2013-03-31,False,Q1,2013,10-Q,1957351000.0,-8460000.0,-12139000.0,-0.41,-0.41,0.0,1185031000.0,553562000.0,354576000.0,135964000.0,341933000.0,15281000.0,-19486000.0,104989000.0,,22364000.0,32535000.0
TA,2012-06-30,False,Q2,2012,10-Q,2041507000.0,32017000.0,28137000.0,1.04,1.04,0.0,1085611000.0,512273000.0,344831000.0,129386000.0,335355000.0,80300000.0,-68046000.0,-1120000.0,,,68392000.0
TA,2012-03-31,False,Q1,2012,10-Q,1994869000.0,-11309000.0,-14185000.0,-0.49,-0.49,0.0,1032623000.0,492615000.0,319648000.0,94937000.0,305072000.0,4471000.0,-27231000.0,-571000.0,,,34777000.0
TA,2012-12-31,False,FY,2012,10-K,7995724000.0,41470000.0,30347000.0,1.12,1.12,0.0,1018281000.0,393488000.0,283127000.0,35189000.0,353434000.0,83072000.0,-172474000.0,6322000.0,,1690000.0,188694000.0
TA,2012-09-30,False,Q3,2012,10-Q,2034153000.0,20933000.0,17901000.0,0.66,0.66,0.0,1129888000.0,527350000.0,373549000.0,101610000.0,355069000.0,89274000.0,-104284000.0,-1663000.0,,20139000.0,111573000.0
TA,2011-12-31,False,FY,2011,10-K,7888857000.0,32400000.0,23574000.0,0.98,0.98,0.0,1016531000.0,484250000.0,287748000.0,118255000.0,318601000.0,30141000.0,-86798000.0,49547000.0,,,124851000.0
TA,2013-06-30,False,Q2,2013,10-Q,2018754000.0,19971000.0,14992000.0,0.54,0.54,0.0,1230083000.0,562654000.0,384022000.0,135091000.0,358732000.0,63021000.0,-68857000.0,105764000.0,,24571000.0,84703000.0
TA,2015-06-30,False,Q2,2015,10-Q,1582883000.0,21974000.0,3583000.0,0.27,0.27,0.0,1577406000.0,743887000.0,348703000.0,370883000.0,540758000.0,100250000.0,91998000.0,-45596000.0,,3568000.0,3477000.0
TA,2015-03-31,False,Q1,2015,10-Q,1407701000.0,32170000.0,14935000.0,0.41,0.41,0.0,1491564000.0,576967000.0,307289000.0,218151000.0,535317000.0,56933000.0,-62886000.0,-138000.0,230000000.0,57234000.0,40864000.0
TA,2014-03-31,False,Q1,2014,10-Q,1967309000.0,4865000.0,187000.0,0.01,0.01,0.0,1299832000.0,511474000.0,346990000.0,82348000.0,454648000.0,11407000.0,-14375000.0,-332000.0,,48475000.0,17010000.0
TA,2014-06-30,False,Q2,2014,10-Q,2076109000.0,26939000.0,12968000.0,0.36,0.36,0.0,1332896000.0,532671000.0,365047000.0,105394000.0,469713000.0,63559000.0,-42928000.0,-896000.0,,48066000.0,60608000.0
TA,2014-09-30,False,Q3,2014,10-Q,2009217000.0,25324000.0,12172000.0,0.34,0.34,0.0,1334631000.0,516038000.0,349495000.0,126900000.0,483146000.0,122816000.0,-80609000.0,-957000.0,,54969000.0,95435000.0
TA,2013-12-31,False,FY,2013,10-K,7944731000.0,21190000.0,29666000.0,1.06,1.06,0.0,1257282000.0,470394000.0,303613000.0,85657000.0,453877000.0,71513000.0,-196039000.0,175027000.0,,24940000.0,164242000.0
TA,2014-12-31,False,FY,2014,10-K,7778633000.0,113640000.0,57983000.0,1.62,1.62,0.0,1425174000.0,562532000.0,267138000.0,224275000.0,518610000.0,161125000.0,-134418000.0,111941000.0,230000000.0,32271000.0,28695000.0
TA,2011-06-30,False,Q2,2011,10-Q,2094957000.0,24066000.0,21667000.0,0.99,0.99,0.0,1021728000.0,515147000.0,310299000.0,136811000.0,310774000.0,-6932000.0,-33789000.0,52112000.0,,,38516000.0
TA,2015-09-30,False,Q3,2015,10-Q,1508993000.0,21444000.0,9332000.0,0.25,0.25,0.0,1628347000.0,599193000.0,361592000.0,228625000.0,550934000.0,140661000.0,-91095000.0,-45134000.0,,26687000.0,3477000.0
TA,2016-03-31,False,Q1,2016,10-Q,1164450000.0,-8778000.0,-9944000.0,-0.26,-0.26,0.0,1637970000.0,465576000.0,330908000.0,129604000.0,540670000.0,11470000.0,-53841000.0,-142000.0,,110743000.0,56479000.0
TA,2011-09-30,False,Q3,2011,10-Q,2087285000.0,22539000.0,20658000.0,0.74,0.74,0.0,1026150000.0,504119000.0,293498000.0,130541000.0,331261000.0,12594000.0,-59193000.0,51809000.0,,,73643000.0
TA,2017-09-30,False,Q3,2017,10-Q,1575677000.0,13112000.0,59085000.0,1.58,1.58,0.0,1690673000.0,454785000.0,377053000.0,74652000.0,586986000.0,46427000.0,-35005000.0,1685000.0,,94059000.0,98780000.0
