symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
TBK,2016-06-30,False,Q2,2016,10-Q,32022000.0,,4431000.0,0.25,0.25,0.0,1783395000.0,,,22567000.0,279763000.0,13086000.0,-137285000.0,80672000.0,,15968000.0,
TBK,2018-12-31,False,FY,2018,10-K,285946000.0,,51130000.0,2.06,2.03,0.0,4559779000.0,,,96218000.0,636607000.0,73830000.0,-268307000.0,295287000.0,,158743000.0,
TBK,2015-09-30,False,Q3,2015,10-Q,31601000.0,,5732000.0,0.32,0.32,0.0,1581463000.0,,,23256000.0,263919000.0,20972000.0,-263140000.0,197063000.0,,15968000.0,
TBK,2015-03-31,False,Q1,2015,10-Q,38238000.0,,13852000.0,0.78,0.76,0.0,1472743000.0,,,24836000.0,252677000.0,41087000.0,-126571000.0,103038000.0,,15968000.0,
TBK,2014-09-30,False,Q3,2014,10-Q,37922000.0,,9495000.0,0.96,0.91,0.0,1347798000.0,,,21567000.0,175828000.0,13803000.0,-100224000.0,76249000.0,,15968000.0,2016000.0
TBK,2015-06-30,False,Q2,2015,10-Q,31366000.0,,4457000.0,0.25,0.25,0.0,1529259000.0,,,27678000.0,257479000.0,13211000.0,-216227000.0,141842000.0,,15968000.0,
TBK,2014-12-31,False,FY,2014,10-K,111997000.0,,16949000.0,1.55,1.52,0.0,1447898000.0,,,21312000.0,237509000.0,20080000.0,-122492000.0,177503000.0,,15968000.0,2745000.0
TBK,2015-12-31,False,FY,2015,10-K,132057000.0,,28353000.0,1.6,1.57,0.0,1691313000.0,,,23447000.0,268038000.0,25296000.0,-389133000.0,308226000.0,,15968000.0,
TBK,2016-12-31,False,FY,2016,10-K,145448000.0,,19813000.0,1.11,1.1,0.0,2641067000.0,,,38613000.0,289345000.0,30983000.0,-273556000.0,251810000.0,,28810000.0,
TBK,2016-03-31,False,Q1,2016,10-Q,29874000.0,,4812000.0,0.27,0.27,0.0,1687795000.0,,,18616000.0,274114000.0,6270000.0,20542000.0,-8374000.0,,15968000.0,
TBK,2017-06-30,False,Q2,2017,10-Q,48740000.0,,9467000.0,0.53,0.51,0.0,2836684000.0,,,37341000.0,310467000.0,20447000.0,-187854000.0,170395000.0,,28810000.0,
TBK,2016-09-30,False,Q3,2016,10-Q,39570000.0,,4506000.0,0.25,0.25,0.0,2575490000.0,,,26212000.0,284521000.0,21576000.0,-214440000.0,192312000.0,,28598000.0,
TBK,2017-03-31,False,Q1,2017,10-Q,63617000.0,,10281000.0,0.57,0.55,0.0,2635358000.0,,,32252000.0,300425000.0,3614000.0,29780000.0,-21824000.0,,28810000.0,
TBK,2017-09-30,False,Q3,2017,10-Q,49308000.0,,9587000.0,0.48,0.47,0.0,2906161000.0,,,34120000.0,386097000.0,32992000.0,-292951000.0,226002000.0,,28810000.0,
TBK,2018-06-30,False,Q2,2018,10-Q,66194000.0,,12192000.0,0.48,0.47,0.0,3794631000.0,,,56029000.0,607225000.0,29979000.0,-272243000.0,241500000.0,,86668000.0,
TBK,2017-12-31,False,FY,2017,10-K,217880000.0,,35446000.0,1.85,1.81,0.0,3499033000.0,,,59114000.0,391698000.0,47273000.0,-379771000.0,352113000.0,,44126000.0,
TBK,2018-09-30,False,Q3,2018,10-Q,77818000.0,,8975000.0,0.34,0.34,0.0,4537102000.0,,,74737000.0,616641000.0,53100000.0,-197572000.0,292752000.0,,158728000.0,
TBK,2018-03-31,False,Q1,2018,10-Q,59290000.0,,11878000.0,0.57,0.56,0.0,3405010000.0,,,45887000.0,402944000.0,9450000.0,65248000.0,-102781000.0,,45373000.0,
