symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
TBPH,2014-03-31,False,Q1,2014,10-Q,945000.0,,-60018000.0,,,0.0,26167000.0,15600000.0,38544000.0,0.0,-17916000.0,-44799000.0,-1620000.0,46419000.0,,,1620000.0
TBPH,2018-12-31,False,FY,2018,10-K,60370000.0,-238751000.0,-215524000.0,-3.99,-3.99,0.0,560235000.0,532823000.0,98554000.0,378021000.0,-51589000.0,-112867000.0,176708000.0,225200000.0,454353000.0,,7240000.0
TBPH,2015-03-31,False,Q1,2015,10-Q,20401000.0,-37737000.0,-42474000.0,-1.29,-1.29,0.0,324901000.0,275556000.0,28852000.0,100899000.0,289115000.0,-56514000.0,42154000.0,26044000.0,,,657000.0
TBPH,2014-06-30,False,Q2,2014,10-Q,2974000.0,-56706000.0,-58215000.0,-1.83,-1.83,0.0,430588000.0,382733000.0,40111000.0,268199000.0,384759000.0,-96239000.0,-6079000.0,370517000.0,,,1881000.0
TBPH,2016-09-30,False,Q3,2016,10-Q,19075000.0,-33494000.0,-33962000.0,-0.73,-0.73,0.0,356289000.0,274035000.0,45410000.0,86572000.0,297873000.0,-70876000.0,-102030000.0,146771000.0,,,1735000.0
TBPH,2014-12-31,False,FY,2014,10-K,11688000.0,-232539000.0,-237038000.0,-7.46,-7.46,0.0,337771000.0,275370000.0,41256000.0,89215000.0,289787000.0,-175155000.0,-106251000.0,370621000.0,,,3107000.0
TBPH,2014-09-30,False,Q3,2014,10-Q,6336000.0,-50062000.0,-54495000.0,-1.72,-1.72,0.0,381705000.0,306711000.0,35828000.0,122228000.0,339821000.0,-132616000.0,-115935000.0,370779000.0,,,2342000.0
TBPH,2015-06-30,False,Q2,2015,10-Q,7134000.0,-45293000.0,-47603000.0,-1.42,-1.42,0.0,289479000.0,260226000.0,24477000.0,97090000.0,257674000.0,-103128000.0,83453000.0,27550000.0,,,1367000.0
TBPH,2015-09-30,False,Q3,2015,10-Q,10698000.0,-43095000.0,-47314000.0,-1.4,-1.4,0.0,257506000.0,238239000.0,27430000.0,127114000.0,222545000.0,-135111000.0,145542000.0,27468000.0,,,2041000.0
TBPH,2015-12-31,False,FY,2015,10-K,42126000.0,-181899000.0,-182219000.0,-5.34,-5.34,0.0,300116000.0,237472000.0,49470000.0,112707000.0,243065000.0,-168857000.0,111039000.0,81310000.0,,,2647000.0
TBPH,2017-03-31,False,Q1,2017,10-Q,3087000.0,-58829000.0,-65319000.0,-1.27,-1.27,0.0,588039000.0,421504000.0,48984000.0,169945000.0,293946000.0,-50026000.0,-123522000.0,-1216000.0,,,587000.0
TBPH,2016-03-31,False,Q1,2016,10-Q,18410000.0,-41642000.0,-42150000.0,-1.1,-1.1,0.0,293125000.0,238752000.0,46401000.0,128803000.0,238537000.0,-26309000.0,16385000.0,26020000.0,,,684000.0
TBPH,2017-06-30,False,Q2,2017,10-Q,3509000.0,-65121000.0,-66287000.0,-1.27,-1.27,0.0,543886000.0,384882000.0,57103000.0,139626000.0,241127000.0,-94551000.0,-112346000.0,1814000.0,,,1325000.0
TBPH,2016-06-30,False,Q2,2016,10-Q,5471000.0,-47497000.0,-47225000.0,-1.06,-1.06,0.0,374488000.0,303125000.0,44657000.0,148363000.0,321584000.0,-58444000.0,-52190000.0,146290000.0,,,1322000.0
TBPH,2018-06-30,False,Q2,2018,10-Q,23476000.0,-48704000.0,-40818000.0,-0.76,-0.76,0.0,421364000.0,386693000.0,93480000.0,103854000.0,34387000.0,-11712000.0,30668000.0,-4082000.0,,,3865000.0
TBPH,2018-03-31,False,Q1,2018,10-Q,8319000.0,-64976000.0,-65087000.0,-1.22,-1.22,0.0,480108000.0,446818000.0,105179000.0,125831000.0,63407000.0,49825000.0,-11294000.0,-1680000.0,,,2771000.0
TBPH,2016-12-31,False,FY,2016,10-K,48648000.0,-180467000.0,-190669000.0,-4.26,-4.26,0.0,639254000.0,528503000.0,49268000.0,344709000.0,350231000.0,-98989000.0,-148235000.0,479226000.0,,,2135000.0
TBPH,2017-12-31,False,FY,2017,10-K,15386000.0,-260123000.0,-285405000.0,-5.45,-5.45,0.0,441400000.0,378749000.0,62552000.0,88980000.0,115178000.0,-201052000.0,-56333000.0,1656000.0,,,2406000.0
TBPH,2017-09-30,False,Q3,2017,10-Q,4275000.0,-56997000.0,-66877000.0,-1.27,-1.27,0.0,486159000.0,367133000.0,48786000.0,91301000.0,184117000.0,-156850000.0,-97583000.0,1025000.0,,,2151000.0
TBPH,2018-09-30,False,Q3,2018,10-Q,12838000.0,-62450000.0,-59433000.0,-1.1,-1.1,0.0,370964000.0,332606000.0,102029000.0,101202000.0,-13445000.0,-60689000.0,77315000.0,-4404000.0,,,5740000.0
