symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
TCON,2018-12-31,False,FY,2018,10-K,3000000.0,-34740000.0,-34959000.0,-1.3,-1.3,0.0,40648000.0,40603000.0,13495000.0,25136000.0,21442000.0,-30783000.0,-8869000.0,35321000.0,,,
TCON,2018-06-30,False,Q2,2018,10-Q,0.0,-9737000.0,-9754000.0,-0.33,-0.33,0.0,54920000.0,54861000.0,11332000.0,34434000.0,36958000.0,-16432000.0,-13923000.0,35322000.0,,,
TCON,2016-03-31,False,Q1,2016,10-Q,2389000.0,-6294000.0,-6526000.0,-0.54,-0.54,0.0,46990000.0,46795000.0,14198000.0,43265000.0,25320000.0,-6668000.0,8553000.0,7000.0,,,3000.0
TCON,2016-06-30,False,Q2,2016,10-Q,2186000.0,-8010000.0,-8297000.0,-0.68,-0.68,0.0,37898000.0,37727000.0,13236000.0,34020000.0,18091000.0,-16122000.0,8641000.0,128000.0,,,3000.0
TCON,2015-03-31,False,Q1,2015,10-Q,4527000.0,-3712000.0,-4026000.0,-0.5,-0.5,0.0,67101000.0,66970000.0,12800000.0,65291000.0,49166000.0,-4800000.0,-2000.0,35093000.0,,,2000.0
TCON,2015-09-30,False,Q3,2015,10-Q,4320000.0,-6235000.0,-6447000.0,-0.53,-0.53,0.0,60040000.0,59859000.0,11631000.0,47152000.0,41060000.0,-11645000.0,-10582000.0,34379000.0,,,77000.0
TCON,2016-09-30,False,Q3,2016,10-Q,1749000.0,-5597000.0,-5871000.0,-0.48,-0.48,0.0,36614000.0,36508000.0,13170000.0,29648000.0,17784000.0,-21165000.0,5312000.0,4128000.0,,,3000.0
TCON,2015-06-30,False,Q2,2015,10-Q,4789000.0,-2684000.0,-2921000.0,-0.24,-0.24,0.0,65662000.0,65479000.0,10886000.0,61164000.0,46791000.0,-8112000.0,-64000.0,34340000.0,,,64000.0
TCON,2015-12-31,False,FY,2015,10-K,7904000.0,-23467000.0,-24441000.0,-2.2,-2.2,0.0,53522000.0,53306000.0,14175000.0,41373000.0,30978000.0,-19163000.0,-10917000.0,36453000.0,,,127000.0
TCON,2018-03-31,False,Q1,2018,10-Q,3000000.0,-8189000.0,-8364000.0,-0.46,-0.46,0.0,63861000.0,63795000.0,15066000.0,62493000.0,42489000.0,-6255000.0,5000000.0,34281000.0,,,
TCON,2017-09-30,False,Q3,2017,10-Q,7498000.0,1394000.0,1170000.0,0.07,0.07,0.0,37376000.0,37305000.0,9824000.0,32864000.0,21816000.0,-10934000.0,5681000.0,2407000.0,,,30000.0
TCON,2017-06-30,False,Q2,2017,10-Q,631000.0,-6330000.0,-6566000.0,-0.4,-0.4,0.0,32890000.0,32812000.0,9180000.0,26001000.0,17295000.0,-12273000.0,2687000.0,-123000.0,,,24000.0
TCON,2017-03-31,False,Q1,2017,10-Q,871000.0,-6920000.0,-7147000.0,-0.44,-0.44,0.0,37920000.0,37845000.0,7848000.0,32221000.0,22988000.0,-7565000.0,4200000.0,-124000.0,,,6000.0
TCON,2017-12-31,False,FY,2017,10-K,8755000.0,-18210000.0,-19103000.0,-1.14,-1.14,0.0,36130000.0,36057000.0,11798000.0,29467000.0,16987000.0,-13243000.0,3674000.0,3326000.0,,,39000.0
TCON,2016-12-31,False,FY,2016,10-K,3449000.0,-25976000.0,-27008000.0,-2.13,-2.13,0.0,45730000.0,45648000.0,10243000.0,35710000.0,28336000.0,-27150000.0,2073000.0,19414000.0,,,3000.0
TCON,2018-09-30,False,Q3,2018,10-Q,0.0,-9083000.0,-9085000.0,-0.3,-0.3,0.0,48491000.0,48439000.0,13588000.0,28193000.0,28559000.0,-22657000.0,-13923000.0,35306000.0,,,
