symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
TCS,2015-05-30,False,Q1,2015,10-Q,169833000.0,-4039000.0,-5199000.0,-0.11,-0.11,0.0,770023000.0,156703000.0,122712000.0,9829000.0,196142000.0,-13604000.0,-13144000.0,11323000.0,,202815000.0,13332000.0
TCS,2013-11-30,False,Q3,2013,10-Q,188298000.0,-871000.0,-25083000.0,-1.39,-1.39,0.0,774960000.0,169836000.0,140726000.0,10822000.0,177282000.0,10200000.0,-31709000.0,7304000.0,351838000.0,202815000.0,32117000.0
TCS,2018-12-29,False,Q3,2018,10-Q,221637000.0,11403000.0,9321000.0,,0.19,0.0,772022000.0,186445000.0,135953000.0,20969000.0,251438000.0,17823000.0,-20413000.0,15737000.0,,202815000.0,21328000.0
TCS,2014-08-30,False,Q2,2014,10-Q,193247000.0,12814000.0,6955000.0,0.14,0.14,0.0,786576000.0,164435000.0,127730000.0,15298000.0,195558000.0,11184000.0,-30911000.0,17296000.0,,202815000.0,30917000.0
TCS,2015-02-28,False,FY,2014,10-K,781866000.0,46971000.0,22673000.0,,0.47,0.0,769057000.0,156942000.0,119136000.0,24994000.0,201862000.0,64625000.0,-43944000.0,-12527000.0,,202815000.0,48740000.0
TCS,2016-07-02,False,Q1,2016,10-Q,177448000.0,1028000.0,-2057000.0,-0.04,-0.04,0.0,771742000.0,162807000.0,125218000.0,8189000.0,206526000.0,-669000.0,-8006000.0,8158000.0,,202815000.0,8013000.0
TCS,2016-12-31,False,Q3,2016,10-Q,216380000.0,12561000.0,5092000.0,0.11,0.11,0.0,780114000.0,181978000.0,123155000.0,18491000.0,211367000.0,23875000.0,-21003000.0,7361000.0,,202815000.0,21010000.0
TCS,2014-05-31,False,Q1,2014,10-Q,173438000.0,-1205000.0,-3579000.0,-0.07,-0.07,0.0,775196000.0,155981000.0,132205000.0,8610000.0,191693000.0,-7763000.0,-13418000.0,11803000.0,,202815000.0,13418000.0
TCS,2015-08-29,False,Q2,2015,10-Q,195482000.0,8692000.0,2673000.0,0.06,0.06,0.0,788695000.0,171459000.0,121497000.0,16379000.0,199837000.0,-10783000.0,-25177000.0,27604000.0,,202815000.0,25847000.0
TCS,2015-11-28,False,Q3,2015,10-Q,197241000.0,1788000.0,-1731000.0,-0.04,-0.04,0.0,789193000.0,172952000.0,122133000.0,14571000.0,196553000.0,-3777000.0,-35768000.0,29688000.0,,202815000.0,36446000.0
TCS,2017-07-01,False,Q1,2017,10-Q,183068000.0,-8037000.0,-7677000.0,-0.16,-0.16,0.0,770241000.0,170194000.0,122520000.0,7216000.0,219892000.0,-4781000.0,-5179000.0,6226000.0,,202815000.0,5181000.0
TCS,2016-02-27,False,FY,2015,10-K,794630000.0,24861000.0,5142000.0,0.11,0.11,0.0,763768000.0,146431000.0,116003000.0,13609000.0,207068000.0,42307000.0,-45750000.0,-7516000.0,,202815000.0,46431000.0
TCS,2016-10-01,False,Q2,2016,10-Q,205060000.0,10272000.0,3541000.0,0.07,0.07,0.0,775865000.0,169055000.0,124650000.0,9329000.0,210465000.0,13418000.0,-15207000.0,2214000.0,,202815000.0,15214000.0
TCS,2017-09-30,False,Q2,2017,10-Q,218410000.0,7884000.0,-875000.0,-0.02,-0.02,0.0,771953000.0,171501000.0,135673000.0,10145000.0,222881000.0,22956000.0,-13111000.0,-10824000.0,,202815000.0,13129000.0
TCS,2017-12-30,False,Q3,2017,10-Q,222986000.0,13899000.0,28379000.0,0.59,0.59,0.0,784399000.0,186048000.0,138451000.0,22653000.0,251663000.0,39392000.0,-20082000.0,-8170000.0,,202815000.0,20101000.0
TCS,2014-11-29,False,Q3,2014,10-Q,190922000.0,13756000.0,6249000.0,0.13,0.13,0.0,789566000.0,172871000.0,121988000.0,13965000.0,196331000.0,15664000.0,-35578000.0,16374000.0,,202815000.0,40359000.0
TCS,2017-04-01,False,FY,2016,10-K,819930000.0,41042000.0,14953000.0,192.64000000000001,0.31,0.0,761834000.0,162685000.0,113052000.0,10736000.0,221790000.0,44639000.0,-28508000.0,-13981000.0,,202815000.0,28515000.0
TCS,2014-03-01,False,FY,2013,10-K,748538000.0,31027000.0,-51581000.0,-2.87,-2.87,0.0,783474000.0,164732000.0,136841000.0,18046000.0,197186000.0,50762000.0,-47826000.0,-9974000.0,351284000.0,202815000.0,48565000.0
TCS,2018-03-31,False,FY,2017,10-K,857228000.0,34087000.0,19428000.0,861.98,0.4,0.0,749369000.0,154194000.0,126537000.0,8399000.0,248707000.0,62176000.0,-27550000.0,-37688000.0,,202815000.0,27646000.0
TCS,2018-06-30,False,Q1,2018,10-Q,195823000.0,-2336000.0,-6764000.0,-0.14,-0.14,0.0,752363000.0,167308000.0,134720000.0,14102000.0,235890000.0,-3320000.0,-4455000.0,13842000.0,,202815000.0,4456000.0
TCS,2018-09-29,False,Q2,2018,10-Q,224453000.0,14117000.0,3241000.0,,0.07,0.0,751454000.0,168390000.0,136543000.0,7212000.0,240972000.0,8136000.0,-10662000.0,1774000.0,,202815000.0,10669000.0
