symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
SYMS,2011-11-26,False,Q3,2011,10-Q,66540000.0,-12651000.0,-65955000.0,-4.56,-4.56,0.0,212577000.0,212577000.0,164689000.0,45003000.0,,-10007000.0,20869000.0,-10885000.0,,,1154000.0
SYMS,2012-02-25,False,FY,2012,10-K,,,,,,0.0,178184000.0,178184000.0,157001000.0,26304000.0,,,,,,,
TPHS,2018-09-30,False,Q3,2018,10-Q,1298000.0,-2104000.0,-2304000.0,-0.07,-0.07,0.0,230010000.0,,,14620000.0,61992000.0,-3294000.0,-79073000.0,75383000.0,113998000.0,,
SYMS,2012-05-26,False,Q1,2013,10-Q,,,,,,0.0,161617000.0,,,12219000.0,,,,,,,
TPHS,2012-08-25,False,Q2,2013,10-Q,,,,,,0.0,157396000.0,,,7861000.0,,,,,,,
SYMS,2011-08-27,False,Q2,2011,10-Q,86319000.0,-18919000.0,-11546000.0,-0.8,-0.8,0.0,244668000.0,83271000.0,60470000.0,2412000.0,150911000.0,-7168000.0,17147000.0,-9865000.0,,,1062000.0
TPHS,2012-11-24,False,Q3,2013,10-Q,,,,,,0.0,169839000.0,,,17655000.0,,,,,,,
TPHS,2013-03-02,False,FY,2013,10-K,,,,,,0.0,159104000.0,,,13454000.0,,,,,,,
TPHS,2013-08-31,False,Q2,2014,10-Q,,,,,,0.0,150382000.0,,,36657000.0,,,,,,,
TPHS,2013-06-01,False,Q1,2014,10-Q,,,,,,0.0,154059000.0,,,12198000.0,,,,,,,
TPHS,2013-11-30,False,Q3,2014,10-Q,,,,,,0.0,125112000.0,,,16144000.0,,,,,,,
TPHS,2014-03-01,False,FY,2014,10-K,,,,,,0.0,175378000.0,,,9663000.0,,,,,,,
TPHS,2014-11-29,False,Q3,2015,10-Q,,,,,,0.0,140774000.0,,,8152000.0,,,,,,,
TPHS,2014-08-30,False,Q2,2015,10-Q,,,,,,0.0,147151000.0,,,13354000.0,,,,,,,
TPHS,2015-05-30,False,Q1,2016,10-Q,224000.0,-2121000.0,-2015000.0,-0.1,-0.1,0.0,63149000.0,,,19453000.0,-356000.0,-16437000.0,13084000.0,,40000000.0,,
TPHS,2014-05-31,False,Q1,2015,10-Q,,,,,,0.0,169688000.0,,,33580000.0,,,,,,,
TPHS,2015-08-29,False,Q2,2016,10-Q,188000.0,-1581000.0,-1364000.0,-0.07,-0.07,0.0,58876000.0,,,16296000.0,-1371000.0,-20827000.0,14358000.0,,40000000.0,,
TPHS,2016-03-31,False,Q1,2016,10-Q,475000.0,-2044000.0,-1838000.0,-0.07,-0.07,0.0,79643000.0,,,25285000.0,30581000.0,-10369000.0,-2243000.0,-276000.0,39702000.0,,
TPHS,2016-06-30,False,Q2,2016,10-Q,398000.0,-1494000.0,-1493000.0,-0.06,-0.06,0.0,85657000.0,,,24803000.0,28893000.0,-12040000.0,-8107000.0,6777000.0,48461000.0,,
TPHS,2016-09-30,False,Q3,2016,10-Q,536000.0,-1370000.0,-1422000.0,-0.06,-0.06,0.0,85263000.0,,,18240000.0,28778000.0,-10990000.0,-15627000.0,6684000.0,48584000.0,,
TPHS,2015-02-28,False,FY,2015,10-K,0.24,,,,,0.0,205244000.0,,,24496000.0,245000.0,-115000.0,,,40000000.0,,
TPHS,2017-03-31,False,Q1,2017,10-Q,460000.0,-1302000.0,-681000.0,-0.02,-0.02,0.0,111674000.0,,,26679000.0,54228000.0,-2112000.0,-1795000.0,25908000.0,48757000.0,,
TPHS,2017-06-30,False,Q2,2017,10-Q,495000.0,-1343000.0,-1776000.0,-0.06,-0.06,0.0,122379000.0,,,34555000.0,65208000.0,-3878000.0,-3844000.0,37599000.0,48425000.0,,
TPHS,2015-11-28,False,Q3,2016,10-Q,326000.0,-2337000.0,-2386000.0,-0.12,-0.12,0.0,56297000.0,,,10189000.0,-3343000.0,-23840000.0,12107000.0,,40000000.0,,
TPHS,2018-03-31,False,Q1,2018,10-Q,397000.0,-1494000.0,-1558000.0,-0.05,-0.05,0.0,141445000.0,,,24806000.0,65729000.0,-2900000.0,9470000.0,4182000.0,41242000.0,,
TPHS,2017-09-30,False,Q3,2017,10-Q,507000.0,-4884000.0,-1452000.0,-0.05,-0.05,0.0,122509000.0,,,34876000.0,64351000.0,-7070000.0,-17000.0,37285000.0,48294000.0,,
TPHS,2018-06-30,False,Q2,2018,10-Q,673000.0,-1793000.0,-1841000.0,-0.06,-0.06,0.0,215954000.0,,,15155000.0,63854000.0,-3174000.0,-76640000.0,71948000.0,109922000.0,,
TPHS,2016-12-31,False,FY,2016,10-K,1856000.0,-7178000.0,-7436000.0,-0.29,-0.29,0.0,85601000.0,,,4678000.0,28025000.0,-14842000.0,-26214000.0,7561000.0,48705000.0,,
TPHS,2017-12-31,False,FY,2017,10-K,1862000.0,-9219000.0,-2021000.0,-0.07,-0.07,0.0,121015000.0,,,15273000.0,67290000.0,-4640000.0,-9726000.0,24961000.0,36167000.0,,
