symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
TRMB,2011-04-01,False,Q1,2011,10-Q,384293000.0,43675000.0,39703000.0,0.33,0.32,0.0,1999704000.0,795931000.0,421680000.0,244342000.0,1489001000.0,27927000.0,-43221000.0,35470000.0,,863459000.0,4036000.0
TRMB,2018-12-28,False,FY,2018,10-K,3205500000.0,320700000.0,282800000.0,1.13,1.12,0.0,5776400000.0,1089100000.0,1055200000.0,172500000.0,2674800000.0,486700000.0,-1649600000.0,989400000.0,1968500000.0,3540000000.0,67600000.0
TRMB,2010-12-31,False,FY,2010,10-K,1293937000.0,127602000.0,103660000.0,0.86,0.84,0.0,1866892000.0,714370000.0,251815000.0,220788000.0,1385699000.0,124030000.0,-156374000.0,-20164000.0,,828737000.0,23133000.0
TRMB,2010-07-02,False,Q2,2010,10-Q,333363000.0,40561000.0,6353000.0,0.05,0.05,0.0,1780533000.0,719944000.0,293788000.0,261660000.0,1242408000.0,95309000.0,-60708000.0,-41325000.0,,769438000.0,11030000.0
TRMB,2010-10-01,False,Q3,2010,10-Q,318210000.0,31670000.0,32845000.0,0.27,0.27,0.0,1816080000.0,686100000.0,262266000.0,211056000.0,1319327000.0,87032000.0,-109137000.0,-40464000.0,,812564000.0,17162000.0
TRMB,2011-07-01,False,Q2,2011,10-Q,407169000.0,51567000.0,53678000.0,0.44,0.43,0.0,2069805000.0,812738000.0,292584000.0,249811000.0,1560002000.0,110716000.0,-94461000.0,8007000.0,127256000.0,894514000.0,9322000.0
TRMB,2011-09-30,False,Q3,2011,10-Q,417433000.0,32448000.0,27971000.0,0.23,0.22,0.0,2713398000.0,740659000.0,394778000.0,138255000.0,1564457000.0,161821000.0,-771846000.0,528163000.0,637253000.0,1312480000.0,16002000.0
TRMB,2012-06-29,False,Q2,2012,10-Q,517560000.0,58921000.0,53692000.0,0.43,0.42,0.0,2972962000.0,751441000.0,459656000.0,121937000.0,1722737000.0,155094000.0,-359469000.0,174903000.0,697357000.0,1522485000.0,21308000.0
TRMB,2012-03-30,False,Q1,2012,10-Q,502267000.0,59848000.0,50818000.0,0.41,0.4,0.0,2872072000.0,833719000.0,465953000.0,209146000.0,1703556000.0,67658000.0,-109540000.0,92912000.0,623133000.0,1379353000.0,7644000.0
TRMB,2011-12-30,False,FY,2011,10-K,1644065000.0,156402000.0,150755000.0,1.23,1.2,0.0,2652475000.0,733057000.0,411323000.0,154621000.0,1588902000.0,241629000.0,-773565000.0,464167000.0,564436000.0,1297692000.0,23278000.0
TRMB,2012-09-28,False,Q3,2012,10-Q,504763000.0,63470000.0,53364000.0,0.42,0.42,0.0,3021493000.0,778025000.0,485066000.0,141840000.0,1825053000.0,243894000.0,-387962000.0,131309000.0,643107000.0,1551886000.0,34126000.0
TRMB,2013-09-27,False,Q3,2013,10-Q,556502000.0,63029000.0,54469000.0,0.21,0.21,0.0,3635172000.0,828493000.0,569037000.0,115257000.0,2140153000.0,278408000.0,-256408000.0,-62395000.0,809064000.0,1938870000.0,57646000.0
TRMB,2013-06-28,False,Q2,2013,10-Q,576293000.0,64905000.0,54581000.0,0.21,0.21,0.0,3633760000.0,846640000.0,581753000.0,129072000.0,2041289000.0,172043000.0,-215128000.0,18403000.0,899187000.0,1911578000.0,39431000.0
TRMB,2013-03-29,False,Q1,2013,10-Q,556111000.0,56457000.0,49808000.0,0.2,0.19,0.0,3565721000.0,889950000.0,556454000.0,143552000.0,1965868000.0,37388000.0,-76405000.0,28240000.0,920439000.0,1837937000.0,14927000.0
TRMB,2012-12-28,False,FY,2012,10-K,2040113000.0,212568000.0,191060000.0,1.52,1.49,0.0,3469104000.0,815973000.0,468670000.0,157771000.0,1913524000.0,340700000.0,-764286000.0,426407000.0,911158000.0,1815699000.0,54071000.0
TRMB,2014-04-04,False,Q1,2014,10-Q,604721000.0,75711000.0,68624000.0,0.26,0.26,0.0,3777583000.0,930871000.0,562972000.0,165226000.0,2353551000.0,83395000.0,-14142000.0,-51129000.0,664652000.0,1990457000.0,13574000.0
TRMB,2014-07-04,False,Q2,2014,10-Q,642199000.0,97134000.0,77834000.0,0.3,0.29,0.0,3867239000.0,1041704000.0,571592000.0,278919000.0,2450795000.0,214588000.0,-33740000.0,-49690000.0,655863000.0,1997783000.0,28425000.0
TRMB,2015-07-03,False,Q2,2015,10-Q,585800000.0,36000000.0,25900000.0,0.1,0.1,0.0,3780200000.0,885100000.0,696600000.0,129000000.0,2339200000.0,204000000.0,-67700000.0,-148200000.0,639600000.0,2087400000.0,26500000.0
TRMB,2014-01-03,False,FY,2013,10-K,2288124000.0,251737000.0,218855000.0,0.85,0.84,0.0,3700840000.0,837017000.0,576990000.0,147227000.0,2233982000.0,414635000.0,-324764000.0,-98419000.0,758458000.0,1989470000.0,70877000.0
TRMB,2015-04-03,False,Q1,2015,10-Q,582600000.0,39500000.0,34100000.0,0.13,0.13,0.0,3797700000.0,917000000.0,698300000.0,145700000.0,2340600000.0,107200000.0,-35400000.0,-65200000.0,663400000.0,2059400000.0,10600000.0
TRMB,2015-01-02,False,FY,2014,10-K,2395546000.0,260823000.0,214118000.0,0.82,0.81,0.0,3874348000.0,902616000.0,588299000.0,148000000.0,2368852000.0,407083000.0,-344046000.0,-51524000.0,738446000.0,2101169000.0,47312000.0
TRMB,2015-10-02,False,Q3,2015,10-Q,562300000.0,46000000.0,37100000.0,0.15,0.14,0.0,3719900000.0,853000000.0,687500000.0,123600000.0,2203200000.0,276400000.0,-113400000.0,-177000000.0,759400000.0,2083700000.0,35700000.0
TRMB,2017-06-30,False,Q2,2017,10-Q,661900000.0,62600000.0,49900000.0,0.2,0.19,0.0,4038300000.0,1183100000.0,826800000.0,384900000.0,2517700000.0,248700000.0,-110300000.0,19300000.0,612300000.0,2183700000.0,15600000.0
