symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
SFES,2013-03-31,False,Q1,2013,10-Q,11000.0,-542000.0,-565000.0,-0.01,-0.01,0.0,3904000.0,3605000.0,1135000.0,1834000.0,2769000.0,-565000.0,0.0,2124000.0,,,861000.0
SFES,2013-06-30,False,Q2,2013,10-Q,6000.0,-960000.0,-960000.0,-0.02,-0.02,0.0,2914000.0,2648000.0,667000.0,1026000.0,2247000.0,-1373000.0,46000.0,29228000.0,,,861000.0
SFES,2011-12-31,False,FY,2011,10-K,,-5673000.0,-5758000.0,-0.21,-0.21,0.0,993000.0,507000.0,469000.0,298000.0,-1999000.0,-4867000.0,-293000.0,2426000.0,,,832000.0
SFES,2012-03-31,False,Q1,2012,10-Q,0.0,-2092000.0,-2137000.0,-0.06,-0.06,0.0,5091000.0,4644000.0,798000.0,3979000.0,4293000.0,-2157000.0,-5000.0,5843000.0,,,837000.0
SFES,2012-06-30,False,Q2,2012,10-Q,9000.0,-1999000.0,-2002000.0,-0.04,-0.04,0.0,3551000.0,3148000.0,1146000.0,1301000.0,2405000.0,-4834000.0,69000.0,26002000.0,,,838000.0
SFES,2011-09-30,False,Q3,2011,10-Q,,-1481000.0,-1493000.0,-0.05,-0.05,0.0,1036000.0,603000.0,415000.0,328000.0,-486000.0,-3556000.0,169000.0,18784000.0,,,738000.0
SFES,2012-12-31,False,FY,2012,10-K,35000.0,-6655000.0,-6724000.0,-0.15,-0.15,0.0,2420000.0,2086000.0,2175000.0,275000.0,245000.0,-6939000.0,-29000.0,6944000.0,,,861000.0
SFES,2012-09-30,False,Q3,2012,10-Q,11000.0,-1376000.0,-1378000.0,-0.03,-0.03,0.0,2300000.0,1942000.0,860000.0,118000.0,1140000.0,-6317000.0,69000.0,26302000.0,,,838000.0
TRXC,2018-12-31,False,FY,2018,10-K,24102000.0,-49152000.0,-61777000.0,-0.3,-0.3,0.0,239307000.0,101583000.0,21819000.0,21061000.0,168521000.0,-48493000.0,-53481000.0,26452000.0,30000000.0,80131000.0,770000.0
SFES,2013-09-30,False,Q3,2013,10-Q,362000.0,-9213000.0,-11265000.0,-0.21,-0.21,0.0,125933000.0,27060000.0,7440000.0,23829000.0,112889000.0,-14047000.0,-616000.0,29596000.0,9399000.0,93670000.0,724000.0
TRXC,2014-03-31,False,Q1,2014,10-Q,93000.0,-7158000.0,-7479000.0,-0.15,-0.15,0.0,108889000.0,10176000.0,7354000.0,4160000.0,97957000.0,-6459000.0,1535000.0,-930000.0,7543000.0,93842000.0,187000.0
TRXC,2013-12-31,False,FY,2013,10-K,1431000.0,-25604000.0,-28358000.0,-0.45,-0.45,0.0,116714000.0,17755000.0,7089000.0,10014000.0,105023000.0,-21236000.0,-6467000.0,28821000.0,8481000.0,93842000.0,1377000.0
TRXC,2014-09-30,False,Q3,2014,10-Q,61000.0,-11270000.0,-11507000.0,-0.18,-0.18,0.0,144920000.0,45482000.0,5021000.0,44344000.0,130028000.0,-24210000.0,4590000.0,53950000.0,5603646.0,93842000.0,1626000.0
SFES,2011-06-30,False,Q2,2011,10-Q,,-1316000.0,-1322000.0,-0.05,-0.05,0.0,1263000.0,896000.0,354000.0,594000.0,909000.0,-2311000.0,283000.0,17691000.0,,,624000.0
TRXC,2015-03-31,False,Q1,2015,10-Q,,-9839000.0,-10120000.0,-0.16,-0.16,0.0,128351000.0,29074000.0,5444000.0,28376000.0,114547000.0,-8214000.0,-155000.0,1979000.0,,93842000.0,155000.0
TRXC,2016-03-31,False,Q1,2016,10-Q,,-14980000.0,-12913000.0,-0.12,-0.12,0.0,267776000.0,64286000.0,30596000.0,53511000.0,200857000.0,-14869000.0,-153000.0,30050000.0,,132394000.0,153000.0
TRXC,2014-06-30,False,Q2,2014,10-Q,113000.0,-10381000.0,-10587000.0,-0.18,-0.18,0.0,152795000.0,53719000.0,9574000.0,52566000.0,140689000.0,-13362000.0,5281000.0,50633000.0,6584000.0,93842000.0,910000.0
TRXC,2015-09-30,False,Q3,2015,10-Q,25000000.0,-13564000.0,-13901000.0,-0.16,-0.16,0.0,268432000.0,61862000.0,15334000.0,52893000.0,192696000.0,-24575000.0,-25728000.0,68430000.0,20000000.0,116054000.0,728000.0
TRXC,2014-12-31,False,FY,2014,10-K,401000.0,-36609000.0,-37652000.0,-0.64,-0.64,0.0,135211000.0,35689000.0,4147000.0,34766000.0,121789000.0,-33228000.0,4042000.0,53938000.0,10000000.0,93842000.0,2174000.0
TRXC,2015-06-30,False,Q2,2015,10-Q,,-9068000.0,-9348000.0,-0.14,-0.14,0.0,170550000.0,71707000.0,6352000.0,71112000.0,156771000.0,-16126000.0,-311000.0,52783000.0,,93842000.0,311000.0
TRXC,2017-06-30,False,Q2,2017,10-Q,1584000.0,-14792000.0,-14713000.0,-0.11,-0.11,0.0,185839000.0,48114000.0,17358000.0,29741000.0,123822000.0,-25515000.0,-1795000.0,28878000.0,14000000.0,70310000.0,1397000.0
TRXC,2016-09-30,False,Q3,2016,10-Q,1466000.0,-13552000.0,-12944000.0,-0.11,-0.11,0.0,197032000.0,53548000.0,28993000.0,42518000.0,135134000.0,-47618000.0,-878000.0,52698000.0,,69948000.0,878000.0
TRXC,2016-06-30,False,Q2,2016,10-Q,,-80729000.0,-80131000.0,-0.7,-0.7,0.0,210196000.0,75963000.0,29504000.0,64609000.0,145892000.0,-27826000.0,-517000.0,54594000.0,,69756000.0,517000.0
TRXC,2016-12-31,False,FY,2016,10-K,1519000.0,-123649000.0,-119980000.0,-1.07,-1.07,0.0,176249000.0,38016000.0,30689000.0,24165000.0,117870000.0,-52386000.0,-1361000.0,49943000.0,13097000.0,68697000.0,1361000.0
TRXC,2015-12-31,False,FY,2015,10-K,77000.0,-46371000.0,-46948000.0,-0.59,-0.59,0.0,248602000.0,49143000.0,31072000.0,38449000.0,177277000.0,-38509000.0,-26234000.0,68404000.0,20000000.0,130869000.0,1234000.0
TRXC,2018-03-31,False,Q1,2018,10-Q,4767000.0,-3157000.0,-882000.0,0.0,0.0,0.0,246175000.0,109520000.0,20197000.0,87634000.0,187358000.0,-12299000.0,4295000.0,4723000.0,,71954000.0,218000.0
