symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
TSRI,2016-05-31,False,FY,2016,10-K,60998281.0,838876.0,399226.0,0.2,0.2,0.0,14089682.0,14009031.0,,4514157.0,9471494.0,1227840.0,-295832.0,-87641.0,,,11832.0
TSRI,2016-08-31,False,Q1,2017,10-Q,15242383.0,285743.0,147777.0,0.08,0.08,0.0,14303679.0,14229387.0,4680916.0,4536726.0,9622763.0,28219.0,-1000.0,-4650.0,,,
TSRI,2014-08-31,False,Q1,2015,10-Q,13685813.0,72767.0,24592.0,0.01,0.01,0.0,13919492.0,13727212.0,4954810.0,4210713.0,8964682.0,1375984.0,-5341.0,-1897.0,,,7341.0
TSRI,2014-11-30,False,Q2,2015,10-Q,14533801.0,274668.0,140983.0,0.07,0.07,0.0,13895147.0,13802547.0,4764593.0,4009427.0,9130554.0,681591.0,489663.0,-3794.0,,,9337.0
TSRI,2015-11-30,False,Q2,2016,10-Q,15185006.0,263922.0,120065.0,0.06,0.06,0.0,14214509.0,14116443.0,4840482.0,4680227.0,9374027.0,1311846.0,-293609.0,-7800.0,,,7609.0
TSRI,2015-05-31,False,FY,2015,10-K,57402896.0,432465.0,192711.0,0.1,0.1,0.0,14051280.0,13934696.0,,3669790.0,9102934.0,713522.0,223736.0,-109435.0,,,25264.0
TSRI,2015-02-28,False,Q3,2015,10-Q,14213207.0,-97805.0,-84814.0,-0.04,-0.04,0.0,13721880.0,13569518.0,4748513.0,2440323.0,8973367.0,-287314.0,-13839.0,-100491.0,,,13839.0
TSRI,2016-11-30,False,Q2,2017,10-Q,15042789.0,245356.0,126317.0,0.06,0.06,0.0,13831410.0,13713915.0,4123185.0,4697065.0,9708225.0,224517.0,14665.0,-56274.0,,,2335.0
TSRI,2015-08-31,False,Q1,2016,10-Q,15234788.0,287974.0,133748.0,0.07,0.07,0.0,14400625.0,14288758.0,5152624.0,3585438.0,9248001.0,-78530.0,-5822.0,,,,5822.0
TSRI,2016-02-29,False,Q3,2016,10-Q,15074832.0,-13784.0,-23647.0,-0.01,-0.01,0.0,14074802.0,13990280.0,4789294.0,3612630.0,9285508.0,324338.0,-293857.0,-87641.0,,,8857.0
TSRI,2017-02-28,False,Q3,2017,10-Q,15390236.0,-119230.0,-68401.0,-0.03,-0.03,0.0,13534903.0,13433920.0,,4898622.0,9646194.0,185533.0,259856.0,-60924.0,,,6144.0
TSRI,2018-02-28,False,Q3,2018,10-Q,15057682.0,-37652.0,-18846.0,-0.01,-0.01,0.0,12281900.0,12122493.0,4159440.0,4332784.0,8122460.0,135854.0,478562.0,-2005608.0,,,20438.0
TSRI,2017-11-30,False,Q2,2018,10-Q,16515596.0,431948.0,227088.0,0.12,0.12,0.0,12764248.0,12575043.0,,4280903.0,8165349.0,51012.0,476677.0,-1970762.0,,,19323.0
TSRI,2017-08-31,False,Q1,2018,10-Q,17037108.0,276489.0,141089.0,0.07,0.07,0.0,13106992.0,12928899.0,,4558586.0,7915484.0,553022.0,248000.0,-1966412.0,,,
TSRI,2017-05-31,False,FY,2017,10-K,62572585.0,562463.0,268189.0,0.14,0.14,0.0,14535143.0,14464840.0,,5723976.0,7759475.0,750371.0,523372.0,-63924.0,,,12628.0
TSRI,2018-11-30,False,Q2,2019,10-Q,16402356.0,-123749.0,-96741.0,-0.05,-0.05,0.0,13470026.0,13320227.0,5280509.0,4549458.0,8189517.0,-725580.0,-199.0,-48200.0,,,1199.0
TSRI,2011-11-30,False,Q2,2012,10-Q,11115015.0,75850.0,31703.0,0.02,0.02,0.0,17284171.0,17165112.0,4538186.0,5570865.0,12745985.0,47295.0,988792.0,-111076.0,,,10210.0
