symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
TST,2018-09-30,False,Q3,2018,10-Q,21863890.0,-1937763.0,-1811951.0,-0.04,-0.04,0.0,93336890.0,50638495.0,28525075.0,40833954.0,62020776.0,5100154.0,25361800.0,-1038672.0,,23515608.0,2870300.0
TST,2011-09-30,False,Q3,2011,10-Q,14341091.0,-1651517.0,-1592864.0,-0.05,-0.05,0.0,123229441.0,69765802.0,28234120.0,33709574.0,90475121.0,3317458.0,13538689.0,-3236233.0,,24057616.0,1475768.0
TST,2012-03-31,False,Q1,2012,10-Q,12815827.0,-4532865.0,-4533202.0,-0.14,-0.14,0.0,115188924.0,43491153.0,27804798.0,19256130.0,82796966.0,-2409962.0,-21701573.0,-1497526.0,,24057616.0,486657.0
TST,2011-12-31,False,FY,2011,10-K,57760000.0,-8814805.0,-8569817.0,-0.26,-0.26,0.0,121413216.0,74424397.0,28411271.0,44865191.0,88144448.0,3558977.0,25580453.0,-4363899.0,,24057616.0,1974406.0
TST,2012-06-30,False,Q2,2012,10-Q,12481156.0,-1983158.0,-1971724.0,-0.06,-0.06,0.025,111730259.0,48726814.0,26737701.0,20535644.0,80781615.0,-3458661.0,-18430332.0,-2440554.0,,24057616.0,714193.0
TST,2012-09-30,False,Q3,2012,10-Q,11597755.0,-4317786.0,-4226515.0,-0.13,-0.13,0.0,113043070.0,45016329.0,30822384.0,19669082.0,77196984.0,-5756276.0,-16910895.0,-2528938.0,,25726239.0,915263.0
TST,2013-09-30,False,Q3,2013,10-Q,13584728.0,-1211518.0,-1179465.0,-0.03,-0.03,0.0,108386801.0,55453769.0,30315797.0,39625879.0,73695555.0,481206.0,15417160.0,-117847.0,,27997286.0,813469.0
TST,2013-06-30,False,Q2,2013,10-Q,13484379.0,-1142377.0,-1076409.0,-0.03,-0.03,0.0,111173182.0,57322767.0,32133228.0,37563708.0,74562581.0,1162575.0,12680840.0,-125067.0,,27997286.0,504457.0
TST,2013-03-31,False,Q1,2013,10-Q,12580201.0,-1814547.0,-1742684.0,-0.05,-0.05,0.0,109331073.0,54011005.0,30258803.0,29817517.0,74482451.0,-40653.0,6137877.0,-125067.0,,25726239.0,196721.0
TST,2011-06-30,False,Q2,2011,10-Q,15028788.0,-1829824.0,-1749636.0,-0.05,-0.05,0.0,125496945.0,64667233.0,28263385.0,31101781.0,92668469.0,2017251.0,11238554.0,-2243684.0,,24057616.0,1012748.0
TST,2013-12-31,False,FY,2013,10-K,54450000.0,-3995164.0,-3785701.0,-0.11,-0.11,0.025,108894027.0,60979444.0,29771448.0,45443759.0,74163158.0,2478352.0,19435880.0,-315833.0,,27997286.0,1118679.0
TST,2012-12-31,False,FY,2012,10-K,50720803.0,-13067664.0,-12907799.0,-0.38,-0.38,0.025,111535068.0,50277088.0,31448484.0,23845360.0,75457835.0,-6174387.0,-12847618.0,-1997826.0,,25726239.0,1327746.0
TST,2014-03-31,False,Q1,2014,10-Q,14389078.0,-1164603.0,-1222549.0,-0.04,-0.04,0.0,108981791.0,63602213.0,31314738.0,49958339.0,72462979.0,2422178.0,2964079.0,-871677.0,,27997286.0,340785.0
TST,2014-09-30,False,Q3,2014,10-Q,14619075.0,-493779.0,-563353.0,-0.02,-0.02,0.0,104973949.0,60049404.0,29840434.0,48275969.0,70221601.0,1625346.0,4075408.0,-2868544.0,,27997286.0,1323403.0
TST,2014-06-30,False,Q2,2014,10-Q,14762254.0,-672944.0,-737911.0,-0.02,-0.02,0.0,107891078.0,62815874.0,31592237.0,50224059.0,71243223.0,2026671.0,4554835.0,-1801206.0,,27997286.0,801474.0
TST,2015-09-30,False,Q3,2015,10-Q,16661644.0,629101.0,257902.0,0.01,0.01,0.025,103107688.0,34919923.0,32911917.0,27541808.0,63450429.0,-1499456.0,-632216.0,-2823665.0,,43693372.0,2688194.0
TST,2015-06-30,False,Q2,2015,10-Q,17136919.0,-383797.0,-767684.0,-0.02,-0.02,0.025,107567078.0,37860891.0,35131397.0,31341423.0,64417928.0,757290.0,-35676.0,-1844192.0,,44265776.0,2091654.0
TST,2016-06-30,False,Q2,2016,10-Q,16292527.0,-880174.0,-1210521.0,-0.03,-0.03,0.0,99076540.0,33975070.0,35133189.0,27165222.0,55859266.0,708338.0,-1612899.0,-16713.0,,41857125.0,1612899.0
TST,2014-12-31,False,FY,2014,10-K,61053218.0,-3403709.0,-4175573.0,-0.12,-0.12,0.1,111932327.0,41749524.0,36423143.0,32459009.0,67870110.0,3552085.0,-12432811.0,-4104095.0,,44810467.0,1931173.0
TST,2016-03-31,False,Q1,2016,10-Q,16069432.0,-3138664.0,-3444287.0,-0.1,-0.1,0.0,101975188.0,35214737.0,35652954.0,29831758.0,58261446.0,2200222.0,-718818.0,-11409.0,,42869441.0,718818.0
TST,2015-03-31,False,Q1,2015,10-Q,16890049.0,-710838.0,-1073236.0,-0.03,-0.03,0.025,108684693.0,40261597.0,35993732.0,33698585.0,64739594.0,844682.0,1332693.0,-1015880.0,,43590079.0,672791.0
TST,2015-12-31,False,FY,2015,10-K,67655900.0,-239025.0,-1928699.0,-0.06,-0.06,0.1,102891654.0,35704986.0,33630653.0,28445416.0,61994239.0,890559.0,-669781.0,-4071932.0,,43318670.0,3365509.0
