symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
TTNP,2011-12-31,False,FY,2011,10-K,4068000.0,-10506000.0,-15203000.0,-0.26,-0.26,0.0,10217000.0,9962000.0,5123000.0,5406000.0,-20079000.0,-14476000.0,-234000.0,16936000.0,,,236000.0
TTNP,2018-09-30,False,Q3,2018,10-Q,1650000.0,-1952000.0,-2330000.0,-0.11,-0.11,0.0,11854000.0,11525000.0,2202000.0,8427000.0,5489000.0,-5123000.0,-71000.0,6099000.0,,,71000.0
TTNP,2011-06-30,False,Q2,2011,10-Q,695000.0,-4200000.0,-6989000.0,-0.12,-0.12,0.0,8841000.0,8751000.0,6207000.0,6092000.0,-16985000.0,-8968000.0,-56000.0,11936000.0,,,58000.0
TTNP,2012-03-31,False,Q1,2012,10-Q,1270000.0,-3532000.0,-5163000.0,-0.09,-0.09,0.0,7509000.0,6737000.0,5887000.0,2308000.0,-23690000.0,-2532000.0,-522000.0,-44000.0,,,522000.0
TTNP,2011-09-30,False,Q3,2011,10-Q,1012000.0,-1957000.0,-804000.0,-0.01,-0.01,0.0,6551000.0,6468000.0,6383000.0,2772000.0,-17550000.0,-12288000.0,-56000.0,11936000.0,,,58000.0
TTNP,2012-06-30,False,Q2,2012,10-Q,1360000.0,-1739000.0,,-0.03,-0.03,0.0,10054000.0,8819000.0,9464000.0,4104000.0,-22995000.0,-5189000.0,-989000.0,4876000.0,,,989000.0
TTNP,2013-06-30,False,Q2,2013,10-Q,2198000.0,-292000.0,5064000.0,0.06,0.0,0.0,16908000.0,15230000.0,13525000.0,11176000.0,2146000.0,-5516000.0,-298000.0,-1112000.0,,,298000.0
TTNP,2013-03-31,False,Q1,2013,10-Q,5174000.0,171000.0,6001000.0,0.08,0.07,0.0,23532000.0,21965000.0,19981000.0,17606000.0,-3048000.0,-1704000.0,-180000.0,1388000.0,,,180000.0
TTNP,2012-12-31,False,FY,2012,10-K,7117000.0,-8370000.0,-15180000.0,-0.04,-0.04,0.0,24827000.0,23435000.0,21393000.0,18102000.0,-23128000.0,1830000.0,-1154000.0,12020000.0,11771000.0,,1154000.0
TTNP,2012-09-30,False,Q3,2012,10-Q,1228000.0,-2657000.0,,-0.12,-0.12,0.0,10744000.0,9380000.0,10893000.0,5062000.0,-27131000.0,-7566000.0,-1122000.0,8344000.0,,,1122000.0
