symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
TWMC,2018-11-03,False,Q3,2018,10-Q,90877000.0,-13754000.0,-14052000.0,-0.39,-0.39,0.0,239061000.0,154790000.0,84790000.0,4497000.0,128418000.0,-53337000.0,-1546000.0,25940000.0,,39191000.0,2851000.0
TWMC,2011-07-30,False,Q2,2012,10-Q,107990000.0,-6425000.0,-7278000.0,-0.23,-0.23,0.0,263488000.0,235491000.0,85662000.0,22494000.0,152305000.0,-51086000.0,-967000.0,-665000.0,,,967000.0
TWMC,2011-10-29,False,Q3,2012,10-Q,109996000.0,-3742000.0,-4511000.0,-0.14,-0.14,0.0,277224000.0,251096000.0,104280000.0,19017000.0,147855000.0,-53547000.0,-1638000.0,-1010000.0,,,1638000.0
TWMC,2012-01-28,False,FY,2012,10-K,542589000.0,5501000.0,2162000.0,0.07,0.07,0.0,313120000.0,288455000.0,124160000.0,88515000.0,161846000.0,16771000.0,-2105000.0,-1363000.0,,,2105000.0
TWMC,2012-04-28,False,Q1,2013,10-Q,112287000.0,3614000.0,2797000.0,0.09,0.09,0.0,269930000.0,246243000.0,79863000.0,62343000.0,164710000.0,-24048000.0,-180000.0,-1944000.0,,,180000.0
TWMC,2012-10-27,False,Q3,2013,10-Q,91769000.0,-1628000.0,-2188000.0,-0.07,-0.07,0.0,272834000.0,249208000.0,86643000.0,59932000.0,160906000.0,-24386000.0,-1965000.0,-2232000.0,,,1965000.0
TWMC,2012-07-28,False,Q2,2013,10-Q,91038000.0,-1317000.0,-1886000.0,-0.06,-0.06,0.0,251731000.0,227961000.0,63518000.0,58252000.0,162885000.0,-27169000.0,-948000.0,-2146000.0,,,948000.0
TWMC,2013-05-04,False,Q1,2013,10-Q,93934000.0,2130000.0,1598000.0,0.05,0.05,0.0,292873000.0,275323000.0,79851000.0,111276000.0,187422000.0,-25320000.0,-949000.0,4563000.0,,,949000.0
TWMC,2013-02-02,False,FY,2012,10-K,458544000.0,36300000.0,33734000.0,1.07,1.06,0.47,315240000.0,297776000.0,108627000.0,132982000.0,180760000.0,35633000.0,25706000.0,-16872000.0,,,3351000.0
TWMC,2013-11-02,False,Q3,2013,10-Q,79772000.0,-2812000.0,-3315000.0,-0.1,-0.1,0.0,296399000.0,274724000.0,92558000.0,86028000.0,177857000.0,-40020000.0,-6861000.0,-73000.0,,,6861000.0
TWMC,2014-02-01,False,FY,2013,10-K,393659000.0,10375000.0,8277000.0,0.25,0.25,0.0,312417000.0,290967000.0,96656000.0,131002000.0,191796000.0,7308000.0,-7828000.0,-1460000.0,,,7828000.0
TWMC,2013-08-03,False,Q2,2013,10-Q,80768000.0,-2004000.0,-2539000.0,-0.08,-0.08,0.0,278762000.0,258314000.0,70423000.0,95252000.0,182383000.0,-34628000.0,-4682000.0,1580000.0,,,4682000.0
TWMC,2014-05-03,False,FY,2014,10-Q,87216000.0,144000.0,-386000.0,-0.01,-0.01,0.0,264061000.0,239985000.0,65508000.0,90088000.0,174795000.0,-20352000.0,-3489000.0,-17073000.0,,,3489000.0
TWMC,2016-07-30,False,Q2,2016,10-Q,63320000.0,-4522000.0,-4656000.0,-0.15,-0.15,0.0,252535000.0,207883000.0,57256000.0,78644000.0,168837000.0,-16965000.0,-6093000.0,-2609000.0,,,7693000.0
TWMC,2016-10-29,False,Q3,2016,10-Q,65039000.0,-7808000.0,-484000.0,-0.02,-0.02,0.0,313249000.0,176438000.0,84821000.0,4708000.0,189120000.0,-30179000.0,-51926000.0,-1398000.0,5936000.0,39800000.0,16726000.0
TWMC,2016-04-30,False,Q1,2016,10-Q,74768000.0,-685000.0,27000.0,0.0,0.0,0.0,258681000.0,215453000.0,58349000.0,90856000.0,173328000.0,-8284000.0,-2565000.0,-2606000.0,,,4165000.0
TWMC,2015-05-02,False,Q1,2015,10-Q,77963000.0,676000.0,194000.0,0.01,0.01,0.0,260583000.0,233229000.0,61981000.0,102540000.0,171833000.0,-12009000.0,-3379000.0,-609000.0,,,3379000.0
TWMC,2014-08-02,False,Q2,2014,10-Q,71908000.0,-4573000.0,-5096000.0,-0.16,-0.16,0.0,252195000.0,227203000.0,59679000.0,82401000.0,168816000.0,-24798000.0,-5383000.0,-18420000.0,,,5383000.0
TWMC,2014-11-01,False,Q3,2014,10-Q,72456000.0,-3986000.0,-4476000.0,-0.14,-0.14,0.0,274403000.0,248424000.0,86382000.0,79366000.0,164172000.0,-24995000.0,-7390000.0,-19251000.0,,,7390000.0
TWMC,2015-10-31,False,Q3,2015,10-Q,67925000.0,-3795000.0,-4328000.0,,-0.14,0.0,273137000.0,236774000.0,80807000.0,74854000.0,164614000.0,-26165000.0,-16093000.0,-1425000.0,,,15293000.0
TWMC,2017-04-29,False,Q1,2017,10-Q,100752000.0,-5207000.0,3533000.0,0.1,0.1,0.0,300057000.0,170884000.0,60192000.0,15803000.0,202241000.0,-13883000.0,9106000.0,,,39191000.0,2321000.0
TWMC,2017-10-28,False,Q3,2017,10-Q,91817000.0,-8111000.0,-8071000.0,-0.22,-0.22,0.0,288946000.0,163365000.0,67414000.0,3924000.0,190181000.0,-33947000.0,6028000.0,,,39191000.0,6392000.0
TWMC,2017-07-29,False,Q2,2017,10-Q,100914000.0,-5369000.0,-5565000.0,-0.15,-0.15,0.0,283339000.0,155643000.0,54589000.0,13985000.0,197460000.0,-20503000.0,7595000.0,-5000000.0,,39191000.0,4166000.0
TWMC,2015-08-01,False,Q2,2015,10-Q,67451000.0,-2560000.0,-3045000.0,,-0.1,0.0,256233000.0,225429000.0,60124000.0,91400000.0,168921000.0,-18063000.0,-8073000.0,-1001000.0,,,8073000.0
TWMC,2015-01-31,False,FY,2015,10-K,358490000.0,3775000.0,1778000.0,0.06,0.06,0.5,280009000.0,255158000.0,81714000.0,118537000.0,171740000.0,16808000.0,-8774000.0,-20499000.0,,,8774000.0
TWMC,2016-01-30,False,FY,2016,10-K,334661000.0,4570000.0,2689000.0,0.09,0.09,0.0,271605000.0,230987000.0,69845000.0,104311000.0,175268000.0,7963000.0,-20185000.0,-2004000.0,,,20700000.0
TWMC,2017-01-28,False,FY,2016,10-K,348672000.0,-3868000.0,3211000.0,0.1,0.1,0.0,307810000.0,169334000.0,70733000.0,27974000.0,197936000.0,4436000.0,-57333000.0,-7337000.0,,39191000.0,24672000.0
TWMC,2018-05-05,False,Q1,2018,10-Q,95232000.0,-8158000.0,-8147000.0,-0.22,-0.22,0.0,231775000.0,143337000.0,54267000.0,14509000.0,150449000.0,-16621000.0,-409000.0,-1500000.0,,39191000.0,863000.0
TWMC,2018-02-03,False,FY,2017,10-K,-437173000.0,-51401000.0,-42553000.0,-1.18,-1.18,0.0,247906000.0,153388000.0,60561000.0,31326000.0,158214000.0,-13000.0,4482000.0,-5040000.0,,39191000.0,8407000.0
