symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CVI,2018-12-31,False,FY,2018,10-K,351082000.0,6314000.0,-50027000.0,-0.44,-0.44,0.0,1254388000.0,193981000.0,122635000.0,61776000.0,,32234000.0,-19631000.0,0.0,628989000.0,40969000.0,19806000.0
UAN,2012-12-31,False,FY,2012,10-K,302309000.0,115758000.0,112223000.0,1.54,1.53,0.0,622954000.0,166048000.0,49475000.0,127848000.0,,133497000.0,-81125000.0,-161499000.0,,40969000.0,82151000.0
UAN,2012-09-30,False,Q3,2012,10-Q,75013000.0,32347000.0,31557000.0,0.43,0.43,0.0,653242000.0,220464000.0,59596000.0,180291000.0,,124790000.0,-56393000.0,-125081000.0,,40969000.0,57419000.0
UAN,2015-03-31,False,Q1,2015,10-Q,93050000.0,31465000.0,29774000.0,0.41,0.41,0.0,568091000.0,123581000.0,29095000.0,72638000.0,,25365000.0,-2661000.0,-29980000.0,,40969000.0,2661000.0
UAN,2013-12-31,False,FY,2013,10-K,323672000.0,124851000.0,118616000.0,1.62,1.62,0.0,593454000.0,135780000.0,27386000.0,85142000.0,,129009000.0,-43721000.0,-127994000.0,,40969000.0,43754000.0
UAN,2013-03-31,False,Q1,2013,10-Q,81411000.0,36803000.0,35553000.0,0.49,0.49,0.0,660113000.0,199558000.0,64022000.0,153242000.0,,57485000.0,-18063000.0,-14028000.0,,40969000.0,18063000.0
UAN,2012-06-30,False,Q2,2012,10-Q,81431000.0,36047000.0,35088000.0,0.48,0.48,0.0,639703000.0,226712000.0,34958000.0,196394000.0,,79863000.0,-39218000.0,-81226000.0,,40969000.0,39218000.0
UAN,2014-03-31,False,Q1,2014,10-Q,80316000.0,23098000.0,21453000.0,0.29,0.29,0.0,592615000.0,138835000.0,36468000.0,85919000.0,,35601000.0,-3385000.0,-31439000.0,,40969000.0,3385000.0
UAN,2014-09-30,False,Q3,2014,10-Q,66733000.0,14416000.0,12719000.0,0.17,0.17,0.0,562088000.0,112400000.0,27975000.0,68004000.0,,79643000.0,-13408000.0,-83373000.0,,40969000.0,13499000.0
UAN,2013-09-30,False,Q3,2013,10-Q,69199000.0,21319000.0,19705000.0,0.27,0.27,0.0,594028000.0,133471000.0,29195000.0,87166000.0,,96523000.0,-35811000.0,-101394000.0,,40969000.0,35844000.0
