symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
UFS,2013-06-30,False,Q2,2013,10-Q,1312000000.0,-30000000.0,-46000000.0,-1.38,-1.38,0.0,5801000000.0,1835000000.0,711000000.0,432000000.0,2652000000.0,183000000.0,-120000000.0,-291000000.0,1109000000.0,262000000.0,118000000.0
UFS,2012-12-31,False,FY,2012,10-K,5482000000.0,367000000.0,172000000.0,4.78,4.76,0.45,6123000000.0,2015000000.0,758000000.0,661000000.0,2877000000.0,551000000.0,-486000000.0,152000000.0,1207000000.0,263000000.0,236000000.0
UFS,2011-09-30,False,Q3,2011,10-Q,1417000000.0,187000000.0,117000000.0,2.96,2.95,0.0,6020000000.0,1960000000.0,804000000.0,461000000.0,2999000000.0,711000000.0,-308000000.0,-472000000.0,,163000000.0,64000000.0
UFS,2012-09-30,False,Q3,2012,10-Q,1389000000.0,109000000.0,66000000.0,1.85,1.84,0.0,6319000000.0,2132000000.0,720000000.0,593000000.0,3004000000.0,411000000.0,-469000000.0,207000000.0,1203000000.0,261000000.0,171000000.0
UFS,2013-03-31,False,Q1,2013,10-Q,1345000000.0,49000000.0,45000000.0,1.29,1.29,0.45,5960000000.0,1933000000.0,681000000.0,513000000.0,2842000000.0,63000000.0,-48000000.0,-162000000.0,1112000000.0,261000000.0,56000000.0
UFS,2012-03-31,False,Q1,2012,10-Q,1398000000.0,109000000.0,28000000.0,0.76,0.76,0.0,6038000000.0,1884000000.0,675000000.0,315000000.0,3009000000.0,30000000.0,-263000000.0,104000000.0,958000000.0,234000000.0,29000000.0
UFS,2012-06-30,False,Q2,2012,10-Q,1368000000.0,106000000.0,59000000.0,1.62,1.61,0.0,5973000000.0,1809000000.0,690000000.0,276000000.0,2948000000.0,205000000.0,-402000000.0,29000000.0,956000000.0,260000000.0,105000000.0
UFS,2013-09-30,False,Q3,2013,10-Q,1375000000.0,49000000.0,27000000.0,0.83,0.82,0.0,5885000000.0,1614000000.0,721000000.0,191000000.0,2681000000.0,287000000.0,-413000000.0,-343000000.0,1108000000.0,367000000.0,180000000.0
UFS,2018-12-31,False,FY,2018,10-K,5455000000.0,386000000.0,283000000.0,4.5,4.48,1.72,4925000000.0,1589000000.0,783000000.0,111000000.0,2538000000.0,554000000.0,-196000000.0,-382000000.0,850000000.0,,195000000.0
UFS,2014-03-31,False,Q1,2014,10-Q,1394000000.0,79000000.0,39000000.0,1.2,1.2,0.275,6376000000.0,1659000000.0,765000000.0,130000000.0,2771000000.0,141000000.0,-591000000.0,-73000000.0,1505000000.0,655000000.0,45000000.0
UFS,2014-06-30,False,Q2,2014,10-Q,1385000000.0,79000000.0,40000000.0,0.62,0.61,0.0,6339000000.0,1625000000.0,756000000.0,85000000.0,2826000000.0,245000000.0,-646000000.0,-169000000.0,1417000000.0,655000000.0,101000000.0
UFS,2014-09-30,False,Q3,2014,10-Q,1405000000.0,120000000.0,281000000.0,4.34,4.33,0.0,6192000000.0,1655000000.0,919000000.0,134000000.0,2938000000.0,448000000.0,-697000000.0,-270000000.0,1372000000.0,628000000.0,157000000.0
UFS,2011-12-31,False,FY,2011,10-K,5612000000.0,592000000.0,365000000.0,9.15,9.08,0.0,5869000000.0,1934000000.0,716000000.0,444000000.0,2972000000.0,883000000.0,-395000000.0,-574000000.0,841000000.0,163000000.0,144000000.0
UFS,2013-12-31,False,FY,2013,10-K,5391000000.0,161000000.0,91000000.0,2.73,2.72,0.0,6278000000.0,2077000000.0,709000000.0,655000000.0,2782000000.0,411000000.0,-469000000.0,54000000.0,1514000000.0,369000000.0,242000000.0
UFS,2014-12-31,False,FY,2014,10-K,5563000000.0,364000000.0,431000000.0,6.65,6.64,0.375,6185000000.0,1670000000.0,926000000.0,174000000.0,2890000000.0,634000000.0,-786000000.0,-326000000.0,1350000000.0,567000000.0,236000000.0
UFS,2010-06-30,False,Q2,2010,10-Q,1547000000.0,96000000.0,31000000.0,0.72,0.71,0.0,6051000000.0,2001000000.0,779000000.0,514000000.0,2642000000.0,733000000.0,37000000.0,-581000000.0,,,74000000.0
UFS,2010-09-30,False,Q3,2010,10-Q,1473000000.0,236000000.0,191000000.0,4.47,4.44,0.0,5989000000.0,2039000000.0,740000000.0,537000000.0,2811000000.0,1000000000.0,75000000.0,-862000000.0,,,112000000.0
UFS,2011-03-31,False,Q1,2011,10-Q,1423000000.0,211000000.0,133000000.0,3.16,3.14,0.0,6141000000.0,2170000000.0,709000000.0,604000000.0,3288000000.0,148000000.0,,-74000000.0,,,13000000.0
UFS,2010-12-31,False,FY,2010,10-K,5850000000.0,603000000.0,605000000.0,14.14,14.0,0.0,6026000000.0,2000000000.0,725000000.0,530000000.0,3202000000.0,1166000000.0,58000000.0,-1018000000.0,,,153000000.0
UFS,2015-03-31,False,Q1,2015,10-Q,1348000000.0,71000000.0,36000000.0,0.56,0.56,0.375,5960000000.0,1665000000.0,911000000.0,183000000.0,2710000000.0,127000000.0,-69000000.0,-41000000.0,1348000000.0,537000000.0,70000000.0
UFS,2011-06-30,False,Q2,2011,10-Q,1403000000.0,95000000.0,54000000.0,1.31,1.3,0.0,6078000000.0,2247000000.0,732000000.0,742000000.0,3194000000.0,454000000.0,5000000.0,-248000000.0,,,33000000.0
UFS,2015-09-30,False,Q3,2015,10-Q,1292000000.0,61000000.0,11000000.0,0.17,0.17,0.4,5789000000.0,1620000000.0,787000000.0,128000000.0,2659000000.0,316000000.0,-158000000.0,-197000000.0,1287000000.0,546000000.0,202000000.0
UFS,2015-06-30,False,Q2,2015,10-Q,1310000000.0,62000000.0,38000000.0,0.6,0.6,0.4,5963000000.0,1695000000.0,893000000.0,207000000.0,2761000000.0,249000000.0,-120000000.0,-90000000.0,1347000000.0,546000000.0,136000000.0
UFS,2016-09-30,False,Q3,2016,10-Q,1270000000.0,92000000.0,59000000.0,0.94,0.94,0.42,5830000000.0,1633000000.0,733000000.0,168000000.0,2754000000.0,310000000.0,-302000000.0,32000000.0,1372000000.0,548000000.0,302000000.0
UFS,2016-03-31,False,Q1,2016,10-Q,1287000000.0,18000000.0,4000000.0,0.06,0.06,0.4,5759000000.0,1572000000.0,778000000.0,97000000.0,2736000000.0,97000000.0,-100000000.0,-29000000.0,1252000000.0,551000000.0,100000000.0
UFS,2015-12-31,False,FY,2015,10-K,5264000000.0,288000000.0,142000000.0,2.24,2.24,0.375,5663000000.0,1554000000.0,788000000.0,126000000.0,2652000000.0,453000000.0,-244000000.0,-249000000.0,1252000000.0,539000000.0,289000000.0
UFS,2017-06-30,False,Q2,2017,10-Q,1224000000.0,64000000.0,38000000.0,0.61,0.61,0.415,5667000000.0,1555000000.0,656000000.0,124000000.0,2770000000.0,212000000.0,-71000000.0,-148000000.0,1204000000.0,569000000.0,71000000.0
UFS,2017-03-31,False,Q1,2017,10-Q,1304000000.0,42000000.0,20000000.0,0.32,0.32,0.415,5625000000.0,1544000000.0,724000000.0,111000000.0,2685000000.0,91000000.0,-34000000.0,-72000000.0,1252000000.0,553000000.0,34000000.0
