symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
UIHC,2013-03-31,False,Q1,2013,10-Q,44170000.0,7084000.0,4351000.0,0.27,0.27,0.03,327783000.0,,,64906000.0,95702000.0,32133000.0,-41244000.0,2812000.0,,,
UIHC,2012-06-30,False,Q2,2012,10-Q,31564000.0,5531000.0,2991000.0,0.29,0.29,0.0,366029000.0,,,92130000.0,63121000.0,53260000.0,-1806000.0,-963000.0,16471000.0,,
UIHC,2012-03-31,False,Q1,2012,10-Q,29503000.0,7459000.0,4748000.0,0.46,0.0,0.05,241338000.0,,,58254000.0,59559000.0,19068000.0,-1826000.0,-627000.0,16765000.0,,
UIHC,2018-09-30,False,Q3,2018,10-Q,187652000.0,-15889000.0,-11708000.0,-0.27,-0.27,0.06,2322229000.0,,,240950000.0,548878000.0,112552000.0,-103139000.0,20393000.0,,73045000.0,2675000.0
UIHC,2012-12-31,False,FY,2012,10-K,131234000.0,15229000.0,9705000.0,0.91,0.91,0.08,313614000.0,,,71205000.0,87986000.0,34312000.0,-25894000.0,21148000.0,15882000.0,,0.0
UIHC,2013-09-30,False,Q3,2013,10-Q,51817000.0,6723000.0,4131000.0,0.26,0.26,0.03,447915000.0,,,54318000.0,100864000.0,78483000.0,-98591000.0,3221000.0,,,
UIHC,2011-12-31,False,FY,2011,10-K,96418000.0,13191000.0,8088000.0,0.77,0.77,0.05,240215000.0,,,41639000.0,54989000.0,38649000.0,-68155000.0,-499000.0,17059000.0,,20000.0
UIHC,2012-06-30,False,Q2,2012,10-Q,,,,,,0.0,,,,,,,,,,,
UIHC,2014-03-31,False,Q1,2014,10-Q,67507000.0,17680000.0,11389000.0,0.65,0.65,0.04,484885000.0,,,57146000.0,173654000.0,17134000.0,-47796000.0,52920000.0,,,869000.0
UIHC,2014-06-30,False,Q2,2014,10-Q,67704000.0,15410000.0,9590000.0,0.46,0.46,0.04,636865000.0,,,79738000.0,184391000.0,48019000.0,-54846000.0,51677000.0,,,1295000.0
UIHC,2013-12-31,False,FY,2013,10-K,208080000.0,34486000.0,20342000.0,1.26,1.26,0.12,441230000.0,,,34888000.0,107587000.0,107766000.0,-144154000.0,71000.0,14706000.0,,288000.0
UIHC,2014-12-31,False,FY,2014,10-K,280230000.0,64333000.0,41013000.0,2.06,2.05,0.16,584169000.0,,,61391000.0,203763000.0,68918000.0,-91466000.0,49051000.0,13529000.0,,6346000.0
UIHC,2014-09-30,False,Q3,2014,10-Q,68847000.0,13523000.0,8640000.0,0.42,0.41,0.04,612670000.0,,,83318000.0,191582000.0,59199000.0,-61318000.0,50549000.0,,,1948000.0
UIHC,2013-06-30,False,Q2,2013,10-Q,48652000.0,7246000.0,4509000.0,0.28,0.28,0.03,467139000.0,,,50815000.0,96932000.0,70309000.0,-94706000.0,4007000.0,,,
UIHC,2011-09-30,False,Q3,2011,10-Q,25493000.0,5855000.0,3650000.0,0.35,0.35,0.0,286133000.0,,,49703000.0,51788000.0,54754000.0,-78193000.0,1498000.0,17353000.0,,0.0
UIHC,2011-06-30,False,Q2,2011,10-Q,23995000.0,499000.0,89000.0,0.01,0.01,0.0,320288000.0,,,46960000.0,46638000.0,49575000.0,-76144000.0,1885000.0,17647000.0,,0.0
UIHC,2015-03-31,False,Q1,2015,10-Q,82396000.0,214000.0,198000.0,0.01,0.01,0.05,603595000.0,,,68802000.0,217752000.0,18783000.0,-7686000.0,-3686000.0,,5237000.0,2506000.0
UIHC,2015-09-30,False,Q3,2015,10-Q,89806000.0,12877000.0,8083000.0,0.38,0.38,0.05,780680000.0,,,84341000.0,227183000.0,83195000.0,-53710000.0,-6535000.0,,4196000.0,8218000.0
UIHC,2015-06-30,False,Q2,2015,10-Q,85340000.0,8126000.0,5275000.0,0.25,0.25,0.05,789701000.0,,,105752000.0,219457000.0,53354000.0,-3844000.0,-5149000.0,,4196000.0,4705000.0
UIHC,2016-06-30,False,Q2,2016,10-Q,120921000.0,15162000.0,9841000.0,0.46,0.45,0.06,996760000.0,,,136209000.0,259156000.0,52519000.0,-3032000.0,1936000.0,,15544000.0,2379000.0
