symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
UMBF,2012-03-31,False,Q1,2012,10-Q,217034000.0,,46367000.0,1.16,1.15,0.205,13641157000.0,,,403575000.0,1212671000.0,10151000.0,-252255000.0,109659000.0,5423000.0,211114000.0,6880000.0
UMBF,2010-03-31,False,Q1,2010,10-Q,172531000.0,,26185000.0,0.65,0.65,0.185,10724056000.0,,,319966000.0,1029451000.0,45945000.0,414021000.0,-949309000.0,24212000.0,131356000.0,3096000.0
UMBF,2010-06-30,False,Q2,2010,10-Q,175833000.0,,23013000.0,0.57,0.57,0.185,11062280000.0,,,311171000.0,1068498000.0,92825000.0,112362000.0,-677191000.0,9316000.0,131356000.0,10494000.0
UMBF,2011-12-31,False,FY,2011,10-K,72116000.0,,106472000.0,2.66,2.64,0.79,13541398000.0,,,446580000.0,1191132000.0,213043000.0,-722372000.0,935343000.0,6529000.0,211114000.0,35557000.0
UMBF,2011-03-31,False,Q1,2011,10-Q,193723000.0,,30870000.0,0.77,0.76,0.195,13352320000.0,,,309741000.0,1078989000.0,71649000.0,148917000.0,925773000.0,7718000.0,211114000.0,7187000.0
UMBF,2010-09-30,False,Q3,2010,10-Q,176975000.0,,22773000.0,0.57,0.57,0.185,11340041000.0,,,332699000.0,1090180000.0,138901000.0,-92983000.0,-475138000.0,9040000.0,163584000.0,19755000.0
UMBF,2011-06-30,False,Q2,2011,10-Q,194407000.0,,26321000.0,0.66,0.65,0.195,12770576000.0,,,347369000.0,1132956000.0,118731000.0,157776000.0,275725000.0,7545000.0,211114000.0,15210000.0
UMBF,2011-09-30,False,Q3,2011,10-Q,186581000.0,,26015000.0,0.65,0.64,0.195,12139084000.0,,,571200000.0,1170299000.0,132882000.0,-173401000.0,-421898000.0,7841000.0,211114000.0,26780000.0
UMBF,2012-06-30,False,Q2,2012,10-Q,195576000.0,,29165000.0,0.73,0.72,0.205,13182662000.0,,,402893000.0,1251998000.0,95111000.0,-493415000.0,-419868000.0,5260000.0,211114000.0,20303000.0
UMBF,2013-03-31,False,Q1,2013,10-Q,204918000.0,,34941000.0,0.88,0.87,0.215,15705470000.0,,,319535000.0,1285558000.0,35345000.0,-237232000.0,763307000.0,4393000.0,209758000.0,8011000.0
UMBF,2013-06-30,False,Q2,2013,10-Q,199797000.0,,29929000.0,0.75,0.74,0.215,15253217000.0,,,415489000.0,1226472000.0,121922000.0,-904476000.0,415332000.0,4063000.0,209758000.0,17389000.0
UMBF,2013-09-30,False,Q3,2013,10-Q,210721000.0,,34432000.0,0.85,0.83,0.215,16184233000.0,,,604592000.0,1463655000.0,193114000.0,-910672000.0,1291346000.0,5130000.0,209758000.0,26997000.0
UMBF,2012-09-30,False,Q3,2012,10-Q,191300000.0,,26125000.0,0.65,0.64,0.205,13285845000.0,,,397339000.0,1294175000.0,177059000.0,-701696000.0,-393520000.0,5632000.0,209758000.0,31516000.0
UMBF,2012-12-31,False,FY,2012,10-K,106833000.0,,122717000.0,3.07,3.04,0.83,14927196000.0,,,667774000.0,1279345000.0,223744000.0,-1541531000.0,1224550000.0,5879000.0,209758000.0,44038000.0
UMBF,2010-12-31,False,FY,2010,10-K,706877000.0,,91002000.0,2.27,2.26,0.75,12404932000.0,,,356092000.0,1060860000.0,179994000.0,-979217000.0,603195000.0,8884000.0,211114000.0,32592000.0
UMBF,2018-12-31,False,FY,2018,10-K,98759000.0,,195513000.0,3.97,3.93,1.17,23351119000.0,,,645123000.0,2228470000.0,297097000.0,-1750293000.0,1411055000.0,82671000.0,180867000.0,57940000.0
