symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
UNAM,2016-06-30,False,Q2,2016,10-Q,8722632.0,,151030.0,0.03,0.03,0.0,141543423.0,,,389690.0,70284594.0,-3866720.0,4011497.0,-89582.0,,,522465.0
UNAM,2016-09-30,False,Q3,2016,10-Q,8998342.0,,-1953497.0,-0.37,-0.37,0.0,140809966.0,,,1215271.0,68322890.0,-5567253.0,6537611.0,-89582.0,,,536584.0
UNAM,2016-03-31,False,Q1,2016,10-Q,8529678.0,,-198987.0,-0.04,-0.04,0.0,141497533.0,,,332725.0,70120552.0,-4757823.0,4845635.0,-89582.0,,,351777.0
UNAM,2015-06-30,False,Q2,2015,10-Q,8313691.0,,112381.0,0.02,0.02,0.0,137003477.0,,,366111.0,71524845.0,-852218.0,932657.0,-23490.0,,,339919.0
UNAM,2015-12-31,False,FY,2015,10-K,33264639.0,,-1182870.0,-0.22,-0.22,0.0,140170435.0,,,334495.0,70342072.0,-7980962.0,8248609.0,-242314.0,,,1339138.0
UNAM,2014-12-31,False,FY,2014,10-K,30470240.0,,846361.0,0.16,0.16,0.0,136015569.0,,,309162.0,71775094.0,2468186.0,-2535412.0,0.0,,,879974.0
UNAM,2015-03-31,False,Q1,2015,10-Q,7832199.0,,-396785.0,-0.07,-0.07,0.0,135555707.0,,,149484.0,71439546.0,-726346.0,566668.0,0.0,,,185287.0
UNAM,2017-09-30,False,Q3,2017,10-Q,9293389.0,,-2927249.0,-0.55,-0.55,0.0,138078496.0,,,230376.0,62954310.0,-6794954.0,-6471049.0,0.0,,,221281.0
UNAM,2015-09-30,False,Q3,2015,10-Q,8451503.0,,-649510.0,-0.12,-0.12,0.0,137534478.0,,,402900.0,70797890.0,-307183.0,518783.0,-117862.0,,,490196.0
UNAM,2017-03-31,False,Q1,2017,10-Q,8960497.0,,-2147252.0,-0.4,-0.4,0.0,138960125.0,,,105739.0,66759665.0,-398415.0,504154.0,0.0,,,35752.0
