symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
UTHR,2011-03-31,False,Q1,2011,10-Q,165619000.0,36883000.0,16390000.0,0.28,0.26,0.0,1485404000.0,810844000.0,441954000.0,288963000.0,924209000.0,53351000.0,-35335000.0,17952000.0,,,6336000.0
UTHR,2011-06-30,False,Q2,2011,10-Q,183751000.0,114493000.0,73891000.0,1.27,1.18,0.0,1578740000.0,877509000.0,453541000.0,321121000.0,1002343000.0,117888000.0,-79547000.0,30013000.0,244269000.0,2589000.0,18883000.0
UTHR,2010-09-30,False,Q3,2010,10-Q,170983000.0,61881000.0,39736000.0,0.7,0.66,0.0,1282784000.0,598484000.0,397465000.0,210186000.0,840731000.0,172280000.0,-145924000.0,83151000.0,,,13199000.0
UTHR,2011-09-30,False,Q3,2011,10-Q,201742000.0,102977000.0,84398000.0,1.45,1.38,0.0,1667053000.0,846133000.0,424951000.0,343984000.0,1084969000.0,198566000.0,-137509000.0,30434000.0,248537000.0,5989000.0,36725000.0
UTHR,2010-12-31,False,FY,2010,10-K,603831000.0,164005000.0,105916000.0,1.89,1.78,0.0,1431635000.0,764487000.0,428686000.0,252162000.0,883886000.0,211532000.0,-209236000.0,146756000.0,,,18640000.0
UTHR,2018-12-31,False,FY,2018,10-K,1627800000.0,805400000.0,589200000.0,13.54,13.39,0.0,3401000000.0,1768000000.0,276600000.0,669200000.0,2788600000.0,778400000.0,-820600000.0,6300000.0,,31500000.0,184400000.0
UTHR,2012-03-31,False,Q1,2012,10-Q,204214000.0,106737000.0,70760000.0,1.32,1.29,0.0,1561435000.0,573919000.0,175542000.0,156666000.0,1024649000.0,37585000.0,-45991000.0,2128000.0,196733000.0,10918000.0,40282000.0
UTHR,2011-12-31,False,FY,2011,10-K,455504000.0,317782000.0,217868000.0,3.81,3.67,0.0,1518079000.0,562455000.0,212577000.0,162676000.0,948488000.0,250195000.0,-121333000.0,-218079000.0,194180000.0,8123000.0,35977000.0
UTHR,2010-06-30,False,Q2,2010,10-Q,137491000.0,60827000.0,37707000.0,0.67,0.62,0.0,1187675000.0,516292000.0,365724000.0,285409000.0,782301000.0,69452000.0,45154000.0,70955000.0,,,9117000.0
UTHR,2012-12-31,False,FY,2012,10-K,514095000.0,421646000.0,304442000.0,5.84,5.71,0.0,1626595000.0,668470000.0,176755000.0,154030000.0,1083981000.0,323628000.0,-163363000.0,-169140000.0,204667000.0,10530000.0,111905000.0
