symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
VCYT,2015-06-30,False,Q2,2015,10-Q,11908000.0,-9074000.0,-9136000.0,-0.35,-0.35,0.0,82503000.0,60714000.0,11802000.0,51045000.0,65088000.0,-20333000.0,-1385000.0,37749000.0,4975000.0,1057000.0,852000.0
VCYT,2018-12-31,False,FY,2018,10-K,92008000.0,-22233000.0,-22999000.0,-0.62,-0.62,0.0,120638000.0,96952000.0,13059000.0,78000000.0,79755000.0,-13521000.0,-1874000.0,59499000.0,25282000.0,1057000.0,1874000.0
VCYT,2014-06-30,False,Q2,2014,10-Q,8677000.0,-6561000.0,-6655000.0,-0.31,-0.31,0.0,67750000.0,64178000.0,17107000.0,57998000.0,45025000.0,-12664000.0,-904000.0,346000.0,5000000.0,,904000.0
VCYT,2014-03-31,False,Q1,2014,10-Q,7476000.0,-6575000.0,-6674000.0,-0.32,-0.32,0.0,72454000.0,69163000.0,15448000.0,64237000.0,50290000.0,-6757000.0,-124000.0,-102000.0,4900000.0,,124000.0
VCYT,2014-12-31,False,FY,2014,10-K,38190000.0,-29006000.0,-29373000.0,-1.36,-1.36,0.0,64839000.0,43348000.0,17145000.0,35014000.0,41374000.0,-27632000.0,-9010000.0,436000.0,4923000.0,1057000.0,2024000.0
VCYT,2014-09-30,False,Q3,2014,10-Q,9838000.0,-7811000.0,-7902000.0,-0.37,-0.37,0.0,71814000.0,50668000.0,18010000.0,44002000.0,48283000.0,-19196000.0,-8477000.0,455000.0,5007000.0,1057000.0,1491000.0
VCYT,2015-03-31,False,Q1,2015,10-Q,11218000.0,-7553000.0,-7610000.0,-0.34,-0.34,0.0,55060000.0,33691000.0,14147000.0,25798000.0,35079000.0,-8867000.0,-441000.0,92000.0,4949000.0,1057000.0,511000.0
VCYT,2016-03-31,False,Q1,2016,10-Q,13550000.0,-9751000.0,-10075000.0,-0.36,-0.36,0.0,84267000.0,56194000.0,11879000.0,47456000.0,43306000.0,-8598000.0,-2975000.0,19945000.0,24452000.0,1057000.0,2855000.0
VCYT,2013-09-30,False,Q3,2013,10-Q,5594000.0,-6101000.0,-6303000.0,-6.59,-6.59,0.0,23571000.0,20470000.0,12520000.0,15426000.0,-76575000.0,-15861000.0,-1011000.0,18296000.0,,,1061000.0
VCYT,2016-09-30,False,Q3,2016,10-Q,18603000.0,-4886000.0,-5637000.0,-0.2,-0.2,0.0,69650000.0,42952000.0,10270000.0,31699000.0,30005000.0,-23750000.0,-3762000.0,20127000.0,24891000.0,1057000.0,3760000.0
VCYT,2015-12-31,False,FY,2015,10-K,49503000.0,-33466000.0,-33704000.0,-1.3,-1.3,0.0,75285000.0,47933000.0,14722000.0,39084000.0,51252000.0,-26965000.0,-6698000.0,37733000.0,5028000.0,1057000.0,6165000.0
VCYT,2013-12-31,False,FY,2013,10-K,21884000.0,-23173000.0,-25580000.0,-6.15,-6.15,0.0,79630000.0,76407000.0,15388000.0,71220000.0,56443000.0,-19159000.0,-1282000.0,77659000.0,,,1332000.0
VCYT,2017-03-31,False,Q1,2017,10-Q,16432000.0,-7517000.0,-8217000.0,-0.24,-0.24,0.0,92606000.0,66295000.0,9411000.0,51506000.0,53350000.0,-8086000.0,-175000.0,548000.0,24944000.0,1057000.0,615000.0
VCYT,2016-06-30,False,Q2,2016,10-Q,14675000.0,-10494000.0,-11243000.0,-0.4,-0.4,0.0,74832000.0,47397000.0,11842000.0,38993000.0,33753000.0,-16312000.0,-3589000.0,19810000.0,24671000.0,1057000.0,3587000.0
VCYT,2015-09-30,False,Q3,2015,10-Q,12335000.0,-8888000.0,-8945000.0,-0.32,-0.32,0.0,80853000.0,57331000.0,15432000.0,46116000.0,57811000.0,-24135000.0,-2508000.0,37745000.0,5002000.0,1057000.0,1975000.0
VCYT,2016-12-31,False,FY,2016,10-K,65085000.0,-28803000.0,-31358000.0,-1.09,-1.09,0.0,101034000.0,73627000.0,11534000.0,59219000.0,59581000.0,-27982000.0,-4212000.0,52329000.0,24918000.0,1057000.0,4210000.0
VCYT,2017-09-30,False,Q3,2017,10-Q,17519000.0,-6368000.0,-7049000.0,-0.21,-0.21,0.0,83659000.0,58207000.0,11219000.0,41195000.0,42816000.0,-18099000.0,-895000.0,970000.0,24997000.0,1057000.0,1455000.0
VCYT,2018-06-30,False,Q2,2018,10-Q,22751000.0,-5917000.0,-6248000.0,-0.18,-0.18,0.0,65461000.0,41635000.0,10391000.0,23758000.0,25806000.0,-10512000.0,-761000.0,1140000.0,25103000.0,1057000.0,761000.0
VCYT,2018-03-31,False,Q1,2018,10-Q,20041000.0,-8955000.0,-9177000.0,-0.27,-0.27,0.0,71190000.0,47049000.0,11839000.0,27152000.0,30008000.0,-7413000.0,-227000.0,901000.0,25016000.0,1057000.0,227000.0
VCYT,2017-06-30,False,Q2,2017,10-Q,18406000.0,-6609000.0,-7298000.0,-0.22,-0.22,0.0,88347000.0,62860000.0,10799000.0,46463000.0,47844000.0,-12996000.0,-288000.0,528000.0,24971000.0,1057000.0,728000.0
VCYT,2018-09-30,False,Q3,2018,10-Q,23466000.0,-4304000.0,-4469000.0,-0.12,-0.12,0.0,119077000.0,95374000.0,10436000.0,77846000.0,79417000.0,-12295000.0,-1420000.0,57670000.0,25192000.0,1057000.0,1420000.0
VCYT,2017-12-31,False,FY,2017,10-K,71953000.0,-26538000.0,-31003000.0,-0.91,-0.91,0.0,78669000.0,53928000.0,12028000.0,33900000.0,37225000.0,-23915000.0,-1195000.0,-218000.0,24938000.0,1057000.0,1755000.0
