symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
VICL,2011-12-31,False,FY,2011,10-K,30018000.0,-7822000.0,-7283000.0,-0.1,-0.1,0.0,68773000.0,53557000.0,6461000.0,38696000.0,60348000.0,-3848000.0,-4831000.0,55000.0,,,256000.0
VICL,2018-12-31,False,FY,2018,10-K,1622000.0,-19646000.0,-16254000.0,-0.74,-0.74,0.0,52344000.0,49199000.0,3581000.0,11870000.0,48763000.0,-14445000.0,1282000.0,0.0,,,36000.0
VICL,2011-09-30,False,Q3,2011,10-Q,26619000.0,16392000.0,16431000.0,0.23,0.22,0.0,74047000.0,58274000.0,,41068000.0,66527000.0,976000.0,-7224000.0,-4000.0,,,290000.0
VICL,2011-06-30,False,Q2,2011,10-Q,818000.0,-8451000.0,-8406000.0,-0.12,-0.12,0.0,56705000.0,40887000.0,5669000.0,24611000.0,48939000.0,-14962000.0,-7676000.0,-71000.0,,,202000.0
VICL,2012-03-31,False,Q1,2012,10-Q,11460000.0,-140000.0,244000.0,0.0,0.0,0.0,118937000.0,107802000.0,7266000.0,70475000.0,109779000.0,-8008000.0,-8874000.0,48661000.0,,,135000.0
VICL,2012-06-30,False,Q2,2012,10-Q,1565000.0,-7937000.0,-7868000.0,-0.09,-0.09,0.0,109716000.0,98591000.0,5064000.0,65717000.0,102832000.0,-6974000.0,-14625000.0,48620000.0,,,433000.0
VICL,2013-03-31,False,Q1,2013,10-Q,1574000.0,-9307000.0,-9282000.0,-0.11,-0.11,0.0,87999000.0,77827000.0,5276000.0,47026000.0,81154000.0,-8385000.0,12027000.0,225000.0,,,164000.0
VICL,2013-09-30,False,Q3,2013,10-Q,1543000.0,-9980000.0,-9883000.0,-0.11,-0.11,0.0,69494000.0,60795000.0,5210000.0,38811000.0,62893000.0,-24363000.0,19670000.0,345000.0,,,307000.0
VICL,2013-06-30,False,Q2,2013,10-Q,1456000.0,-9843000.0,-9881000.0,-0.11,-0.11,0.0,79285000.0,69581000.0,6059000.0,45033000.0,71743000.0,-15929000.0,17824000.0,-21000.0,,,273000.0
VICL,2012-09-30,False,Q3,2012,10-Q,2175000.0,-7780000.0,-7726000.0,-0.09,-0.09,0.0,103325000.0,92489000.0,5591000.0,53150000.0,95991000.0,-11730000.0,-22546000.0,48730000.0,,,529000.0
VICL,2012-12-31,False,FY,2012,10-K,17519000.0,-23433000.0,-22899000.0,-0.27,-0.27,0.0,96522000.0,86009000.0,5779000.0,43159000.0,89086000.0,-17574000.0,-26643000.0,48680000.0,,,646000.0
VICL,2014-03-31,False,Q1,2014,10-Q,2447000.0,-3483000.0,-3455000.0,-0.04,-0.04,0.0,63266000.0,55348000.0,3333000.0,40756000.0,58748000.0,-2360000.0,4308000.0,-29000.0,,,16000.0
VICL,2014-06-30,False,Q2,2014,10-Q,4505000.0,-4065000.0,-4040000.0,-0.05,-0.05,0.0,61591000.0,54068000.0,3791000.0,31793000.0,56718000.0,-4800000.0,-3314000.0,1070000.0,,,27000.0
VICL,2015-03-31,False,Q1,2015,10-Q,4944000.0,-3857000.0,-3821000.0,-0.04,-0.04,0.0,54378000.0,47942000.0,4129000.0,17666000.0,49512000.0,-2849000.0,58000.0,-14000.0,,,23000.0
