symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
VKTX,2015-03-31,False,Q1,2015,10-Q,0.0,-461040.0,-5711415.0,-1.4,-1.4,0.0,2769322.0,360398.0,27708696.0,327007.0,-27839043.0,-410941.0,,-17909.0,,,
VKTX,2018-09-30,False,Q3,2018,10-Q,0.0,-7394000.0,-6600000.0,-0.11,-0.11,0.0,306796000.0,306616000.0,4743000.0,169506000.0,302053000.0,-16076000.0,-123338000.0,299932000.0,,,
VKTX,2017-03-31,False,Q1,2017,10-Q,0.0,-4968662.0,-5221900.0,-0.23,-0.23,0.0,15152607.0,14673917.0,3382166.0,4359046.0,7546087.0,-3278592.0,2038583.0,2523553.0,,,
VKTX,2016-12-31,False,FY,2016,10-K,0.0,-13847275.0,-14731822.0,-0.9,-0.9,0.0,14535708.0,13974829.0,6476534.0,3075502.0,8042867.0,-11071263.0,3029765.0,10348450.0,,,
VKTX,2015-06-30,False,Q2,2015,10-Q,0.0,-2626914.0,-7865066.0,-1.07,-1.07,0.0,22269649.0,22269649.0,4876110.0,9497200.0,17393539.0,-2031650.0,-12174067.0,22947060.0,,,
VKTX,2015-12-31,False,FY,2015,10-K,0.0,-11996478.0,-23403988.0,-3.68,-3.68,0.0,15439103.0,15201648.0,1976812.0,768550.0,8724998.0,-8731494.0,-13470042.0,22214229.0,2500000.0,,
VKTX,2016-03-31,False,Q1,2016,10-Q,0.0,-3267417.0,-3586988.0,-0.4,-0.4,0.0,12756902.0,12161521.0,1918125.0,3958763.0,5769739.0,-2725124.0,5972640.0,-57303.0,2500000.0,,
VKTX,2016-06-30,False,Q2,2016,10-Q,0.0,-3578053.0,-3692793.0,-0.22,-0.22,0.0,18549007.0,18310165.0,5738892.0,5159930.0,12785469.0,-5951964.0,1141521.0,9201823.0,,,
VKTX,2016-09-30,False,Q3,2016,10-Q,0.0,-3264282.0,-3807431.0,-0.2,-0.2,0.0,16317693.0,15623313.0,6077692.0,3054892.0,10219525.0,-8606379.0,1582549.0,9310172.0,,,
VKTX,2017-06-30,False,Q2,2017,10-Q,0.0,-4982743.0,-5171634.0,-0.21,-0.21,0.0,14320911.0,14264002.0,7726978.0,3393651.0,6587879.0,-7481762.0,1273940.0,6525971.0,,,
VKTX,2015-09-30,False,Q3,2015,10-Q,0.0,-4288221.0,-4736544.0,-0.53,-0.53,0.0,19012251.0,18932251.0,5722551.0,2140115.0,13270551.0,-5432104.0,-15426042.0,22242404.0,,,
VKTX,2017-12-31,False,FY,2017,10-K,0.0,-19070189.0,-20577665.0,-0.79,-0.79,0.0,22121411.0,21851798.0,8656575.0,8988478.0,13464836.0,-14757767.0,-1729707.0,22400450.0,4870097.0,,
VKTX,2017-09-30,False,Q3,2017,10-Q,0.0,-4691531.0,-6099658.0,-0.22,-0.22,0.0,11839444.0,11525074.0,9613483.0,2568063.0,2225961.0,-10809765.0,2665769.0,7636557.0,,,
VKTX,2018-03-31,False,Q1,2018,10-Q,0.0,-4805000.0,-3551000.0,-0.08,-0.1,0.0,78971000.0,78731000.0,6339000.0,36356000.0,72632000.0,-5303000.0,-29627000.0,62298000.0,,,
VKTX,2018-06-30,False,Q2,2018,10-Q,0.0,-6925000.0,-6672000.0,-0.13,-0.13,0.0,144468000.0,144258000.0,4105000.0,34610000.0,140363000.0,-10573000.0,-96252000.0,132447000.0,,,
