symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
VTVT,2017-03-31,False,Q1,2017,10-Q,30000.0,-13754000.0,-4220000.0,-0.44,-0.44,0.0,48329000.0,45932000.0,11109000.0,45150000.0,-123469000.0,-13816000.0,-39000.0,7500000.0,,,39000.0
VTVT,2018-12-31,False,FY,2018,10-K,12434000.0,-19824000.0,-8650000.0,-0.69,-0.69,0.0,8559000.0,3473000.0,18837000.0,1683000.0,-82853000.0,-26856000.0,7000.0,16612000.0,15113000.0,,5000.0
VTVT,2016-06-30,False,Q2,2016,10-Q,182000.0,-14639000.0,-4457000.0,-0.47,-0.47,0.0,66783000.0,64264000.0,9823000.0,63841000.0,-79520000.0,-24055000.0,-83000.0,-24000.0,,,87000.0
VTVT,2015-09-30,False,Q3,2015,10-Q,133000.0,-9441000.0,-4103000.0,-0.49,-0.49,0.0,100195000.0,97809000.0,6076000.0,97010000.0,-94185000.0,-27976000.0,-42000.0,123644000.0,2800000.0,,42000.0
VTVT,2017-06-30,False,Q2,2017,10-Q,13000.0,-12615000.0,-3963000.0,-0.41,-0.41,0.0,35779000.0,33152000.0,11255000.0,32513000.0,-106410000.0,-26453000.0,-39000.0,7500000.0,19037000.0,,39000.0
VTVT,2016-03-31,False,Q1,2016,10-Q,376000.0,-13540000.0,-3852000.0,-0.42,-0.42,0.0,79559000.0,77053000.0,8674000.0,75501000.0,-63022000.0,-12502000.0,,,,,
VTVT,2016-09-30,False,Q3,2016,10-Q,38000.0,-13528000.0,-3993000.0,-0.41,-0.41,0.0,54715000.0,52116000.0,10583000.0,51058000.0,-111240000.0,-36783000.0,-83000.0,-79000.0,,,87000.0
VTVT,2017-09-30,False,Q3,2017,10-Q,15000.0,-11541000.0,-3650000.0,-0.38,-0.38,0.0,24055000.0,21494000.0,12203000.0,20488000.0,-136303000.0,-38510000.0,-7000.0,7500000.0,19311000.0,,39000.0
VTVT,2018-09-30,False,Q3,2018,10-Q,3375000.0,-1481000.0,-796000.0,-0.06,-0.06,0.0,11089000.0,5896000.0,25309000.0,3766000.0,-43978000.0,-20987000.0,7000.0,12826000.0,18208000.0,,5000.0
VTVT,2015-12-31,False,FY,2015,10-K,519000.0,-38142000.0,-27498000.0,-3.32,-3.32,0.0,91532000.0,89186000.0,7726000.0,88003000.0,-77970000.0,-36946000.0,-79000.0,123644000.0,,,104000.0
VTVT,2015-06-30,False,Q2,2015,10-Q,110000.0,,-10412000.0,-7.75,-7.75,0.0,18966000.0,2687000.0,62985000.0,2397000.0,0.0,-18154000.0,-33000.0,19200000.0,2800000.0,,33000.0
VTVT,2016-12-31,False,FY,2016,10-K,634000.0,-55020000.0,-16352000.0,-1.71,-1.71,0.0,54495000.0,52117000.0,11434000.0,51505000.0,-90945000.0,-48209000.0,-83000.0,11794000.0,11058000.0,,87000.0
VTVT,2018-06-30,False,Q2,2018,10-Q,2473000.0,-8858000.0,-3072000.0,-0.31,-0.31,0.0,11226000.0,6008000.0,31487000.0,1163000.0,-71597000.0,-14727000.0,12000.0,3958000.0,19092000.0,,
VTVT,2018-03-31,False,Q1,2018,10-Q,2064000.0,-9134000.0,-2952000.0,-0.3,-0.3,0.0,14729000.0,9472000.0,26821000.0,6535000.0,-148788000.0,-5397000.0,12000.0,,19862000.0,,
VTVT,2017-12-31,False,FY,2017,10-K,291000.0,-50682000.0,-16144000.0,-1.67,-1.67,0.0,27917000.0,20362000.0,26929000.0,11758000.0,-151047000.0,-44560000.0,-25000.0,7500000.0,19587000.0,,57000.0
