symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
WABC,2018-12-31,False,FY,2018,10-K,53372000.0,,71564000.0,2.69,2.67,1.6,5568526000.0,,,420284000.0,615591000.0,96629000.0,-253563000.0,2216000.0,,121673000.0,3123000.0
WABC,2010-09-30,False,Q3,2010,10-Q,70274000.0,,23709000.0,0.81,0.81,0.36,4977871000.0,,,344169000.0,541173000.0,89989000.0,285842000.0,-392797000.0,26396000.0,121673000.0,657000.0
WABC,2010-06-30,False,Q2,2010,10-Q,70848000.0,,23561000.0,0.81,0.8,0.36,4727086000.0,,,294240000.0,527681000.0,37972000.0,184125000.0,-288992000.0,26430000.0,121673000.0,448000.0
WABC,2010-12-31,False,FY,2010,10-K,282609000.0,,94577000.0,3.24,3.21,1.44,4931524000.0,,,338793000.0,545287000.0,114970000.0,298515000.0,-435827000.0,26363000.0,121673000.0,1448000.0
WABC,2011-12-31,False,FY,2011,10-K,114547000.0,,87888000.0,3.07,3.06,1.45,5042161000.0,,,530045000.0,558641000.0,120393000.0,67645000.0,3214000.0,15000000.0,121673000.0,3309000.0
WABC,2011-03-31,False,Q1,2011,10-Q,67237000.0,,22382000.0,0.77,0.77,0.36,4937429000.0,,,348157000.0,550915000.0,32493000.0,1588000.0,-24717000.0,26108000.0,121673000.0,177000.0
WABC,2012-09-30,False,Q3,2012,10-Q,59898000.0,,20022000.0,0.73,0.73,0.37,4859627000.0,,,367964000.0,558841000.0,89735000.0,-6237000.0,-245579000.0,,121673000.0,3875000.0
WABC,2011-09-30,False,Q3,2011,10-Q,67181000.0,,22432000.0,0.79,0.79,0.36,4966499000.0,,,459754000.0,553988000.0,87032000.0,75158000.0,-41229000.0,15000000.0,121673000.0,2198000.0
WABC,2012-06-30,False,Q2,2012,10-Q,60434000.0,,20964000.0,0.76,0.75,0.37,4953130000.0,,,320925000.0,557926000.0,48211000.0,-136441000.0,-120890000.0,15000000.0,121673000.0,2637000.0
WABC,2011-06-30,False,Q2,2011,10-Q,68380000.0,,21269000.0,0.74,0.74,0.36,4876731000.0,,,320119000.0,549340000.0,61842000.0,28249000.0,-108765000.0,25853000.0,121673000.0,250000.0
WABC,2014-06-30,False,Q2,2014,10-Q,48601000.0,,15157000.0,0.58,0.58,0.38,4931095000.0,,,484904000.0,538803000.0,45538000.0,-43824000.0,11162000.0,0.0,121673000.0,1696000.0
WABC,2012-03-31,False,Q1,2012,10-Q,62967000.0,,21005000.0,0.75,0.75,0.37,5060257000.0,,,541102000.0,559528000.0,32959000.0,9228000.0,-31130000.0,15000000.0,121673000.0,1940000.0
WABC,2014-03-31,False,Q1,2014,10-Q,48554000.0,,15307000.0,0.58,0.58,0.38,4921042000.0,,,428840000.0,540883000.0,33746000.0,-107305000.0,30371000.0,,121673000.0,166000.0
WABC,2013-12-31,False,FY,2013,10-K,97452000.0,,67177000.0,2.5,2.5,1.49,4847055000.0,,,472028000.0,542934000.0,85315000.0,50922000.0,-155591000.0,,121673000.0,1693000.0
WABC,2013-09-30,False,Q3,2013,10-Q,52375000.0,,16738000.0,0.63,0.63,0.37,4806487000.0,,,388579000.0,541840000.0,77097000.0,10601000.0,-190501000.0,,121673000.0,1581000.0
WABC,2013-06-30,False,Q2,2013,10-Q,53553000.0,,17112000.0,0.64,0.64,0.37,4813908000.0,,,384276000.0,544622000.0,48887000.0,3201000.0,-159194000.0,,121673000.0,1110000.0
WABC,2013-03-31,False,Q1,2013,10-Q,54743000.0,,17271000.0,0.64,0.64,0.37,4887844000.0,,,355459000.0,558980000.0,22501000.0,-76580000.0,-81844000.0,,121673000.0,617000.0
WABC,2015-12-31,False,FY,2015,10-K,77402000.0,,58753000.0,2.3,2.3,1.53,5168875000.0,,,433044000.0,532205000.0,70404000.0,-102264000.0,84068000.0,0.0,121673000.0,4474000.0
WABC,2012-12-31,False,FY,2012,10-K,96670000.0,,81127000.0,2.93,2.93,1.48,4952193000.0,,,491382000.0,560102000.0,119464000.0,5697000.0,-163824000.0,15000000.0,121673000.0,4834000.0
WABC,2015-06-30,False,Q2,2015,10-Q,46694000.0,,14761000.0,0.58,0.58,0.38,5031230000.0,,,289606000.0,525338000.0,34528000.0,-73621000.0,-52137000.0,0.0,121673000.0,1833000.0
WABC,2016-03-31,False,Q1,2016,10-Q,45376000.0,,14226000.0,0.56,0.56,0.39,5199868000.0,,,471164000.0,538973000.0,18218000.0,58195000.0,-38293000.0,0.0,121673000.0,283000.0
WABC,2014-09-30,False,Q3,2014,10-Q,47954000.0,,15154000.0,0.58,0.58,0.38,4993725000.0,,,524338000.0,533395000.0,58296000.0,-105137000.0,99151000.0,0.0,121673000.0,2392000.0
WABC,2015-09-30,False,Q3,2015,10-Q,46292000.0,,14857000.0,0.58,0.58,0.38,5001395000.0,,,268587000.0,533938000.0,57707000.0,-94409000.0,-75547000.0,0.0,121673000.0,4049000.0
WABC,2015-03-31,False,Q1,2015,10-Q,46217000.0,,14557000.0,0.57,0.57,0.38,5035777000.0,,,247450000.0,527380000.0,17310000.0,-136276000.0,-14420000.0,0.0,121673000.0,1326000.0
WABC,2014-12-31,False,FY,2014,10-K,82558000.0,,60646000.0,2.32,2.32,1.52,5035724000.0,,,380836000.0,526603000.0,82311000.0,-295262000.0,121759000.0,0.0,121673000.0,3791000.0
WABC,2016-06-30,False,Q2,2016,10-Q,45429000.0,,14546000.0,0.57,0.57,0.39,5179085000.0,,,441785000.0,558327000.0,35848000.0,28839000.0,-55946000.0,,121673000.0,991000.0
WABC,2016-09-30,False,Q3,2016,10-Q,45066000.0,,15628000.0,0.61,0.61,0.39,5306778000.0,,,471367000.0,562996000.0,59178000.0,-104491000.0,83636000.0,,121673000.0,1299000.0
WABC,2016-12-31,False,FY,2016,10-K,65164000.0,,58853000.0,2.3,2.29,1.56,5366083000.0,,,462271000.0,561367000.0,58880000.0,-197263000.0,-21279000.0,,121673000.0,1818000.0
WABC,2017-09-30,False,Q3,2017,10-Q,45693000.0,,15017000.0,0.57,0.57,0.39,5445808000.0,,,561757000.0,603957000.0,65086000.0,9369000.0,25031000.0,,121673000.0,1980000.0
WABC,2018-06-30,False,Q2,2018,10-Q,47351000.0,,18010000.0,0.68,0.67,0.4,5577844000.0,,,629146000.0,586138000.0,49900000.0,-53386000.0,57630000.0,,121673000.0,2309000.0
WABC,2018-03-31,False,Q1,2018,10-Q,46462000.0,,17506000.0,0.66,0.66,0.4,5551036000.0,,,555607000.0,582083000.0,26476000.0,-89936000.0,44065000.0,,121673000.0,1413000.0
WABC,2017-06-30,False,Q2,2017,10-Q,45286000.0,,15799000.0,0.6,0.6,0.39,5393350000.0,,,529362000.0,595594000.0,40384000.0,34691000.0,-7984000.0,,121673000.0,1050000.0
WABC,2017-12-31,False,FY,2017,10-K,21361000.0,,50025000.0,1.9,1.89,1.57,5513046000.0,,,575002000.0,590239000.0,80754000.0,-73258000.0,105235000.0,,121673000.0,2720000.0
WABC,2017-03-31,False,Q1,2017,10-Q,44981000.0,,15049000.0,0.58,0.57,0.39,5395947000.0,,,546815000.0,584888000.0,25274000.0,44135000.0,15135000.0,,121673000.0,501000.0
WABC,2018-09-30,False,Q3,2018,10-Q,48781000.0,,16993000.0,0.64,0.63,0.4,5529463000.0,,,522660000.0,592591000.0,80424000.0,-125052000.0,-7714000.0,,121673000.0,2830000.0
