symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
WBA,2018-11-30,False,Q1,2019,10-Q,33793000000.0,1400000000.0,1123000000.0,1.18,1.18,0.44,69941000000.0,20083000000.0,25099000000.0,980000000.0,26263000000.0,460000000.0,-635000000.0,390000000.0,500000000.0,16809000000.0,470000000.0
WXZ,2014-11-30,False,Q1,2015,10-Q,0.0,0.0,-14000000.0,,,0.0,10030000000.0,,97000000.0,9962000000.0,-77000000.0,0.0,0.0,9972000000.0,10010000000.0,,
WBA,2017-02-28,False,Q2,2017,10-Q,29446000000.0,1479000000.0,1060000000.0,0.98,0.98,0.375,72505000000.0,27509000000.0,17678000000.0,11822000000.0,30421000000.0,3382000000.0,-197000000.0,-1122000000.0,33000000.0,15214000000.0,639000000.0
WBA,2015-11-30,False,Q1,2016,10-Q,29033000000.0,1468000000.0,1110000000.0,1.02,1.01,0.36,68657000000.0,20231000000.0,16874000000.0,2570000000.0,31154000000.0,732000000.0,-271000000.0,-853000000.0,750000000.0,16195000000.0,340000000.0
WBA,2016-11-30,False,Q1,2017,10-Q,28501000000.0,1447000000.0,1054000000.0,0.97,0.97,0.375,71912000000.0,26668000000.0,17729000000.0,9598000000.0,29692000000.0,525000000.0,89000000.0,-778000000.0,30000000.0,15203000000.0,378000000.0
WBA,2016-05-31,False,Q3,2016,10-Q,29498000000.0,1533000000.0,1103000000.0,1.02,1.01,0.36,67333000000.0,19713000000.0,15811000000.0,3291000000.0,31314000000.0,5189000000.0,-1961000000.0,-2894000000.0,2100000000.0,16102000000.0,904000000.0
WBA,2016-08-31,False,FY,2016,10-K,117351000000.0,6001000000.0,4173000000.0,3.85,3.82,1.455,72688000000.0,25883000000.0,17013000000.0,9807000000.0,30281000000.0,7847000000.0,-3517000000.0,2606000000.0,19150000000.0,15527000000.0,1325000000.0
WXZ,2015-02-28,False,Q2,2015,10-Q,26573000000.0,1377000000.0,2042000000.0,1.96,1.93,0.3375,71357000000.0,20715000000.0,16690000000.0,3005000000.0,31026000000.0,2337000000.0,-4708000000.0,2829000000.0,16003000000.0,17044000000.0,643000000.0
WXZ,2015-05-31,False,Q3,2015,10-Q,28795000000.0,1401000000.0,1302000000.0,1.19,1.18,0.3375,70644000000.0,21029000000.0,16157000000.0,4449000000.0,31929000000.0,4159000000.0,-3884000000.0,1622000000.0,15057000000.0,17361000000.0,890000000.0
WBA,2017-11-30,False,Q1,2018,10-Q,30740000000.0,1322000000.0,821000000.0,0.82,0.81,0.4,66618000000.0,19681000000.0,20517000000.0,1830000000.0,26756000000.0,961000000.0,-599000000.0,-1857000000.0,28000000.0,15931000000.0,378000000.0
WBA,2017-05-31,False,Q3,2017,10-Q,30118000000.0,1517000000.0,1162000000.0,1.08,1.07,0.375,74173000000.0,28152000000.0,21713000000.0,12253000000.0,31484000000.0,5237000000.0,-452000000.0,-2333000000.0,25000000.0,15516000000.0,912000000.0
WBA,2016-02-29,False,Q2,2016,10-Q,30184000000.0,1860000000.0,930000000.0,0.86,0.85,0.36,66385000000.0,20378000000.0,16272000000.0,3586000000.0,29918000000.0,3085000000.0,-552000000.0,-1859000000.0,2000000000.0,15796000000.0,657000000.0
WBA,2018-05-31,False,Q3,2018,10-Q,34334000000.0,1601000000.0,1342000000.0,1.35,1.35,0.4,70152000000.0,19988000000.0,21482000000.0,1818000000.0,28470000000.0,5385000000.0,-5111000000.0,-1783000000.0,27000000.0,17089000000.0,983000000.0
WBA,2015-08-31,False,FY,2015,10-K,103444000000.0,4668000000.0,4220000000.0,4.05,4.0,1.3725,68782000000.0,19657000000.0,16557000000.0,3000000000.0,31300000000.0,5664000000.0,-4276000000.0,-915000000.0,9000000000.0,16372000000.0,1251000000.0
WBA,2017-08-31,False,FY,2017,10-K,118214000000.0,5557000000.0,4078000000.0,3.8,3.78,1.525,66009000000.0,19753000000.0,18547000000.0,3301000000.0,28274000000.0,7251000000.0,-843000000.0,-12934000000.0,13027000000.0,15632000000.0,1351000000.0
WBA,2018-02-28,False,Q2,2018,10-Q,33021000000.0,1980000000.0,1349000000.0,1.36,1.36,0.4,70816000000.0,20358000000.0,22559000000.0,1749000000.0,28178000000.0,3176000000.0,-4156000000.0,-616000000.0,26000000.0,17017000000.0,666000000.0
WBA,2018-08-31,False,FY,2018,10-K,131537000000.0,6414000000.0,5024000000.0,5.07,5.05,1.64,68124000000.0,17846000000.0,21667000000.0,785000000.0,26689000000.0,8265000000.0,-5501000000.0,-5295000000.0,14477000000.0,16914000000.0,1367000000.0
