symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
WEBK,2013-06-30,False,Q2,2013,10-Q,4223000.0,,583000.0,0.26,0.26,0.0,396743000.0,,,2553000.0,45671000.0,7956000.0,-33890000.0,19905000.0,42500000.0,,582000.0
WEBK,2013-03-31,False,Q1,2013,10-Q,4163000.0,,595000.0,0.26,0.26,0.0,385754000.0,,,2237000.0,45378000.0,7487000.0,-16300000.0,9258000.0,36500000.0,,384000.0
WEBK,2011-12-31,False,FY,2011,10-K,13461000.0,,2005000.0,,,0.0,303148000.0,,,3882000.0,22731000.0,2125000.0,-25729000.0,38731000.0,7500000.0,,594000.0
WEBK,2012-03-31,False,Q1,2012,10-Q,3502000.0,,-553000.0,,,0.0,314196000.0,,,4537000.0,43137000.0,882000.0,-15809000.0,10027000.0,13500000.0,,859000.0
WEBK,2018-09-30,False,Q3,2018,10-Q,9177000.0,,1557000.0,0.65,0.62,0.0,836871000.0,,,5421000.0,63022000.0,4068000.0,-36522000.0,28195000.0,62357000.0,,728000.0
WEBK,2014-09-30,False,Q3,2014,10-Q,5238000.0,,516000.0,0.23,0.22,0.0,505637000.0,,,2721000.0,48686000.0,2482000.0,-54826000.0,44771000.0,63500000.0,,288000.0
WEBK,2014-03-31,False,Q1,2014,10-Q,4820000.0,,394000.0,0.17,0.17,0.0,476176000.0,,,2794000.0,47429000.0,165000.0,-19685000.0,17256000.0,41500000.0,,93000.0
WEBK,2013-09-30,False,Q3,2013,10-Q,4483000.0,,607000.0,0.27,0.27,0.0,421094000.0,,,4770000.0,46382000.0,11934000.0,-60401000.0,43068000.0,40500000.0,,1131000.0
WEBK,2012-09-30,False,Q3,2012,10-Q,3795000.0,,537000.0,0.24,0.24,0.0,357317000.0,,,1892000.0,44424000.0,-5287000.0,-55961000.0,51386000.0,31500000.0,,1111000.0
WEBK,2012-12-31,False,FY,2012,10-K,15050000.0,,1099000.0,,,0.0,376048000.0,,,2247000.0,44971000.0,-5317000.0,-79185000.0,69196000.0,31500000.0,,1188000.0
WEBK,2014-06-30,False,Q2,2014,10-Q,5098000.0,,431000.0,0.19,0.19,0.0,494304000.0,,,2775000.0,48110000.0,581000.0,-36482000.0,34413000.0,53500000.0,,258000.0
