symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
TRNX,2013-12-29,False,FY,2013,10-K,310959000.0,-24074000.0,-36426000.0,-0.79,-0.79,0.0,705426000.0,226525000.0,76316000.0,56784000.0,525808000.0,24982000.0,-47713000.0,47023000.0,61769000.0,251540000.0,10825000.0
WMGI,2018-12-30,False,FY,2018,10-K,836190000.0,-7796000.0,-169505000.0,-1.5,-1.5,0.0,2694401000.0,603232000.0,467126000.0,191351000.0,932459000.0,-63729000.0,-510239000.0,598140000.0,1115127000.0,1268954000.0,71467000.0
TRNX,2012-07-01,False,Q2,2012,10-Q,66014000.0,-4871000.0,-5084000.0,-0.13,-0.13,0.0,516226000.0,207594000.0,71266000.0,61424000.0,399364000.0,13316000.0,-15564000.0,10308000.0,22294000.0,130522000.0,3704000.0
TRNX,2012-04-01,False,Q1,2012,10-Q,74458000.0,1234000.0,-176000.0,-0.0,-0.0,0.0,537287000.0,220748000.0,75818000.0,69067000.0,413641000.0,8839000.0,-5428000.0,9412000.0,,132895000.0,1156000.0
TRNX,2013-06-30,False,Q2,2013,10-Q,78135000.0,-8376000.0,-12537000.0,-0.28,-0.28,0.0,683725000.0,222215000.0,75225000.0,58715000.0,507974000.0,17741000.0,-23351000.0,33874000.0,65995000.0,245099000.0,-4778000.0
TRNX,2014-03-30,False,Q1,2014,10-Q,89025000.0,-5029000.0,-5237000.0,-0.11,-0.11,0.0,708625000.0,228218000.0,85465000.0,49413000.0,520959000.0,3367000.0,-10564000.0,-23000.0,,253731000.0,1764000.0
TRNX,2015-06-28,False,Q2,2015,10-Q,83221000.0,-6944000.0,-9343000.0,-0.19,-0.19,0.0,637499000.0,209518000.0,84875000.0,25883000.0,449516000.0,1608000.0,-13302000.0,10454000.0,73687000.0,238905000.0,3661000.0
TRNX,2015-03-29,False,Q1,2015,10-Q,88092000.0,-3683000.0,-5116000.0,-0.1,-0.1,0.0,645530000.0,219451000.0,94292000.0,36057000.0,449098000.0,-2837000.0,-7089000.0,19126000.0,73616000.0,236949000.0,2411000.0
TRNX,2013-03-31,False,Q1,2013,10-Q,82685000.0,-4613000.0,-6898000.0,-0.17,-0.17,0.0,651249000.0,201936000.0,76028000.0,35845000.0,427279000.0,16418000.0,-10740000.0,211000.0,113361000.0,237844000.0,2829000.0
TRNX,2012-09-30,False,Q3,2012,10-Q,58015000.0,-10732000.0,-11681000.0,-0.29,-0.29,0.0,516743000.0,204374000.0,74984000.0,58499000.0,396659000.0,11136000.0,-20787000.0,13397000.0,21084000.0,132459000.0,6866000.0
TRNX,2012-12-30,False,FY,2012,10-K,277520000.0,-28334000.0,-21744000.0,-0.54,-0.54,0.0,654227000.0,197318000.0,60626000.0,31108000.0,436079000.0,14431000.0,-125795000.0,86666000.0,115457000.0,239804000.0,9891000.0
TRNX,2015-09-27,False,Q3,2015,10-Q,74944000.0,-8532000.0,-10794000.0,-0.22,-0.22,0.0,625278000.0,202984000.0,82706000.0,30111000.0,439227000.0,12907000.0,-18993000.0,9257000.0,74464000.0,238505000.0,4544000.0
TRNX,2014-09-28,False,Q3,2014,10-Q,76675000.0,-4425000.0,-5321000.0,-0.11,-0.11,0.0,665657000.0,203764000.0,78561000.0,25930000.0,491241000.0,-4517000.0,-28897000.0,2089000.0,,247813000.0,8128000.0
TRNX,2014-06-29,False,Q2,2014,10-Q,86850000.0,-7955000.0,-10448000.0,-0.21,-0.21,0.0,693966000.0,216802000.0,85668000.0,31771000.0,511312000.0,105000.0,-27037000.0,2110000.0,,252974000.0,4880000.0
TRNX,2012-01-01,False,FY,2011,10-K,261191000.0,-7152000.0,-30456000.0,-0.8,-0.8,0.0,511700000.0,198872000.0,65474000.0,54706000.0,401460000.0,23166000.0,-29475000.0,39110000.0,,130544000.0,6599000.0
TRNX,2011-07-03,False,Q2,2011,10-Q,65158000.0,-2311000.0,-2869000.0,-0.07,-0.07,0.0,545365000.0,213460000.0,64978000.0,59733000.0,424835000.0,12465000.0,-11567000.0,32301000.0,,139056000.0,1476000.0
TRNX,2011-10-02,False,Q3,2011,10-Q,57556000.0,-4137000.0,-1637000.0,-0.04,-0.04,0.0,523819000.0,204060000.0,64373000.0,55848000.0,411172000.0,10961000.0,-20867000.0,42484000.0,,133724000.0,3772000.0
TRNX,2014-12-28,False,FY,2014,10-K,344953000.0,-21422000.0,-29471000.0,-0.6,-0.6,0.0,658575000.0,209701000.0,84461000.0,27940000.0,478890000.0,1008000.0,-34328000.0,2700000.0,63743000.0,244782000.0,10494000.0
TRNX,2013-09-29,False,Q3,2013,10-Q,66747000.0,-3745000.0,-6292000.0,,,0.0,690731000.0,220225000.0,69987000.0,62552000.0,523337000.0,18321000.0,-31841000.0,44054000.0,61722000.0,247708000.0,7518000.0
WMGI,2015-12-27,False,FY,2015,10-K,415461000.0,-189969000.0,-298701000.0,-4.61,-4.61,0.0,2089675000.0,559884000.0,206938000.0,139804000.0,1055026000.0,-195870000.0,-15970000.0,126862000.0,579553000.0,876344000.0,43666000.0
WMGI,2016-03-27,False,Q1,2016,10-Q,181027000.0,-29380000.0,-47992000.0,-0.47,-0.47,0.0,1979471000.0,527890000.0,199961000.0,121404000.0,1022395000.0,-9778000.0,-10543000.0,1116000.0,572526000.0,879979000.0,9079000.0
WMGI,2017-03-26,False,Q1,2017,10-Q,177191000.0,-9598000.0,-58699000.0,-0.57,-0.57,0.0,2428017000.0,986254000.0,1040847000.0,235982000.0,655216000.0,-14478000.0,-13024000.0,387000.0,814575000.0,853684000.0,12149000.0
WMGI,2017-06-25,False,Q2,2017,10-Q,179693000.0,-8793000.0,-41162000.0,-0.2,-0.2,0.0,2291471000.0,724113000.0,500831000.0,228877000.0,634625000.0,-10818000.0,-32299000.0,8244000.0,831409000.0,855405000.0,31355000.0
WMGI,2017-09-24,False,Q3,2017,10-Q,170503000.0,-18509000.0,-131870000.0,-0.33,-0.33,0.0,2200683000.0,641119000.0,487825000.0,238867000.0,538516000.0,-129308000.0,-50884000.0,42814000.0,875656000.0,860860000.0,49476000.0
