symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
WTW,2018-12-29,False,FY,2018,10-K,1514121000.0,388985000.0,223749000.0,3.38,3.19,0.0,1414541000.0,366424000.0,341316000.0,236974000.0,-808943000.0,295592000.0,-63958000.0,-74353000.0,1782250000.0,152519000.0,19050000.0
WTW,2012-03-31,False,Q1,2012,10-Q,503535000.0,102774000.0,54605000.0,0.74,0.74,0.18,1176123000.0,231292000.0,1289154000.0,79611000.0,-1856797000.0,110754000.0,-20982000.0,-52812000.0,1750788000.0,50018000.0,16329000.0
WTW,2012-09-29,False,Q3,2012,10-Q,430610000.0,131984000.0,67364000.0,1.21,1.2,0.18,1197956000.0,224892000.0,498613000.0,80591000.0,-1720434000.0,301165000.0,-71621000.0,-185537000.0,2414594000.0,51218000.0,35585000.0
WTW,2011-10-01,False,Q3,2011,10-Q,428434000.0,138299000.0,80650000.0,1.1,1.09,0.18,1086499000.0,189293000.0,481595000.0,61421000.0,-470509000.0,374948000.0,-31020000.0,-323909000.0,1066800000.0,49989000.0,12950000.0
WTW,2011-07-02,False,Q2,2011,10-Q,486013000.0,155330000.0,86963000.0,1.19,1.17,0.18,1104470000.0,196573000.0,471016000.0,60382000.0,-542396000.0,254983000.0,-20399000.0,-217010000.0,1162763000.0,50035000.0,8787000.0
WTW,2012-06-30,False,Q2,2012,10-Q,484752000.0,153508000.0,77462000.0,1.37,1.36,0.18,1193578000.0,247198000.0,507068000.0,90902000.0,-1784594000.0,180278000.0,-38253000.0,-98197000.0,2493824000.0,50013000.0,25820000.0
WTW,2013-03-30,False,Q1,2013,10-Q,486928000.0,103119000.0,48753000.0,0.87,0.87,0.18,1314720000.0,273811000.0,586296000.0,121381000.0,-1620713000.0,115163000.0,-58173000.0,-3100000.0,2400021000.0,63469000.0,17915000.0
WTW,2011-01-01,False,FY,2010,10-K,1452037000.0,390345000.0,194235000.0,2.57,2.56,0.7,1091987000.0,190442000.0,539135000.0,40534000.0,-690724000.0,281484000.0,-28646000.0,-256812000.0,,51425000.0,9137000.0
WTW,2013-09-28,False,Q3,2013,10-Q,393898000.0,124520000.0,60258000.0,1.07,1.07,0.18,1408236000.0,304412000.0,384178000.0,181255000.0,-1509394000.0,301437000.0,-131426000.0,-59099000.0,2394000000.0,75924000.0,37656000.0
WTW,2014-06-28,False,Q2,2014,10-Q,397547000.0,114564000.0,54002000.0,0.95,0.95,0.0,1526364000.0,399551000.0,385729000.0,276470000.0,-1404304000.0,145499000.0,-31972000.0,-11939000.0,2376000000.0,114826000.0,4531000.0
