symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
WVFC,2018-12-31,False,Q2,2019,10-Q,3053000.0,,685000.0,0.38,0.38,0.08,348982000.0,,,2738000.0,33387000.0,2134000.0,2825000.0,-3772000.0,,,
WVFC,2011-12-31,False,Q2,2012,10-Q,1661000.0,,204000.0,0.1,0.1,0.0,253507000.0,,,2043000.0,29398000.0,237000.0,-24476000.0,24514000.0,,,18000.0
WVFC,2012-03-31,False,Q3,2012,10-Q,1849000.0,,382000.0,0.19,0.19,0.0,306699000.0,,,3526000.0,29994000.0,932000.0,-66114000.0,66940000.0,,,31000.0
WVFC,2011-09-30,False,Q1,2012,10-Q,1968000.0,,410000.0,0.2,0.2,0.04,222217000.0,,,4594000.0,29083000.0,-56000.0,10857000.0,-6322000.0,,,14000.0
WVFC,2012-12-31,False,Q2,2013,10-Q,1779000.0,,325000.0,0.16,0.16,0.0,254804000.0,,,1779000.0,31558000.0,1938000.0,14484000.0,-16826000.0,,,119000.0
WVFC,2012-06-30,False,FY,2012,10-K,7402000.0,,1402000.0,0.68,0.68,0.16,273341000.0,,,2314000.0,30413000.0,1948000.0,-41690000.0,40288000.0,,,79000.0
WVFC,2013-09-30,False,Q1,2014,10-Q,1539000.0,,210000.0,0.1,0.1,0.04,295958000.0,,,1570000.0,32069000.0,622000.0,-8286000.0,8204000.0,,,27000.0
WVFC,2012-09-30,False,Q1,2013,10-Q,1747000.0,,385000.0,0.19,0.19,0.04,296854000.0,,,2162000.0,31109000.0,731000.0,-26263000.0,25588000.0,,,48000.0
WVFC,2013-03-31,False,Q3,2013,10-Q,1444000.0,,139000.0,0.07,0.07,0.0,268629000.0,,,1727000.0,31763000.0,2825000.0,90000.0,-3370000.0,,,122000.0
WVFC,2013-06-30,False,FY,2013,10-K,6532000.0,,1080000.0,0.52,0.52,0.16,287576000.0,,,1603000.0,31828000.0,4106000.0,-20150000.0,15465000.0,,,121000.0
WVFC,2013-12-31,False,Q2,2014,10-Q,1570000.0,,233000.0,0.11,0.11,0.0,314033000.0,,,1574000.0,32290000.0,1838000.0,-27883000.0,25939000.0,,,31000.0
WVFC,2014-09-30,False,Q1,2015,10-Q,1658000.0,,299000.0,0.15,0.15,0.04,317236000.0,,,1255000.0,31776000.0,4000.0,-6752000.0,6921000.0,,,46000.0
WVFC,2014-12-31,False,Q2,2015,10-Q,1682000.0,,266000.0,0.13,0.13,0.0,294689000.0,,,1927000.0,31829000.0,825000.0,16108000.0,-16032000.0,,,59000.0
WVFC,2014-06-30,False,FY,2014,10-K,6352000.0,,920000.0,0.45,0.45,0.16,309940000.0,,,1088000.0,31788000.0,3264000.0,-24987000.0,21156000.0,,,101000.0
WVFC,2015-09-30,False,Q1,2016,10-Q,1776000.0,,311000.0,0.16,0.16,0.04,334089000.0,,,1575000.0,32311000.0,-1331000.0,-6268000.0,5995000.0,,,6000.0
WVFC,2015-03-31,False,Q3,2015,10-Q,1872000.0,,460000.0,0.22,0.22,0.0,321219000.0,,,2133000.0,32080000.0,-984000.0,-7837000.0,9963000.0,,,80000.0
WVFC,2015-12-31,False,Q2,2016,10-Q,1778000.0,,293000.0,0.15,0.15,0.0,330418000.0,,,2594000.0,32329000.0,1564000.0,-1856000.0,-407000.0,,,7000.0
WVFC,2014-03-31,False,Q3,2014,10-Q,1559000.0,,198000.0,0.1,0.1,0.0,317207000.0,,,1210000.0,32498000.0,2198000.0,-31468000.0,28801000.0,,,53000.0
WVFC,2015-06-30,False,FY,2015,10-K,6936000.0,,1347000.0,0.69,0.69,0.16,329716000.0,,,1839000.0,32043000.0,1646000.0,-15689000.0,16256000.0,,,106000.0
WVFC,2016-12-31,False,Q2,2017,10-Q,1921000.0,,395000.0,0.21,0.21,0.0,340135000.0,,,2060000.0,33324000.0,1197000.0,-4849000.0,3695000.0,,,3000.0
WVFC,2016-09-30,False,Q1,2017,10-Q,1907000.0,,398000.0,0.21,0.21,0.04,335056000.0,,,2920000.0,33012000.0,1172000.0,1226000.0,-1070000.0,,,1000.0
WVFC,2017-09-30,False,Q1,2017,10-Q,2340000.0,,502000.0,0.28,0.28,0.06,356117000.0,,,1528000.0,33545000.0,2115000.0,526000.0,2719000.0,,,
WVFC,2017-03-31,False,Q3,2017,10-Q,2088000.0,,426000.0,0.23,0.23,0.0,344968000.0,,,2484000.0,33694000.0,3113000.0,-10410000.0,7765000.0,,,9000.0
WVFC,2017-06-30,False,FY,2017,10-K,8136000.0,,1637000.0,0.87,0.87,0.24,351609000.0,,,1944000.0,33043000.0,2898000.0,-16807000.0,13838000.0,,,9000.0
WVFC,2016-06-30,False,FY,2016,10-K,7384000.0,,1325000.0,0.69,0.69,0.24,335723000.0,,,2042000.0,33085000.0,1154000.0,2000.0,-503000.0,,,11000.0
WVFC,2016-03-31,False,Q3,2016,10-Q,1895000.0,,329000.0,0.17,0.17,0.0,338463000.0,,,1614000.0,32763000.0,435000.0,-11780000.0,9676000.0,,,10000.0
WVFC,2018-09-30,False,Q1,2019,10-Q,2942000.0,,748000.0,0.42,0.42,0.08,349939000.0,,,2782000.0,34705000.0,903000.0,5858000.0,-3285000.0,,,
WVFC,2018-06-30,False,FY,2018,10-K,10140000.0,,2125000.0,1.16,1.16,0.32,352288000.0,,,2099000.0,34017000.0,4573000.0,-2290000.0,-2114000.0,,,16000.0
WVFC,2018-03-31,False,Q3,2018,10-Q,2602000.0,,634000.0,0.35,0.35,0.0,356441000.0,,,2362000.0,34170000.0,3847000.0,-2028000.0,2772000.0,,,11000.0
WVFC,2017-12-31,False,Q2,2018,10-Q,2391000.0,,396000.0,0.22,0.22,0.0,355588000.0,,,2616000.0,33865000.0,2776000.0,673000.0,2800000.0,,,11000.0
