symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
WVVI,2018-09-30,False,Q3,2018,10-Q,5461039.0,972942.0,385199.0,0.08,0.08,0.0,60528668.0,27987517.0,4999668.0,10940289.0,47495899.0,1541068.0,-4447224.0,70188.0,0.0,,3325232.0
WVVI,2013-03-31,False,Q1,2013,10-Q,3041559.0,488704.0,296593.0,0.06,0.06,0.0,25066675.0,14326802.0,1824535.0,3740757.0,17631488.0,-43237.0,-714924.0,-62766.0,,,268590.0
WVVI,2012-09-30,False,Q3,2012,10-Q,3155762.0,581057.0,268228.0,0.06,0.06,0.0,24450709.0,14775022.0,1839593.0,4477848.0,16859585.0,1793935.0,-1044078.0,-391503.0,,,1087723.0
WVVI,2012-06-30,False,Q2,2012,10-Q,2851146.0,485334.0,219912.0,0.05,0.05,0.0,23973930.0,14309435.0,1522937.0,3974246.0,16598685.0,802244.0,-537340.0,-331439.0,,,565729.0
WVVI,2012-03-31,False,Q1,2012,10-Q,3204711.0,299056.0,186365.0,0.04,0.04,0.0,24215477.0,14667348.0,1683971.0,3777420.0,16596401.0,660255.0,-216936.0,-77191.0,,,248178.0
WVVI,2011-12-31,False,FY,2011,10-K,15661905.0,1500437.0,857755.0,0.18,0.18,0.0,24286727.0,14767960.0,1821177.0,3411292.0,16433680.0,2719798.0,-1737593.0,910223.0,,,1738700.0
WVVI,2013-06-30,False,Q2,2013,10-Q,3609259.0,885197.0,521125.0,0.11,0.11,0.0,25785330.0,13582461.0,2175409.0,3209299.0,18101418.0,612421.0,-1787639.0,-164259.0,5250.0,,1256487.0
WVVI,2012-12-31,False,FY,2012,10-K,12527268.0,2198880.0,1202849.0,0.25,0.25,0.0,25410996.0,15240015.0,2371136.0,4553113.0,17341494.0,2559141.0,-1726978.0,-495387.0,3816911.0,,1545836.0
WVVI,2013-12-31,False,FY,2013,10-K,13271914.0,2374544.0,1423492.0,0.3,0.29,0.0,29004812.0,12579518.0,2750413.0,945683.0,18859258.0,1692829.0,-6692862.0,1396940.0,5816745.0,,5970933.0
WVVI,2013-09-30,False,Q3,2013,10-Q,3043546.0,419123.0,232066.0,0.05,0.05,0.0,28800600.0,12441659.0,3076173.0,1690234.0,18394956.0,1233656.0,-4265244.0,173046.0,,,3603980.0
WVVI,2014-06-30,False,Q2,2014,10-Q,3693412.0,759570.0,546535.0,0.11,0.11,0.0,28445368.0,11161810.0,1671618.0,409378.0,19645771.0,1165627.0,-2050051.0,348119.0,,,1704210.0
WVVI,2014-03-31,False,Q1,2014,10-Q,2971879.0,248735.0,174915.0,0.04,0.04,0.0,28911645.0,11701592.0,2578725.0,190757.0,19075465.0,-399028.0,-957806.0,601908.0,,,883318.0
WVVI,2014-09-30,False,Q3,2014,10-Q,4046201.0,972657.0,573946.0,0.12,0.12,0.0,29805312.0,12322874.0,2582918.0,906068.0,20225097.0,2208063.0,-2517377.0,269699.0,,,2064604.0
WVVI,2014-12-31,False,FY,2014,10-K,15156159.0,2806222.0,2161340.0,0.45,0.44,0.0,30977301.0,12515493.0,2705009.0,519761.0,21190252.0,3006548.0,-3716509.0,284039.0,5502294.0,,2529512.0
WVVI,2011-06-30,False,Q2,2011,10-Q,3789645.0,353050.0,172369.0,0.04,0.04,0.0,21645434.0,13431464.0,1717926.0,1798767.0,15767654.0,899506.0,-593946.0,-25657.0,,,-564010.0
WVVI,2015-03-31,False,Q1,2015,10-Q,3912501.0,498667.0,314238.0,0.06,0.06,0.0,30298897.0,11554379.0,1715464.0,165029.0,21636861.0,277225.0,-677455.0,45498.0,,,539410.0
WVVI,2011-09-30,False,Q3,2011,10-Q,4344920.0,617295.0,373407.0,0.08,0.08,0.0,24095370.0,14718386.0,1930285.0,2904328.0,16144764.0,1871897.0,-1444103.0,957670.0,,,-1411847.0
WVVI,2015-06-30,False,Q2,2015,10-Q,4721154.0,844884.0,510231.0,0.1,0.1,0.0,31129728.0,11446158.0,1802276.0,618109.0,22270914.0,1431694.0,-1907125.0,573779.0,,,1549326.0
WVVI,2015-09-30,False,Q3,2015,10-Q,4244519.0,746745.0,454256.0,0.09,0.09,0.0,35633017.0,15435821.0,6028787.0,195177.0,22684422.0,1958603.0,-2733558.0,450371.0,,,2112071.0
WVVI,2016-12-31,False,FY,2016,10-K,19425412.0,4167401.0,2166446.0,0.43,0.43,0.0,44871122.0,19948197.0,3566311.0,5706351.0,34632164.0,3087913.0,-5328419.0,3936193.0,4869995.0,,4327804.0
WVVI,2016-06-30,False,Q2,2016,10-Q,4639028.0,828204.0,362481.0,0.07,0.07,0.0,41958550.0,19813696.0,3089938.0,6527533.0,31979769.0,1203111.0,-2115870.0,3429628.0,,,1618967.0
WVVI,2016-03-31,False,Q1,2016,10-Q,4183769.0,742076.0,408995.0,0.08,0.08,0.0,38055509.0,17485254.0,1679013.0,4590124.0,29100290.0,-169882.0,-364563.0,1113905.0,,,156769.0
WVVI,2017-12-31,False,FY,2017,10-K,20853527.0,3636044.0,2289730.0,0.46,0.46,0.0,59695271.0,30437992.0,6434883.0,13776257.0,44741009.0,2509899.0,-3915412.0,9475419.0,7238108.0,,2782366.0
WVVI,2015-12-31,False,FY,2015,10-K,17938872.0,3268577.0,1844221.0,0.37,0.37,0.0,38678876.0,18139546.0,4094305.0,4010664.0,27167033.0,2696977.0,-3424896.0,4218822.0,5173018.0,,2451705.0
WVVI,2017-09-30,False,Q3,2017,10-Q,5143588.0,1098231.0,427996.0,0.09,0.09,0.0,55885128.0,26990592.0,6603366.0,13009179.0,40304643.0,2449163.0,-3040034.0,7893699.0,,,2289578.0
WVVI,2017-03-31,False,Q1,2017,10-Q,4450545.0,503127.0,183297.0,0.04,0.04,0.0,48396846.0,21431714.0,4356754.0,7636480.0,34781107.0,352243.0,-513165.0,2091051.0,,,328114.0
WVVI,2016-09-30,False,Q3,2016,10-Q,4741711.0,994303.0,467979.0,0.09,0.09,0.0,43835103.0,21140183.0,3339004.0,7840400.0,33750562.0,2459109.0,-3142486.0,4513113.0,,,2402303.0
WVVI,2018-03-31,False,Q1,2018,10-Q,4532619.0,472344.0,75561.0,0.02,0.02,0.0,58011717.0,27995823.0,4227447.0,11164513.0,45507319.0,-1341593.0,-1261244.0,-8907.0,,,1107261.0
WVVI,2018-06-30,False,Q2,2018,10-Q,5821292.0,1178905.0,546817.0,0.11,0.11,0.0,58983233.0,27497357.0,3978916.0,10998726.0,46854381.0,40443.0,-3002919.0,184945.0,0.0,,2370272.0
WVVI,2017-06-30,False,Q2,2017,10-Q,5313784.0,1059140.0,461668.0,0.09,0.09,0.0,51352719.0,23200357.0,7018007.0,10004691.0,35213550.0,1528297.0,-1961817.0,4731860.0,,,1437639.0
