symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
WYNN,2012-09-30,False,Q3,2012,10-Q,1298495000.0,247092000.0,112035000.0,1.12,1.11,0.5,7956227000.0,2841284000.0,1205557000.0,2330937000.0,719300000.0,989236000.0,-351130000.0,427526000.0,5782871000.0,,168315000.0
WYNN,2018-12-31,False,FY,2018,10-K,6717660000.0,735544000.0,572430000.0,5.37,5.35,2.75,13216269000.0,2641376000.0,1882063000.0,2215001000.0,1814789000.0,961489000.0,-1222810000.0,-324257000.0,9423100000.0,,1475972000.0
WYNN,2012-06-30,False,Q2,2012,10-Q,1253207000.0,264123000.0,138064000.0,1.38,1.37,0.5,7480591000.0,2470718000.0,1337048000.0,1933189000.0,595472000.0,660822000.0,-179975000.0,189194000.0,5458014000.0,,115341000.0
WYNN,2012-03-31,False,Q1,2012,10-Q,1313498000.0,260099000.0,140564000.0,1.25,1.23,0.5,7403067000.0,2319938000.0,1348509000.0,1871070000.0,440992000.0,338490000.0,-12027000.0,280810000.0,5496029000.0,,35493000.0
WYNN,2011-09-30,False,Q3,2011,10-Q,1298304000.0,239845000.0,127063000.0,1.02,1.01,0.5,7428974000.0,2205130000.0,1325757000.0,1776024000.0,2861318000.0,1149052000.0,-364258000.0,-267135000.0,3103931000.0,,85804000.0
WYNN,2011-06-30,False,Q2,2011,10-Q,1367353000.0,213033000.0,122031000.0,0.98,0.97,0.5,7107712000.0,2070862000.0,1158251000.0,1684989000.0,2737735000.0,830998000.0,-244532000.0,-160177000.0,3146154000.0,,51278000.0
WYNN,2011-03-31,False,Q1,2011,10-Q,1260272000.0,280556000.0,173804000.0,1.4,1.39,0.0,6783167000.0,1745317000.0,864535000.0,1446832000.0,2615904000.0,323179000.0,-36738000.0,-97793000.0,3166620000.0,,32347000.0
WYNN,2012-12-31,False,FY,2012,10-K,5154284000.0,1029276000.0,502036000.0,4.87,4.82,9.5,7276594000.0,2202378000.0,1131377000.0,1725219000.0,103932000.0,1185718000.0,-344854000.0,-382479000.0,5782820000.0,,240985000.0
WYNN,2011-12-31,False,FY,2011,10-K,5269792000.0,1008240000.0,613371000.0,4.94,4.88,6.5,6899496000.0,1726452000.0,1579893000.0,1262587000.0,2223454000.0,1515835000.0,-459100000.0,-1057641000.0,3217719000.0,,184146000.0
WYNN,2013-06-30,False,Q2,2013,10-Q,1332273000.0,274024000.0,129785000.0,1.29,1.28,1.0,7773339000.0,2490335000.0,1368044000.0,2028229000.0,177564000.0,910806000.0,-125106000.0,-483681000.0,6011813000.0,,189722000.0
WYNN,2013-09-30,False,Q3,2013,10-Q,1390112000.0,313978000.0,182020000.0,1.81,1.79,1.0,8069628000.0,2765556000.0,1627162000.0,2041155000.0,241339000.0,1281334000.0,-490578000.0,-476786000.0,6210009000.0,,324828000.0
WYNN,2014-06-30,False,Q2,2014,10-Q,1412063000.0,341342000.0,203906000.0,2.02,2.0,1.25,9071342000.0,3618180000.0,1285165000.0,3035111000.0,288165000.0,578093000.0,-254188000.0,275543000.0,7311184000.0,,415583000.0
WYNN,2014-03-31,False,Q1,2014,10-Q,1513613000.0,376831000.0,226896000.0,2.25,2.22,1.25,9113221000.0,3839184000.0,1255325000.0,3273621000.0,320742000.0,209222000.0,17938000.0,612797000.0,7330827000.0,,178050000.0
WYNN,2013-03-31,False,Q1,2013,10-Q,1378654000.0,333648000.0,202963000.0,2.02,2.0,1.0,7535926000.0,2504504000.0,1234466000.0,2056705000.0,274676000.0,420870000.0,14829000.0,-102328000.0,5782231000.0,,58797000.0
WYNN,2013-12-31,False,FY,2013,10-K,5620936000.0,1290091000.0,728652000.0,7.25,7.17,3.0,8377030000.0,2968814000.0,1455534000.0,2435041000.0,132351000.0,1676642000.0,-677580000.0,-291143000.0,6587568000.0,,506786000.0
WYNN,2010-06-30,False,Q2,2010,10-Q,1032643000.0,148146000.0,52405000.0,0.43,0.42,0.25,7369175000.0,2140798000.0,694359000.0,1858422000.0,3299171000.0,422590000.0,-197367000.0,-356420000.0,,,188563000.0
WYNN,2014-09-30,False,Q3,2014,10-Q,1370010000.0,332575000.0,191406000.0,1.9,1.88,1.25,9181699000.0,3470319000.0,1344312000.0,2890878000.0,293415000.0,974128000.0,-565490000.0,48920000.0,7342277000.0,,707083000.0
WYNN,2010-12-31,False,FY,2010,10-K,4184698000.0,625252000.0,160127000.0,1.3,1.29,8.5,6674497000.0,1561136000.0,887929000.0,1258499000.0,2380585000.0,1057312000.0,-296123000.0,-1492636000.0,3267529000.0,,283828000.0
WYNN,2010-09-30,False,Q3,2010,10-Q,1005949000.0,131949000.0,-33508000.0,-0.27,-0.27,0.25,7361883000.0,2186143000.0,742992000.0,1922338000.0,3301895000.0,661133000.0,-240362000.0,-489842000.0,,,229577000.0
WYNN,2015-03-31,False,Q1,2015,10-Q,1092238000.0,185059000.0,-44601000.0,-0.44,-0.44,1.5,9151680000.0,2382852000.0,1247552000.0,1641908000.0,-147152000.0,-15013000.0,-521597000.0,-3434000.0,7985357000.0,,495743000.0
WYNN,2015-09-30,False,Q3,2015,10-Q,996285000.0,152774000.0,73766000.0,0.73,0.73,0.5,9981185000.0,2348198000.0,1113453000.0,1900209000.0,-60782000.0,345508000.0,-1425925000.0,798070000.0,8748449000.0,,1331676000.0
WYNN,2014-12-31,False,FY,2014,10-K,5433661000.0,1266278000.0,731554000.0,7.25,7.18,0.0,9062861000.0,2782331000.0,1313165000.0,2182164000.0,211091000.0,1098317000.0,-1114352000.0,-235625000.0,7345262000.0,,1127015000.0
WYNN,2016-09-30,False,Q3,2016,10-Q,1109822000.0,76931000.0,-17437000.0,-0.17,-0.17,0.5,10925944000.0,2057197000.0,1430270000.0,1510808000.0,-64432000.0,680843000.0,-1015228000.0,-234440000.0,9440856000.0,,954709000.0
WYNN,2016-06-30,False,Q2,2016,10-Q,1058364000.0,147539000.0,70391000.0,0.69,0.69,0.5,10610351000.0,2414543000.0,991937000.0,1902323000.0,1695000.0,369946000.0,-605771000.0,59163000.0,9457016000.0,,548898000.0
WYNN,2015-06-30,False,Q2,2015,10-Q,1040458000.0,169121000.0,56460000.0,0.56,0.56,0.5,9283042000.0,2087703000.0,1227090000.0,1488220000.0,-110660000.0,186330000.0,-964499000.0,84136000.0,8065562000.0,,909929000.0
WYNN,2016-03-31,False,Q1,2016,10-Q,997678000.0,158298000.0,75221000.0,0.74,0.74,0.5,10646560000.0,2605493000.0,970616000.0,2107253000.0,80935000.0,115373000.0,-272721000.0,184822000.0,9408555000.0,,273162000.0
WYNN,2017-09-30,False,Q3,2017,10-Q,1612331000.0,257327000.0,79767000.0,0.78,0.78,0.5,12427954000.0,3556552000.0,2062058000.0,2935985000.0,398210000.0,1277505000.0,-663159000.0,-128043000.0,10177154000.0,,650282000.0
WYNN,2015-12-31,False,FY,2015,10-K,4075883000.0,658814000.0,195290000.0,1.93,1.92,0.0,10522259000.0,2505778000.0,1110171000.0,2080089000.0,21845000.0,572813000.0,-1891558000.0,1216258000.0,9212765000.0,,1921240000.0
