symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
Y,2011-06-30,False,Q2,2011,10-Q,219161000.0,,15082000.0,1.69,1.68,0.0,6615867000.0,,,85484000.0,3029449000.0,29945000.0,-813000.0,-20389000.0,298979000.0,,4582000.0
Y,2011-03-31,False,Q1,2011,10-Q,248136000.0,,71340000.0,7.99,7.97,0.0,6529999000.0,,,64881000.0,3051982000.0,-103540000.0,97680000.0,-6000000.0,298952000.0,,2584000.0
Y,2010-09-30,False,Q3,2010,10-Q,250163000.0,,36632000.0,4.15,4.15,0.0,6494789000.0,,,103459000.0,2813579000.0,65434000.0,-224643000.0,230142000.0,298896000.0,,4807000.0
Y,2010-06-30,False,Q2,2010,10-Q,250609000.0,,66271000.0,7.41,7.39,0.0,6218829000.0,,,84182000.0,2714091000.0,-11294000.0,122122000.0,-59172000.0,,,3550000.0
Y,2010-12-31,False,FY,2010,10-K,985352000.0,,198502000.0,22.29,22.29,0.0,6431699000.0,,,76741000.0,2908868000.0,60868000.0,-230521000.0,213868000.0,298923000.0,,6607000.0
Y,2012-03-31,False,Q1,2012,10-Q,1048867000.0,,560103000.0,51.17,51.06,0.0,21775154000.0,,,520216000.0,6183100000.0,-35165000.0,470636000.0,-1126000.0,1423883000.0,48095000.0,1127000.0
Y,2011-09-30,False,Q3,2011,10-Q,232530000.0,,19158000.0,2.17,2.03,0.0,6412324000.0,,,90479000.0,2847655000.0,107162000.0,-17902000.0,-75522000.0,299007000.0,,5274000.0
Y,2011-12-31,False,FY,2011,10-K,981837000.0,,143251000.0,16.26,16.2,0.0,6478089000.0,,,84749000.0,2925677000.0,93641000.0,33804000.0,-119437000.0,299035000.0,48095000.0,6411000.0
Y,2018-12-31,False,FY,2018,10-K,6887160000.0,,39539000.0,2.62,2.62,0.0,25344896000.0,,,1038763000.0,7692710000.0,402423000.0,345432000.0,-536684000.0,1669039000.0,455142000.0,
Y,2012-06-30,False,Q2,2012,10-Q,1234391000.0,,109309000.0,6.46,6.45,0.0,22418692000.0,,,404615000.0,6280125000.0,145248000.0,-214907000.0,396661000.0,1819825000.0,82495000.0,1950000.0
Y,2012-09-30,False,Q3,2012,10-Q,1229520000.0,,125444000.0,7.41,7.41,0.0,22757642000.0,,,571313000.0,6581069000.0,434338000.0,-343827000.0,396661000.0,1815660000.0,82495000.0,3731000.0
Y,2013-03-31,False,Q1,2013,10-Q,1223555000.0,,196294000.0,11.67,11.67,0.0,22804546000.0,,,574879000.0,6625296000.0,150554000.0,-159629000.0,-40311000.0,1807252000.0,83447000.0,1557000.0
Y,2012-12-31,False,FY,2012,10-K,4753212000.0,,702244000.0,45.48,45.48,0.0,22807967000.0,,,649524000.0,6403787000.0,495854000.0,-313660000.0,387928000.0,1811483000.0,83447000.0,8123000.0
Y,2013-09-30,False,Q3,2013,10-Q,1189471000.0,,113167000.0,6.75,6.75,0.0,23241751000.0,,,414682000.0,6739571000.0,493135000.0,-617126000.0,-69506000.0,1798709000.0,99747000.0,8228000.0
Y,2013-06-30,False,Q2,2013,10-Q,1196219000.0,,113709000.0,6.78,6.78,0.0,22890080000.0,,,481161000.0,6498372000.0,245059000.0,-325326000.0,-47593000.0,1803008000.0,83447000.0,3093000.0
Y,2014-06-30,False,Q2,2014,10-Q,1291216000.0,,148980000.0,9.06,9.06,0.0,23841908000.0,,,419455000.0,7407299000.0,-9769000.0,78155000.0,-149781000.0,1785661000.0,99747000.0,30091000.0
Y,2015-06-30,False,Q2,2015,10-Q,1300438000.0,,182478000.0,11.41,11.4,0.0,23928288000.0,,,647901000.0,7650383000.0,328970000.0,-234669000.0,-40287000.0,1762069000.0,111904000.0,13355000.0
Y,2014-03-31,False,Q1,2014,10-Q,1286642000.0,,204880000.0,12.28,12.28,0.0,23494336000.0,,,481414000.0,7138079000.0,-115737000.0,183273000.0,-85713000.0,1790041000.0,99747000.0,12019000.0
Y,2015-03-31,False,Q1,2015,10-Q,1157623000.0,,125209000.0,7.82,7.82,0.0,23560934000.0,,,537485000.0,7638313000.0,217321000.0,-247754000.0,-19288000.0,1764603000.0,111904000.0,10609000.0
Y,2014-09-30,False,Q3,2014,10-Q,1351916000.0,,186315000.0,11.4,11.4,0.0,23929466000.0,,,607605000.0,7414467000.0,205777000.0,-189240000.0,96721000.0,2079170000.0,99897000.0,37333000.0
Y,2015-09-30,False,Q3,2015,10-Q,1189037000.0,,96530000.0,6.07,6.07,0.0,23434135000.0,,,563187000.0,7460787000.0,561658000.0,-409899000.0,-177596000.0,1759488000.0,111904000.0,45285000.0
Y,2013-12-31,False,FY,2013,10-K,4971654000.0,,628421000.0,37.44,37.44,0.0,23361088000.0,,,498315000.0,6947521000.0,583860000.0,-620554000.0,-70606000.0,1794407000.0,99747000.0,17427000.0
Y,2016-03-31,False,Q1,2016,10-Q,1478950000.0,,154505000.0,10.0,9.96,0.0,23055343000.0,,,509743000.0,7771736000.0,39580000.0,40095000.0,-47554000.0,1383572000.0,141015000.0,2088000.0
Y,2016-06-30,False,Q2,2016,10-Q,1582031000.0,,77071000.0,4.99,4.99,0.0,23814788000.0,,,510819000.0,7917796000.0,321623000.0,-231794000.0,-59987000.0,1383628000.0,271816000.0,9043000.0
Y,2016-09-30,False,Q3,2016,10-Q,1614616000.0,,155831000.0,10.09,10.09,0.0,24116999000.0,,,568907000.0,8105122000.0,573659000.0,-471774000.0,-16817000.0,1383680000.0,277057000.0,18982000.0
Y,2015-12-31,False,FY,2015,10-K,4999478000.0,,557700000.0,35.14,35.13,0.0,22846333000.0,,,475267000.0,7554707000.0,325978000.0,171658000.0,-608783000.0,1390340000.0,141015000.0,27258000.0
Y,2017-03-31,False,Q1,2017,10-Q,1532452000.0,,149176000.0,9.68,9.67,0.0,23939141000.0,,,624445000.0,8184849000.0,-42532000.0,91186000.0,-18566000.0,1471183000.0,284974000.0,4480000.0
Y,2014-12-31,False,FY,2014,10-K,5231809000.0,,679239000.0,41.4,41.4,0.0,23489436000.0,,,605259000.0,7482044000.0,372779000.0,51035000.0,-302075000.0,1767125000.0,111904000.0,43681000.0
Y,2017-09-30,False,Q3,2017,10-Q,1667483000.0,,-314157000.0,-20.38,-20.9,0.0,25714235000.0,,,701841000.0,8201023000.0,426047000.0,-281745000.0,-52821000.0,1486375000.0,333748000.0,
Y,2017-06-30,False,Q2,2017,10-Q,1553918000.0,,101811000.0,6.6,6.6,0.0,24529488000.0,,,643685000.0,8435254000.0,203881000.0,-122772000.0,-41336000.0,1487475000.0,324936000.0,
Y,2017-12-31,False,FY,2017,10-K,6424655000.0,,90100000.0,5.85,5.85,0.0,25384317000.0,,,838375000.0,8514063000.0,445735000.0,-155120000.0,-64372000.0,1484897000.0,334905000.0,
Y,2016-12-31,False,FY,2016,10-K,6131019000.0,,456900000.0,29.6,29.59,0.0,23756591000.0,,,594091000.0,7939945000.0,792927000.0,-672727000.0,-17414000.0,1476489000.0,284974000.0,24005000.0
Y,2018-03-31,False,Q1,2018,10-Q,1584954000.0,,171575000.0,11.15,11.04,0.0,25097256000.0,,,711040000.0,8373400000.0,-5169000.0,32371000.0,-160624000.0,1540865000.0,345306000.0,
Y,2018-06-30,False,Q2,2018,10-Q,1897664000.0,,295116000.0,19.44,19.44,0.0,25085887000.0,,,623223000.0,8404389000.0,149175000.0,-15208000.0,-346301000.0,1569367000.0,346270000.0,
Y,2018-09-30,False,Q3,2018,10-Q,2177415000.0,,284900000.0,19.07,19.07,0.0,25795884000.0,,,646908000.0,8595085000.0,323782000.0,-130587000.0,-377274000.0,1581676000.0,346022000.0,
