"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ADES","Advanced Emissions Solutions, Inc.","11.8","218466120.4","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/ades",
"ASIX","AdvanSix Inc.","29.02","842348014.3","n/a","2016","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/asix",
"AEGN","Aegion Corp","18.33","582050343.42","n/a","n/a","Basic Industries","Water Supply","https://www.nasdaq.com/symbol/aegn",
"AMTX","Aemetis, Inc","0.8497","17313008.8189","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/amtx",
"AEM","Agnico Eagle Mines Limited","43.21","10162875721.89","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/aem",
"APD","Air Products and Chemicals, Inc.","190.48","41835345452.08","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/apd",
"AKS","AK Steel Holding Corporation","2.83","895153142.73","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/aks",
"AGI","Alamos Gold Inc.","4.93","1918136821.58","n/a","2015","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/agi",
"AIN","Albany International Corporation","71.82","2087073543.24","n/a","n/a","Basic Industries","Textiles","https://www.nasdaq.com/symbol/ain",
"ALB","Albemarle Corporation","82.9","8777941856.1","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/alb",
"AA","Alcoa Corporation","28.54","5294644448.96","n/a","2016","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/aa",
"AXU","Alexco Resource Corp","1.091","118533917.367","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/axu",
"ALO","Alio Gold Inc.","0.6967","59015466.5281","n/a","2011","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/alo",
"ATI","Allegheny Technologies Incorporated","26.22","3306592322.34","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/ati",
"AAU","Almaden Minerals, Ltd.","0.5772","64488662.2068","n/a","2015","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/aau",
"ACH","Aluminum Corporation of China Limited","10.16","6918014286.88","n/a","2001","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/ach",
"AMRK","A-Mark Precious Metals, Inc.","11.42","80299159","n/a","n/a","Basic Industries","Other Specialty Stores","https://www.nasdaq.com/symbol/amrk",
"AMRC","Ameresco, Inc.","16.3","754698247.8","n/a","2010","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/amrc",
"AVD","American Vanguard Corporation","17.26","512456597.42","n/a","n/a","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/avd",
"AMWD","American Woodmark Corporation","81.88","1381256073.24","n/a","1986","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/amwd",
"USAS","Americas Silver Corporation","1.49","67634063.61","n/a","2017","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/usas",
