"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PIH","1347 Property Insurance Holdings, Inc.","5.29","31807521.56","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","24.5","17150000","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","1.97","61309477.14","n/a","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn",
"BCOW","1895 Bancorp of Wisconsin, Inc.","9.895","31668452.75","n/a","2019","Finance","Banks","https://www.nasdaq.com/symbol/bcow",
"FCCY","1st Constitution Bancorp (NJ)","18.07","155606949.94","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","45.58","1176173485.68","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/srce",
"QFIN","360 Finance, Inc.","15.6","48360000","3100000","2018","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/qfin",
"JFKKU","8i Enterprises Acquisition Corp","10.04","50200000","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfkku",
"ABM","ABM Industries Incorporated","37.38","2476012175.28","n/a","n/a","Finance","Diversified Commercial Services","https://www.nasdaq.com/symbol/abm",
"ACAMU","Acamar Partners Acquisition Corp.","10.02","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/acamu",
"ACNB","ACNB Corporation","37.36","263239307.2","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/acnb",
"AEB","Aegon NV","21.87","0","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","25.83","0","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","4.96","10154931967.36","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.87","0","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeh",
"AMG","Affiliated Managers Group, Inc.","111.37","5796664275.85","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/amg",
"AFL","Aflac Incorporated","49.25","36880854275.25","n/a","n/a","Finance","Accident &Health Insurance","https://www.nasdaq.com/symbol/afl",
"AGFS","AgroFresh Solutions, Inc.","3.31","169032008.32","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.08","0","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfsw",
