"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2018-03-31,754756608,754756608,1,95559000000,None,81203000000,None,14356000000,0,0,1771000000,21015000000,3917000000,640000000,640000000,0.84,0.83,0.15,1915000000,755000000,-313000000,2357000000,14174000000,0,36.48,40.59,32.36,0.1449,0.0221,19.02,1.95,15.07,0.97,0.2158,1.4638,0.1502,0.1336,0.17,2.54,None
2017-12-31,760216905,760216905,1,95808000000,None,81574000000,None,14234000000,0,0,1740000000,20799000000,3978000000,385000000,385000000,0.5,0.5,0.15,2470000000,-7162000000,2379000000,-2313000000,11602000000,0,34.8,38.97,30.64,0.135,0.021,18.72,1.89,13.28,0.82,0.2275,1.4612,0.1486,0.1264,0.17,3.25,None
2017-09-30,782591569,782591569,1,92548000000,None,78146000000,None,14402000000,0,0,1763000000,19899000000,3952000000,555000000,555000000,0.7,0.7,0.15,2928000000,-1288000000,255000000,1895000000,13915000000,0,29.87,31.19,28.55,0.1484,0.0234,18.4,1.66,11.27,0.67,0.203,1.3817,0.1556,0.1414,0.17,3.74,None
2017-06-30,795335232,795335232,1,91140000000,None,76808000000,None,14332000000,0,0,1778000000,20709000000,3694000000,496000000,496000000,0.62,0.61,0.13,1768000000,-2380000000,1240000000,628000000,12020000000,0,30.2,33.9,26.5,0.153,0.0243,18.02,1.71,11.53,0.52,0.1938,1.4449,0.1573,0.1484,0.16,2.22,None
2017-03-31,811013257,811013257,1,89050000000,None,74687000000,None,14363000000,0,0,1818000000,20194000000,3680000000,499000000,499000000,0.61,0.61,0.13,1750000000,1420000000,-1099000000,2071000000,11392000000,0,35.14,38.05,32.24,0.1542,0.0249,17.71,2.01,12.97,0.39,0.1467,1.406,0.1613,0.1521,0.16,2.16,None
2016-12-31,810786641,810786641,1,90207000000,None,76011000000,None,14196000000,0,0,1661000000,20147000000,3713000000,576000000,576000000,0.69,0.7,0.13,2036000000,-8169000000,1866000000,-4267000000,9321000000,0,31.81,37.26,26.37,0.1634,0.0264,17.51,1.88,11.96,0.26,0.0945,1.4192,0.1574,0.1622,0.16,2.51,None
2016-09-30,825465791,825465791,1,87159000000,None,73178000000,None,13981000000,0,0,1682000000,20167000000,3565000000,604000000,604000000,0.73,0.73,0.13,1815000000,-3916000000,3902000000,1801000000,13588000000,0,26.76,28.4,25.12,0.1661,0.0265,16.94,1.63,10.21,0.13,0.0483,1.4425,0.1604,0.1651,0.16,2.2,None
2016-06-30,833925364,833925364,1,82384000000,None,68669000000,None,13715000000,0,0,1653000000,19295000000,3295000000,489000000,489000000,0.59,0.58,0,1472000000,-2436000000,251000000,-713000000,11787000000,0,27.66,31.95,23.36,0.1697,0.0268,16.45,1.75,10.28,0,0,1.4069,0.1665,0.1676,0.16,1.77,None
2016-03-31,833920403,833920403,1,81656000000,None,68452000000,None,13204000000,0,0,1651000000,20476000000,3301000000,582000000,582000000,0.7,0.7,0,1500000000,1201000000,-2526000000,175000000,12500000000,0,27.3,30.11,24.48,0.1812,0.028,15.83,1.81,10.3,0,0,1.5507,0.1617,0.1752,0.16,1.8,None
2015-12-31,833828859,833828859,1,84135000000,None,71531000000,None,12604000000,0,0,1650000000,24344000000,3295000000,547000000,547000000,0.66,0.65,0,1889000000,-5193000000,3358000000,54000000,12325000000,0,31.74,33.98,29.51,0.1869,0.0284,15.12,2.18,None,0,0,1.9315,0.1498,0.1773,0.16,2.27,None
