"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2017-12-31,183335244,183335244,1,11084300000,932500000,12383200000,1543400000,-1298900000,0,0,4296800000,10317900000,5393400000,-1835700000,-1835700000,-10.26,-10.26,0,325300000,-191300000,-147100000,-13100000,43400000,184400000,2.23,2.73,1.74,None,-0.1706,-7.08,0.78,None,87.15,None,None,None,None,0.47,0.77,0.6042
2017-09-30,182904630,182904630,1,12928600000,1008800000,12407400000,1311300000,521200000,0,0,6208200000,10550000000,147600000,-101500000,-101500000,-0.55,-0.55,0,271700000,-277300000,37400000,31800000,56500000,216400000,2.88,4.04,1.73,-0.7239,-0.0292,2.85,0.87,None,87.15,None,20.2417,0.0403,None,0.14,0.3,0.7693
2017-06-30,190828151,190828151,1,12706200000,926900000,12076000000,1227800000,630200000,0,0,6077900000,10300500000,160500000,-68100000,-68800000,-0.37,-0.37,0.15,221200000,-273700000,25700000,-26800000,24700000,264400000,4.8,5.76,3.85,-0.7563,-0.027,3.3,1.27,None,87.15,None,16.3448,0.0496,None,0.24,-0.23,0.7549
2017-03-31,190494304,190494304,1,12904200000,963100000,12181800000,1301000000,722400000,0,0,6267900000,10246900000,151400000,-111300000,-111900000,-0.89,-0.89,0.15,132500000,-240900000,100800000,-7600000,51500000,243400000,6.75,8.35,5.16,-0.7215,-0.0218,3.79,3.86,None,87,None,14.1845,0.056,None,0.34,-0.58,0.7403
2016-12-31,97288913,97288913,1,11770000000,866900000,11600000000,1254600000,170000000,0,0,5534100000,9680600000,1309100000,-86900000,-87700000,-0.9,-0.9,0.15,302300000,-236400000,-68200000,-2300000,59100000,236400000,8.37,10.1,6.63,None,-0.0319,1.75,3.22,None,86.85,None,56.9447,0.0144,None,0.45,0.68,0.691
2016-09-30,96114653,96114653,1,11823600000,921000000,11573300000,1148400000,250300000,0,0,5578900000,9728400000,1344900000,-66200000,-66800000,-0.72,-0.72,0.15,197600000,-245200000,67400000,19800000,61400000,243000000,9.3,10.46,8.13,-0.5175,-0.0128,2.6,2.72,None,86.7,None,38.867,0.0212,None,0.38,-0.47,0.802
2016-06-30,96264774,96264774,1,11821600000,871700000,11492400000,1120000000,329200000,0,0,5625000000,9650000000,1359600000,1500000,900000,0.01,0.01,0.15,297300000,-250800000,-79500000,-33000000,41600000,246500000,8.34,9.5,7.18,-0.3458,-0.0078,3.42,2.38,None,86.55,None,29.3135,0.0278,None,0.39,0.53,0.7783
2016-03-31,96310037,96310037,1,12611200000,940000000,12273500000,1149600000,337700000,0,0,5670800000,10392900000,1373400000,-231900000,-232400000,-2.52,-2.52,0.15,127200000,-257600000,173700000,43300000,74600000,257600000,6.55,8.35,4.75,-0.6801,-0.0163,3.51,1.96,21.83,86.4,None,30.7755,0.0268,None,0.38,-1.35,0.8177
2015-12-31,91527360,91527360,1,12518100000,875300000,12211700000,1267100000,306400000,0,0,5718300000,10165000000,581300000,140500000,140000000,1.46,1.46,0.66,270300000,250700000,-586900000,-65900000,31300000,310900000,6.64,7.76,5.52,0.0946,0.0021,3.35,3.84,None,86.25,158.8573,33.1756,0.0245,0.0049,0.38,-0.44,0.6908
2015-09-30,101036877,101036877,1,13004400000,1123000000,12830100000,1297700000,174300000,0,0,5926200000,10701000000,1498600000,-7200000,-7700000,-0.08,-0.08,0.15,376300000,-315800000,-10300000,50200000,97200000,300100000,6.25,8.09,4.42,-0.8391,-0.0148,1.73,1.5,None,85.59,None,61.3941,0.0134,None,0.45,0.75,0.8654
